ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,bb_len,bb_std_mult,donchian_len,kc_len,kc_mult,supertrend_period,supertrend_mult,mfi_len,tsi_r,tsi_s,wpr_len,sar_af,sar_max_af,enable_supertrend,enable_kc,enable_mfi,enable_tsi,enable_wpr,enable_sar,win_rate,net_return,max_drawdown,calmar_ratio,trades
10,14,89,8,20,100,40,16,18,10,21,7,14,10,2.0,10,20,1.5,7,4.0,21,25,25,14,0.04,0.2,True,False,False,False,True,True,43.83561643835616,2.747149218309657,8959.407406250059,0.0003066217545139484,219
12,21,34,18,14,75,15,10,30,10,21,7,20,10,2.0,20,34,2.0,7,3.0,21,50,7,14,0.01,0.2,False,True,False,True,True,False,43.51851851851852,1.4679520043218048,8878.70831250005,0.00016533395992467982,216
12,14,144,18,14,150,15,6,18,12,7,3,10,14,2.0,20,20,1.5,14,4.0,14,25,13,7,0.04,0.2,True,True,True,False,False,True,43.37899543378995,1.0981256582992773,8880.655437500056,0.00012365367241501767,219
8,30,89,12,12,100,40,12,21,10,7,3,34,14,2.0,50,20,2.5,10,4.0,14,50,13,14,0.01,0.1,False,True,True,False,False,True,43.51851851851852,1.481141612600099,9107.938343750051,0.0001626209529203139,216
8,21,144,18,12,100,40,14,21,5,21,7,14,10,2.5,20,34,2.0,7,3.0,21,25,7,21,0.02,0.2,True,True,False,False,True,True,43.11926605504588,0.2818455873598493,8880.655437500056,3.173702541928483e-05,218
10,30,100,16,20,100,30,14,14,9,14,5,14,10,2.5,30,10,1.5,10,3.0,14,13,25,7,0.04,0.1,False,True,True,False,False,False,43.11926605504588,0.20906336733604428,8880.655437500056,2.35414343915697e-05,218
14,18,34,20,16,200,25,16,14,9,10,7,34,14,1.5,30,20,2.0,14,4.0,7,50,7,14,0.01,0.2,True,False,False,False,True,False,43.51851851851852,1.692089696230587,8878.70831250005,0.00019057836305404332,216
6,40,100,20,10,30,40,8,21,8,21,7,10,34,3.0,30,34,1.5,14,4.0,14,25,7,14,0.04,0.1,False,False,False,True,False,True,43.25581395348837,0.7760477082327231,8880.655437500056,8.738630990633096e-05,215
14,21,55,16,18,150,10,8,14,9,21,3,14,34,2.0,10,20,2.5,7,3.0,7,50,13,14,0.01,0.4,False,True,False,False,False,True,43.37899543378995,1.0226229710159216,8880.655437500056,0.00011515174507252299,219
12,34,55,20,24,75,30,8,26,7,14,7,34,14,2.0,10,20,2.5,14,2.0,14,50,25,14,0.02,0.4,False,False,True,True,False,False,43.63636363636363,2.076401205336023,8880.655437500056,0.00023381170679903545,220
