entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-29 12:40:00-05:00,2026-01-29 13:25:00-05:00,short,84664.21875,83665.01442747506,SL,1.18,344.31,10344.31
2026-01-31 09:10:00-05:00,2026-01-31 09:25:00-05:00,short,82310.21875,81504.07304594797,TP,0.979,444.49,10788.8
2026-02-09 09:10:00-05:00,2026-02-09 09:35:00-05:00,short,68403.8203125,69146.84307460948,SL,-1.086,-419.32,10369.48
2026-02-16 10:10:00-05:00,2026-02-16 10:30:00-05:00,short,68435.4453125,67476.03753289896,SL,1.402,431.76,10801.23
2026-02-18 09:10:00-05:00,2026-02-18 09:50:00-05:00,short,67248.3125,66780.31879430922,SL,0.696,290.5,11091.74
2026-02-23 11:30:00-05:00,2026-02-23 12:15:00-05:00,short,65557.0703125,64994.92020300063,SL,0.857,286.58,11378.32
2026-02-24 09:15:00-05:00,2026-02-24 09:40:00-05:00,short,62862.0390625,63295.84568700955,SL,-0.69,-460.87,10917.45
2026-02-27 11:55:00-05:00,2026-02-28 01:25:00-05:00,short,65505.83984375,64478.59877329145,SL,1.568,485.2,11402.65
2026-03-08 09:10:00-04:00,2026-03-08 18:05:00-04:00,short,67037.6875,66280.84540099784,TP,1.129,535.01,11937.66
2026-03-18 12:05:00-04:00,2026-03-18 16:05:00-04:00,short,71276.7109375,70670.7458237187,SL,0.85,345.59,12283.25
2026-03-26 10:45:00-04:00,2026-03-26 11:15:00-04:00,short,69441.4375,68833.79862979674,SL,0.875,391.97,12675.21
2026-03-26 11:15:00-04:00,2026-03-26 14:25:00-04:00,short,68819.421875,68151.30039930872,SL,0.971,381.23,13056.44
2026-03-27 09:45:00-04:00,2026-03-27 10:25:00-04:00,short,66465.1796875,65734.27440360299,SL,1.1,583.05,13639.48
2026-03-27 11:55:00-04:00,2026-03-27 14:25:00-04:00,short,66089.65625,65554.63676846423,SL,0.81,352.04,13991.52
