entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-02-01 23:00:00+00:00,2026-02-02 00:00:00+00:00,short,76674.9140625,77711.23995535714,SL,-1.352,-108.88,9891.12
2026-02-03 16:00:00+00:00,2026-02-03 17:30:00+00:00,short,76826.9140625,75350.87890625,TP,1.921,185.47,10076.59
2026-02-04 13:00:00+00:00,2026-02-04 13:30:00+00:00,short,75753.953125,74814.31194196429,TP,1.24,182.03,10258.62
2026-02-10 14:30:00+00:00,2026-02-10 15:00:00+00:00,short,68395.9921875,68988.35574776786,SL,-0.866,-116.8,10141.82
2026-02-12 16:00:00+00:00,2026-02-13 09:30:00+00:00,short,66010.625,66759.05217633929,SL,-1.134,-112.15,10029.67
2026-02-17 05:00:00+00:00,2026-02-17 14:30:00+00:00,short,68038.4296875,67130.44252232143,TP,1.335,182.56,10212.23
2026-02-18 11:00:00+00:00,2026-02-18 14:30:00+00:00,short,67451.71875,67147.541015625,SL,0.451,60.02,10272.25
2026-02-19 11:30:00+00:00,2026-02-19 13:30:00+00:00,short,66470.9375,66175.73604910714,SL,0.444,70.29,10342.53
2026-02-23 00:30:00+00:00,2026-02-23 01:00:00+00:00,short,66794.609375,66254.27455357143,TP,0.809,176.17,10518.7
2026-02-23 14:30:00+00:00,2026-02-23 17:00:00+00:00,short,65867.7421875,65034.713169642855,TP,1.265,190.41,10709.11
2026-03-02 11:00:00+00:00,2026-03-02 14:30:00+00:00,short,66124.7421875,66629.59347098214,SL,-0.763,-123.92,10585.19
2026-03-03 21:30:00+00:00,2026-03-04 07:30:00+00:00,long,68064.7890625,68701.51646205357,SL,0.935,68.72,10653.91
2026-03-07 10:00:00+00:00,2026-03-07 19:00:00+00:00,short,67925.171875,67347.98828125,TP,0.85,182.99,10836.9
2026-03-08 02:30:00+00:00,2026-03-08 07:00:00+00:00,short,66956.8046875,67247.42885044643,SL,-0.434,-138.33,10698.57
2026-03-08 21:00:00+00:00,2026-03-08 22:00:00+00:00,short,66973.3203125,66201.47991071429,TP,1.152,191.69,10890.26
2026-03-17 16:00:00+00:00,2026-03-18 00:30:00+00:00,long,74225.8046875,73676.32672991071,SL,-0.74,-126.56,10763.7
2026-03-19 03:30:00+00:00,2026-03-19 06:30:00+00:00,short,71223.125,70559.93917410714,TP,0.931,187.53,10951.23
