entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-04 07:00:00+00:00,2026-01-04 10:15:00+00:00,long,91312.84375,91405.38247871965,SL,0.101,-8.01,9991.99
2026-01-04 10:45:00+00:00,2026-01-04 11:15:00+00:00,long,91538.21875,91353.37506325211,SL,-0.202,-159.3,9832.69
2026-01-07 20:15:00+00:00,2026-01-07 22:30:00+00:00,short,90808.8125,91183.95976677796,SL,-0.413,-126.89,9705.8
2026-01-08 11:00:00+00:00,2026-01-08 12:00:00+00:00,short,90198.90625,89792.29792647653,TP,0.451,94.96,9800.76
2026-01-09 11:30:00+00:00,2026-01-09 12:15:00+00:00,short,90401.9140625,90270.18740136862,SL,0.146,9.52,9810.29
2026-01-09 12:15:00+00:00,2026-01-09 13:00:00+00:00,short,90189.7109375,90425.65313537866,SL,-0.262,-143.1,9667.19
2026-01-09 14:30:00+00:00,2026-01-09 15:00:00+00:00,short,90107.84375,89961.53660876336,SL,0.162,12.55,9679.74
2026-01-11 15:15:00+00:00,2026-01-11 15:30:00+00:00,long,90848.7109375,90728.44792141528,SL,-0.132,-184.54,9495.19
2026-01-12 13:00:00+00:00,2026-01-12 14:15:00+00:00,short,90472.3515625,90122.71776264082,TP,0.386,87.29,9582.48
2026-01-13 10:45:00+00:00,2026-01-13 13:30:00+00:00,long,92029.3359375,92394.23898152569,TP,0.397,89.1,9671.58
2026-01-14 03:45:00+00:00,2026-01-14 04:30:00+00:00,long,95630.9765625,95276.06713121373,SL,-0.371,-127.99,9543.59
2026-01-17 23:45:00+00:00,2026-01-18 01:00:00+00:00,short,95098.921875,94963.01578741953,TP,0.143,20.4,9563.99
2026-01-18 02:30:00+00:00,2026-01-18 03:15:00+00:00,short,94923.0546875,95042.71604947431,SL,-0.126,-186.68,9377.31
2026-01-20 02:15:00+00:00,2026-01-20 04:45:00+00:00,short,92335.1796875,92093.09719911481,SL,0.262,42.83,9420.15
