entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2025-03-17 10:50:00-04:00,2025-03-17 11:50:00-04:00,short,82885.4295,83645.26856180663,SL,-0.917,-113.09,9886.91
2025-03-18 12:40:00-04:00,2025-03-18 15:50:00-04:00,short,81636.435,82207.6971561982,SL,-0.7,-115.82,9771.09
2025-03-28 10:00:00-04:00,2025-03-28 15:50:00-04:00,short,84426.3,83717.89,MB,0.839,115.71,9886.8
2025-03-29 10:20:00-04:00,2025-03-29 13:10:00-04:00,short,82490.226,81760.44146308955,SL,0.885,146.78,10033.58
2025-04-06 12:40:00-04:00,2025-04-06 13:30:00-04:00,short,82171.271,81379.60845663717,SL,0.963,195.59,10229.18
2025-05-12 13:30:00-04:00,2025-05-12 14:30:00-04:00,short,102896.33,101314.22375950975,SL,1.538,195.94,10425.12
2025-05-15 09:30:00-04:00,2025-05-15 11:30:00-04:00,short,102176.617,102612.49713326198,SL,-0.427,-133.58,10291.54
2025-06-12 11:50:00-04:00,2025-06-12 12:20:00-04:00,short,107054.308,107517.65263990485,SL,-0.433,-131.45,10160.09
2025-06-17 10:20:00-04:00,2025-06-17 11:10:00-04:00,short,105384.82,104507.19847058764,SL,0.833,162.48,10322.57
2025-06-22 13:40:00-04:00,2025-06-22 18:10:00-04:00,short,99533.085,100408.73229058586,SL,-0.88,-117.31,10205.26
2025-07-01 10:30:00-04:00,2025-07-01 15:00:00-04:00,short,106365.3875,105562.60301543017,SL,0.755,152.11,10357.37
2025-08-05 10:10:00-04:00,2025-08-05 15:40:00-04:00,short,113578.0445,113623.5115,MB,-0.04,-31.47,10325.9
2025-08-14 13:40:00-04:00,2025-08-14 15:20:00-04:00,short,117689.34,118468.05685322297,SL,-0.662,-121.99,10203.92
2025-08-19 13:40:00-04:00,2025-08-19 19:40:00-04:00,short,113368.748,112804.125,MB,0.498,78.14,10282.06
2025-08-21 11:50:00-04:00,2025-08-21 12:00:00-04:00,short,112770.6035,113330.16287528134,SL,-0.496,-127.69,10154.37
2025-10-14 09:00:00-04:00,2025-10-14 10:10:00-04:00,short,110778.896,111564.006722218,SL,-0.709,-118.74,10035.63
2025-10-15 11:40:00-04:00,2025-10-15 17:30:00-04:00,short,110800.806,111218.14,MB,-0.377,-57.66,9977.97
2025-11-03 10:20:00-05:00,2025-11-03 10:30:00-05:00,short,107339.4190661038,105668.8153269086,SL,1.556,147.91,10125.88
2025-11-04 11:10:00-05:00,2025-11-04 12:10:00-05:00,short,102809.004,100903.99386457275,SL,1.853,164.76,10290.64
2025-11-06 09:50:00-05:00,2025-11-06 10:20:00-05:00,short,102124.4877586205,102963.7026408951,SL,-0.822,-117.93,10172.7
2025-11-06 10:30:00-05:00,2025-11-06 11:40:00-05:00,short,101872.9855,100331.93044229699,SL,1.513,159.98,10332.68
2025-11-08 10:40:00-05:00,2025-11-08 13:50:00-05:00,short,101552.904,102137.35649038,SL,-0.576,-124.87,10207.81
2025-11-11 09:30:00-05:00,2025-11-11 10:40:00-05:00,short,104325.7,103239.97451713779,SL,1.041,169.33,10377.14
2025-12-15 09:40:00-05:00,2025-12-15 09:50:00-05:00,short,89259.7,87913.19227202242,SL,1.509,259.22,10636.37
2025-12-26 13:20:00-05:00,2025-12-26 15:40:00-05:00,short,87113.2275,87634.2565198413,SL,-0.598,-127.7,10508.66
2025-12-29 11:20:00-05:00,2025-12-29 17:40:00-05:00,short,87457.225,87282.1,MB,0.2,10.08,10518.74
2026-01-12 09:10:00-05:00,2026-01-12 09:30:00-05:00,short,90362.56,90722.83317973814,SL,-0.399,-136.85,10381.89
2026-01-20 12:30:00-05:00,2026-01-20 17:30:00-05:00,short,89637.65,88127.58432429198,SL,1.685,198.13,10580.03
2026-01-27 09:30:00-05:00,2026-01-27 10:10:00-05:00,short,87704.9905,88099.11099180616,SL,-0.449,-134.05,10445.97
2026-02-11 09:40:00-05:00,2026-02-11 14:40:00-05:00,short,66863.9,67598.6725,MB,-1.099,-94.46,10351.51
