entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2025-03-17 10:50:00-04:00,2025-03-17 11:50:00-04:00,short,82885.4295,83645.26856180663,SL,-0.917,-282.72,9717.28
2025-03-18 12:40:00-04:00,2025-03-18 15:50:00-04:00,short,81636.435,82207.6971561982,SL,-0.7,-284.59,9432.68
2025-03-28 10:00:00-04:00,2025-03-28 15:50:00-04:00,short,84426.3,83717.89,MB,0.839,279.27,9711.95
2025-03-29 10:20:00-04:00,2025-03-29 13:10:00-04:00,short,82490.226,81717.95315436319,SL,0.936,384.75,10096.7
2025-03-30 12:30:00-04:00,2025-03-30 18:00:00-04:00,short,82500.8665,81585.26873451337,SL,1.11,475.21,10571.9
2025-04-06 12:40:00-04:00,2025-04-06 13:30:00-04:00,short,82171.271,81344.05615221239,SL,1.007,468.7,11040.61
2025-05-05 10:10:00-04:00,2025-05-05 13:30:00-04:00,short,94054.485,94541.76630083282,SL,-0.518,-339.95,10700.66
2025-05-12 13:30:00-04:00,2025-05-12 14:30:00-04:00,short,102896.33,101238.07458650325,SL,1.612,539.18,11239.84
2025-05-15 09:30:00-04:00,2025-05-15 11:30:00-04:00,short,102176.617,102612.49713326198,SL,-0.427,-307.18,10932.66
2025-05-28 10:00:00-04:00,2025-05-28 11:10:00-04:00,short,108070.6815,107201.41905082876,SL,0.804,374.09,11306.74
2025-05-30 10:10:00-04:00,2025-05-30 12:30:00-04:00,short,105468.145,104094.86948320318,SL,1.302,611.51,11918.25
2025-06-12 11:50:00-04:00,2025-06-12 12:20:00-04:00,short,107054.308,107517.65263990485,SL,-0.433,-329.43,11588.82
2025-06-17 10:20:00-04:00,2025-06-17 11:10:00-04:00,short,105384.82,104460.22615686255,SL,0.877,438.84,12027.66
2025-06-19 10:50:00-04:00,2025-06-19 13:40:00-04:00,short,104171.103,104544.69883252343,SL,-0.359,-287.84,11739.82
2025-06-21 13:50:00-04:00,2025-06-21 15:00:00-04:00,short,103225.805,102600.91663253061,SL,0.605,284.9,12024.72
2025-06-22 13:40:00-04:00,2025-06-22 18:10:00-04:00,short,99533.085,100408.73229058586,SL,-0.88,-341.62,11683.1
2025-07-01 10:30:00-04:00,2025-07-01 15:00:00-04:00,short,106365.3875,105517.30633847672,SL,0.797,395.66,12078.76
2025-07-17 09:00:00-04:00,2025-07-17 09:50:00-04:00,short,117753.665,118248.42987595756,SL,-0.42,-326.23,11752.54
2025-08-01 11:20:00-04:00,2025-08-01 12:00:00-04:00,short,114733.9045,115494.06009259852,SL,-0.663,-347.03,11405.51
2025-08-05 10:10:00-04:00,2025-08-05 15:40:00-04:00,short,113578.0445,113623.5115,MB,-0.04,-86.63,11318.88
2025-08-14 13:40:00-04:00,2025-08-14 15:20:00-04:00,short,117689.34,118468.05685322297,SL,-0.662,-334.29,10984.59
2025-08-19 10:10:00-04:00,2025-08-19 11:00:00-04:00,short,114717.8175,113645.47536511747,SL,0.935,447.49,11432.08
2025-08-19 13:40:00-04:00,2025-08-19 19:40:00-04:00,short,113368.748,112804.125,MB,0.498,216.09,11648.17
2025-08-21 11:00:00-04:00,2025-08-21 12:00:00-04:00,short,113188.845,113715.08948674095,SL,-0.465,-340.67,11307.51
2025-08-21 12:40:00-04:00,2025-08-21 20:40:00-04:00,short,112549.364738916,112650.755,MB,-0.09,-105.58,11201.92
