entry_time,exit_time,direction,entry,exit,exit_reason,bars_held,pnl_pct,dollar_pnl,equity
2026-01-08 00:00:00+00:00,2026-01-12 02:30:00+00:00,short,91039.04,92100.19,SL,194,-1.166,-562.68,9437.32
2026-01-13 00:00:00+00:00,2026-01-13 15:30:00+00:00,long,91325.75,93410.92,TP,31,2.283,926.02,10363.34
2026-01-13 16:30:00+00:00,2026-01-14 14:30:00+00:00,long,93362.79,96486.99,TP,44,3.346,1114.11,11477.45
2026-01-14 14:30:00+00:00,2026-01-16 15:00:00+00:00,long,96486.99,94671.23,SL,97,-1.882,-527.32,10950.12
2026-01-17 18:00:00+00:00,2026-01-18 01:00:00+00:00,long,95418.26,95011.77,SL,14,-0.426,-298.94,10651.18
2026-01-19 09:00:00+00:00,2026-01-20 06:30:00+00:00,short,93015.42,90818.95,TP,43,2.361,1135.89,11787.08
2026-01-21 11:30:00+00:00,2026-01-21 14:30:00+00:00,short,88678.29,89694.95,SL,6,-1.146,-592.39,11194.68
2026-01-22 15:00:00+00:00,2026-01-22 17:30:00+00:00,short,88542.39,89473.57,SL,5,-1.052,-546.78,10647.9
2026-01-22 20:30:00+00:00,2026-01-23 17:00:00+00:00,short,89313.36,90896.89,SL,41,-1.773,-778.67,9869.23
2026-01-24 11:00:00+00:00,2026-01-25 08:30:00+00:00,short,89494.55,88160.3,TP,43,1.491,676.47,10545.7
2026-01-25 13:00:00+00:00,2026-01-25 18:00:00+00:00,short,88572.32,87411.88,TP,10,1.31,627.55,11173.25
2026-01-26 09:30:00+00:00,2026-01-27 02:30:00+00:00,short,87570.66,88731.82,SL,34,-1.326,-551.61,10621.65
2026-01-27 14:30:00+00:00,2026-01-27 16:30:00+00:00,short,87632.62,88527.87,SL,4,-1.022,-606.28,10015.36
2026-01-27 17:00:00+00:00,2026-01-27 20:00:00+00:00,short,87781.71,89042.27,SL,6,-1.436,-603.72,9411.64
2026-01-28 05:30:00+00:00,2026-01-29 02:30:00+00:00,long,88948.23,87755.78,SL,42,-1.341,-661.96,8749.68
2026-01-29 15:00:00+00:00,2026-01-30 01:30:00+00:00,short,85327.68,82345.97,TP,21,3.494,947.73,9697.41
2026-01-30 12:00:00+00:00,2026-01-31 18:30:00+00:00,short,82594.51,77957.8,TP,61,5.614,957.21,10654.63
2026-02-01 10:30:00+00:00,2026-02-04 17:00:00+00:00,short,78211.55,72343.26,TP,157,7.503,1174.84,11829.47
2026-02-04 20:00:00+00:00,2026-02-05 15:00:00+00:00,short,73434.3,66693.87,TP,38,9.179,1424.28,13253.75
2026-02-05 15:00:00+00:00,2026-02-06 16:30:00+00:00,short,66693.87,69930.4,SL,51,-4.853,-587.1,12666.65
2026-02-09 15:00:00+00:00,2026-02-09 17:30:00+00:00,short,68894.15,70576.51,SL,5,-2.442,-620.62,12046.03
2026-02-10 06:00:00+00:00,2026-02-11 15:00:00+00:00,short,69164.5,66144.52,TP,66,4.366,1173.69,13219.72
2026-02-11 15:00:00+00:00,2026-02-11 21:00:00+00:00,short,66144.52,68151.3,SL,12,-3.034,-685.87,12533.86
2026-02-12 04:00:00+00:00,2026-02-12 13:30:00+00:00,short,67174.78,68349.44,SL,19,-1.749,-540.47,11993.39
2026-02-12 16:00:00+00:00,2026-02-13 14:30:00+00:00,short,66004.61,67684.81,SL,45,-2.546,-623.33,11370.06
2026-02-14 06:00:00+00:00,2026-02-14 11:30:00+00:00,long,68868.11,70484.21,TP,11,2.347,1134.57,12504.63
2026-02-14 15:00:00+00:00,2026-02-15 13:00:00+00:00,long,69856.71,69009.29,SL,44,-1.213,-575.89,11928.74
2026-02-17 04:30:00+00:00,2026-02-19 13:30:00+00:00,short,68452.6,65888.32,TP,113,3.746,1164.35,13093.09
2026-02-19 13:30:00+00:00,2026-02-21 15:00:00+00:00,short,65888.32,68456.93,SL,99,-3.898,-545.57,12547.52
2026-02-21 17:30:00+00:00,2026-02-22 13:30:00+00:00,long,68425.04,67620.3,SL,38,-1.176,-587.87,11959.64
2026-02-22 23:00:00+00:00,2026-02-23 01:00:00+00:00,short,67576.32,65042.15,TP,4,3.75,2170.73,14130.37
2026-02-24 01:00:00+00:00,2026-02-25 01:00:00+00:00,short,64398.65,65964.35,SL,48,-2.431,-663.91,13466.46
2026-02-26 04:00:00+00:00,2026-02-27 11:30:00+00:00,long,68577.67,66123.17,SL,63,-3.579,-593.55,12872.91
2026-02-28 03:30:00+00:00,2026-02-28 20:30:00+00:00,short,65805.23,66996.32,SL,34,-1.81,-578.86,12294.04
2026-03-01 07:30:00+00:00,2026-03-16 04:30:00+00:00,long,67148.85,73841.57,TP,707,9.967,1219.6,13513.64
2026-03-16 09:00:00+00:00,2026-03-17 01:00:00+00:00,long,73300.46,75956.65,TP,32,3.624,1494.31,15007.95
2026-03-17 14:30:00+00:00,2026-03-18 11:30:00+00:00,long,74409.38,72967.26,SL,42,-1.938,-1049.86,13958.09
2026-03-19 03:30:00+00:00,2026-03-19 12:30:00+00:00,short,71215.39,69290.93,TP,18,2.702,1367.85,15325.94
2026-03-19 18:00:00+00:00,2026-03-20 03:30:00+00:00,short,69657.2,70737.5,SL,19,-1.551,-674.44,14651.51
2026-03-20 13:30:00+00:00,2026-03-20 22:30:00+00:00,short,69856.22,70760.84,SL,18,-1.295,-675.67,13975.84
