entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2025-03-19 12:00:00-04:00,2025-03-19 12:50:00-04:00,short,7.605,7.551831757839537,SL,0.699,289.56,10289.56
2025-06-18 13:20:00-04:00,2025-06-20 09:40:00-04:00,short,7.82,7.777035954365167,SL,0.549,220.92,10510.48
2025-10-16 09:40:00-04:00,2025-10-16 12:20:00-04:00,short,8.29,8.227239425099873,SL,0.757,334.79,10845.28
2025-10-22 11:10:00-04:00,2025-10-22 14:50:00-04:00,short,8.1,8.075,MB,0.309,102.29,10947.57
2025-11-05 10:00:00-05:00,2025-11-05 13:00:00-05:00,short,8.235,8.252327180719005,SL,-0.21,-180.86,10766.71
2025-11-07 11:00:00-05:00,2025-11-07 14:20:00-05:00,short,8.18,8.17,MB,0.122,1.21,10767.92
2025-11-14 13:00:00-05:00,2025-11-17 10:10:00-05:00,short,8.14,8.125,MB,0.184,34.61,10802.53
2025-11-18 09:40:00-05:00,2025-11-18 11:30:00-05:00,short,8.07,8.097901058382057,SL,-0.346,-251.56,10550.97
2025-12-16 10:20:00-05:00,2025-12-16 12:40:00-05:00,short,8.2,8.136809509679804,SL,0.771,343.23,10894.2
2025-12-17 10:40:00-05:00,2025-12-17 15:40:00-05:00,short,8.165,8.16,MB,0.061,-32.01,10862.19
2026-02-04 11:40:00-05:00,2026-02-05 09:30:00-05:00,short,8.1,8.05,MB,0.617,270.08,11132.27
2026-02-18 09:30:00-05:00,2026-02-18 09:50:00-05:00,short,7.72,7.560608842289557,TP,2.065,1082.42,12214.69
