entry_time,exit_time,direction,entry,exit,pnl,equity,exit_reason
entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-28 18:45:00+00:00,2026-01-29 14:30:00+00:00,short,8.28499984741211,8.306784563761985,SL,-0.263,-191.47,9808.53
2026-01-29 15:00:00+00:00,2026-01-29 15:45:00+00:00,short,8.270000457763672,8.207553799209395,SL,0.755,311.47,10120.0
2026-02-04 20:45:00+00:00,2026-02-05 14:30:00+00:00,short,8.104999542236328,8.037931759564085,SL,0.827,357.99,10477.99
2026-02-05 20:45:00+00:00,2026-02-06 14:30:00+00:00,short,7.989999771118164,8.026510718926643,SL,-0.457,-264.59,10213.4
2026-02-10 18:15:00+00:00,2026-02-10 20:45:00+00:00,short,8.085000038146973,8.045656394604169,SL,0.487,187.22,10400.62
2026-02-13 20:15:00+00:00,2026-02-13 20:30:00+00:00,short,7.989999771118164,8.016421389366165,SL,-0.331,-234.37,10166.25
2026-02-17 20:30:00+00:00,2026-02-18 14:45:00+00:00,short,7.764999866485596,7.593096273257056,TP,2.214,769.22,10935.47
2026-02-19 20:45:00+00:00,2026-02-20 14:30:00+00:00,short,7.235000133514404,7.294127146611174,SL,-0.817,-250.82,10684.64
2026-03-02 20:45:00+00:00,2026-03-03 14:30:00+00:00,short,7.739999771118164,7.573206180668041,TP,2.155,807.17,11491.81
2026-03-03 20:45:00+00:00,2026-03-04 14:30:00+00:00,short,7.5,7.549442777827261,SL,-0.659,-271.67,11220.14
2026-03-05 16:30:00+00:00,2026-03-06 14:30:00+00:00,short,7.574999809265137,7.4989912260643825,SL,1.003,445.36,11665.5
2026-03-06 15:00:00+00:00,2026-03-09 13:30:00+00:00,short,7.514999866485596,7.346098272903762,TP,2.248,883.41,12548.92
2026-03-12 13:30:00+00:00,2026-03-13 13:30:00+00:00,short,7.474999904632568,7.522074369960789,SL,-0.63,-298.8,12250.11
