entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-04 05:45:00+00:00,2026-01-04 06:00:00+00:00,long,91432.5703125,91626.2088592133,TP,0.212,43.34,10043.34
2026-01-04 07:00:00+00:00,2026-01-04 10:45:00+00:00,long,91312.84375,91525.52813502995,TP,0.233,48.69,10092.03
2026-01-09 11:30:00+00:00,2026-01-09 12:15:00+00:00,short,90401.9140625,90162.7078774134,TP,0.265,55.15,10147.18
2026-01-09 12:15:00+00:00,2026-01-09 13:00:00+00:00,short,90189.7109375,90425.65313537866,SL,-0.262,-148.02,9999.16
2026-01-09 14:30:00+00:00,2026-01-09 15:00:00+00:00,short,90107.84375,89813.80165605454,TP,0.326,63.22,10062.38
2026-01-12 13:00:00+00:00,2026-01-12 14:15:00+00:00,short,90472.3515625,90210.12621260561,TP,0.29,58.96,10121.35
2026-01-12 14:15:00+00:00,2026-01-12 14:30:00+00:00,short,90155.2421875,90427.79312655905,SL,-0.302,-141.39,9979.96
2026-01-13 08:30:00+00:00,2026-01-13 09:00:00+00:00,long,92039.6796875,92284.62845296282,TP,0.266,54.8,10034.76
2026-01-14 03:45:00+00:00,2026-01-14 04:30:00+00:00,long,95630.9765625,95276.06713121373,SL,-0.371,-132.79,9901.96
2026-01-18 01:30:00+00:00,2026-01-18 03:15:00+00:00,short,94959.03125,95076.90754652472,SL,-0.124,-194.74,9707.22
2026-01-20 10:30:00+00:00,2026-01-20 13:30:00+00:00,short,91105.890625,90801.56887278912,TP,0.334,62.2,9769.42
2026-01-20 13:45:00+00:00,2026-01-20 14:30:00+00:00,short,90871.96875,91133.01912728016,SL,-0.287,-138.5,9630.92
2026-01-20 14:45:00+00:00,2026-01-20 15:00:00+00:00,short,90583.90625,90206.65179818797,TP,0.416,68.56,9699.48
2026-01-20 16:30:00+00:00,2026-01-20 17:45:00+00:00,short,90006.0,89529.47583960606,TP,0.529,75.01,9774.49
2026-01-28 01:45:00+00:00,2026-01-28 02:45:00+00:00,long,89307.5703125,88993.21745424342,SL,-0.352,-131.07,9643.42
2026-01-29 05:00:00+00:00,2026-01-29 08:15:00+00:00,short,88134.2578125,87833.5941993683,TP,0.341,62.51,9705.93
2026-01-29 08:30:00+00:00,2026-01-29 11:15:00+00:00,short,87980.3515625,87695.25806844777,TP,0.324,61.12,9767.05
2026-01-30 07:15:00+00:00,2026-01-30 11:45:00+00:00,short,82561.1484375,83065.79857029891,SL,-0.611,-116.85,9650.2
2026-01-31 12:45:00+00:00,2026-01-31 13:30:00+00:00,short,82666.078125,82404.02590987078,TP,0.317,59.97,9710.17
2026-02-02 15:15:00+00:00,2026-02-02 15:30:00+00:00,long,78517.984375,79203.55932551817,TP,0.873,83.76,9793.93
2026-02-04 22:30:00+00:00,2026-02-05 02:15:00+00:00,short,72782.125,71888.81329370147,TP,1.227,88.36,9882.29
2026-02-05 14:45:00+00:00,2026-02-05 15:00:00+00:00,short,69347.7890625,68568.50898263633,TP,1.124,88.27,9970.56
2026-02-05 23:15:00+00:00,2026-02-05 23:45:00+00:00,short,64214.65625,63070.2131709833,TP,1.782,92.99,10063.56
2026-02-11 11:30:00+00:00,2026-02-11 12:00:00+00:00,short,66884.953125,67212.54129510565,SL,-0.49,-125.29,9938.26
2026-02-22 20:00:00+00:00,2026-02-22 21:30:00+00:00,short,67344.3359375,67483.2389015167,SL,-0.206,-157.2,9781.06
2026-02-23 21:15:00+00:00,2026-02-23 22:00:00+00:00,short,64528.46875,64906.90906379196,SL,-0.586,-117.82,9663.24
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,short,63125.14453125,62810.70645292312,TP,0.498,73.35,9736.59
2026-02-27 15:30:00+00:00,2026-02-27 16:45:00+00:00,short,66030.6015625,65674.17229975492,TP,0.54,75.72,9812.31
2026-02-27 20:45:00+00:00,2026-02-27 22:30:00+00:00,short,65570.7421875,65287.52125717764,TP,0.432,70.86,9883.17
2026-03-01 01:45:00+00:00,2026-03-01 02:00:00+00:00,long,67271.4453125,67803.4870060956,TP,0.791,83.84,9967.01
2026-03-01 04:30:00+00:00,2026-03-01 06:30:00+00:00,long,67427.765625,66954.25419250343,SL,-0.702,-116.7,9850.31
