entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-08 02:30:00+00:00,2026-01-08 07:00:00+00:00,short,90853.953125,89855.7890625,TP,1.099,155.89,10155.89
2026-01-09 11:30:00+00:00,2026-01-09 15:00:00+00:00,short,90337.78125,90838.09263392857,SL,-0.554,-123.56,10032.32
2026-01-13 11:00:00+00:00,2026-01-13 15:30:00+00:00,long,92106.671875,93126.724609375,TP,1.107,156.54,10188.86
2026-01-14 07:30:00+00:00,2026-01-14 14:30:00+00:00,long,95176.1328125,96216.345703125,TP,1.093,158.73,10347.59
2026-01-19 14:30:00+00:00,2026-01-19 16:30:00+00:00,short,92768.84375,93203.24330357143,SL,-0.468,-129.99,10217.6
2026-01-20 02:00:00+00:00,2026-01-20 05:00:00+00:00,short,92335.1796875,91399.47265625,TP,1.013,157.63,10375.23
2026-01-21 09:30:00+00:00,2026-01-21 12:00:00+00:00,short,88984.3203125,88616.93694196429,SL,0.413,47.58,10422.81
2026-01-22 18:30:00+00:00,2026-01-23 16:30:00+00:00,short,89221.640625,90075.57700892857,SL,-0.957,-117.3,10305.52
2026-02-01 23:00:00+00:00,2026-02-02 03:30:00+00:00,short,76674.9140625,75603.49776785714,SL,1.397,73.05,10378.56
2026-02-03 16:00:00+00:00,2026-02-03 17:30:00+00:00,short,76826.9140625,75104.873046875,TP,2.241,171.9,10550.46
2026-02-04 13:00:00+00:00,2026-02-04 13:30:00+00:00,short,75753.953125,75228.25027901786,SL,0.694,73.23,10623.69
2026-02-10 14:30:00+00:00,2026-02-10 15:00:00+00:00,short,68395.9921875,69185.81026785714,SL,-1.155,-117.28,10506.42
2026-02-12 16:00:00+00:00,2026-02-13 10:30:00+00:00,short,66010.625,67008.52790178571,SL,-1.512,-113.4,10393.01
2026-02-17 05:00:00+00:00,2026-02-17 14:30:00+00:00,short,68038.4296875,66979.111328125,TP,1.557,167.86,10560.87
2026-02-18 11:00:00+00:00,2026-02-18 14:30:00+00:00,short,67451.71875,67147.541015625,SL,0.451,46.55,10607.42
2026-02-19 11:30:00+00:00,2026-02-19 13:30:00+00:00,short,66470.9375,66175.73604910714,SL,0.444,54.43,10661.86
2026-02-23 00:30:00+00:00,2026-02-23 01:00:00+00:00,short,66794.609375,66164.21875,TP,0.944,162.86,10824.72
2026-02-23 14:30:00+00:00,2026-02-23 17:00:00+00:00,short,65867.7421875,64895.875,TP,1.475,174.03,10998.74
2026-03-02 11:00:00+00:00,2026-03-02 14:30:00+00:00,short,66124.7421875,66797.87723214286,SL,-1.018,-122.95,10875.79
2026-03-03 21:30:00+00:00,2026-03-04 07:30:00+00:00,long,68064.7890625,68701.51646205357,SL,0.935,52.96,10928.75
