trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
95,65.3,1.026,1.03,-8.68,0.118,3,92,0,6.0,4.0,0
95,65.3,1.007,0.26,-9.14,0.029,4,91,0,5.0,4.0,0
101,59.4,0.869,-6.21,-13.14,-0.472,2,99,0,6.0,3.5,0
101,59.4,0.859,-6.69,-13.37,-0.501,4,97,0,5.0,3.5,0
101,59.4,0.828,-8.13,-13.71,-0.593,21,80,0,4.0,3.5,0
105,43.8,0.707,-11.54,-17.28,-0.668,2,56,47,6.0,4.0,48
112,48.2,0.742,-17.4,-25.79,-0.675,2,110,0,6.0,2.5,0
105,43.8,0.696,-11.97,-17.5,-0.684,5,53,47,5.0,4.0,48
112,48.2,0.734,-18.0,-25.79,-0.698,4,108,0,5.0,2.5,0
115,41.7,0.665,-20.95,-28.53,-0.734,1,84,30,6.0,2.5,48
107,50.5,0.706,-17.6,-23.92,-0.736,2,105,0,6.0,3.0,0
115,41.7,0.66,-21.24,-28.56,-0.744,4,81,30,5.0,2.5,48
107,50.5,0.698,-18.1,-23.92,-0.756,4,103,0,5.0,3.0,0
112,48.2,0.706,-19.69,-25.89,-0.76,21,91,0,4.0,2.5,0
111,41.4,0.625,-20.32,-26.63,-0.763,1,73,37,6.0,3.0,48
108,41.7,0.621,-18.01,-23.41,-0.769,1,66,41,6.0,3.5,48
111,41.4,0.621,-20.57,-26.65,-0.772,4,70,37,5.0,3.0,48
132,35.6,0.686,-31.14,-40.23,-0.774,2,130,0,6.0,1.5,0
108,41.7,0.617,-18.23,-23.44,-0.778,4,63,41,5.0,3.5,48
115,41.7,0.635,-22.53,-28.62,-0.787,19,65,31,4.0,2.5,48
132,35.6,0.679,-31.89,-40.2,-0.793,7,125,0,5.0,1.5,0
107,50.5,0.671,-19.54,-24.26,-0.805,21,86,0,4.0,3.0,0
111,41.4,0.596,-21.62,-26.67,-0.811,19,55,37,4.0,3.0,48
118,35.6,0.592,-25.53,-31.4,-0.813,1,75,42,6.0,2.5,36
108,41.7,0.592,-19.15,-23.45,-0.817,19,48,41,4.0,3.5,48
118,35.6,0.588,-25.8,-31.42,-0.821,4,72,42,5.0,2.5,36
124,34.7,0.612,-15.62,-19.01,-0.822,2,39,83,6.0,4.0,24
112,49.1,0.675,-21.17,-25.63,-0.826,28,84,0,3.5,2.5,0
121,39.7,0.662,-28.61,-34.49,-0.829,2,119,0,6.0,2.0,0
112,37.5,0.611,-15.85,-19.07,-0.831,2,51,59,6.0,4.0,36
