trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
12,58.3,1.208,1.23,-3.45,0.356,5,7,0,4.0,3.0,0
12,58.3,1.068,0.4,-3.77,0.105,5,7,0,3.5,3.0,0
12,50.0,0.981,-0.14,-4.74,-0.029,4,8,0,4.0,2.5,0
12,50.0,0.872,-0.92,-4.78,-0.193,4,8,0,3.5,2.5,0
12,50.0,0.766,-1.69,-5.15,-0.328,5,7,0,3.0,2.5,0
13,38.5,0.815,-2.0,-10.3,-0.194,2,11,0,4.0,1.5,0
13,38.5,0.756,-2.64,-10.3,-0.256,2,11,0,3.5,1.5,0
13,38.5,0.656,-3.45,-9.67,-0.357,2,11,0,4.0,2.0,0
13,38.5,0.608,-3.92,-9.67,-0.406,2,11,0,3.5,2.0,0
14,14.3,0.115,-4.22,-4.27,-0.986,0,1,13,3.5,3.0,10
14,14.3,0.115,-4.22,-4.27,-0.986,0,1,13,4.0,3.0,10
14,35.7,0.613,-4.68,-10.3,-0.454,4,10,0,3.0,1.5,0
14,14.3,0.119,-4.85,-4.92,-0.986,0,1,13,3.5,2.5,10
14,14.3,0.119,-4.85,-4.92,-0.986,0,1,13,4.0,2.5,10
14,14.3,0.119,-4.85,-4.92,-0.986,0,1,13,3.0,2.5,10
14,42.9,0.504,-5.27,-9.45,-0.557,5,9,0,2.0,1.5,0
12,25.0,0.076,-5.63,-5.89,-0.956,0,4,8,4.0,3.0,20
12,25.0,0.076,-5.63,-5.89,-0.956,0,4,8,3.5,3.0,20
14,35.7,0.494,-5.67,-9.81,-0.579,4,10,0,3.0,2.0,0
14,35.7,0.507,-5.92,-10.49,-0.565,4,10,0,2.5,1.5,0
12,25.0,0.085,-5.97,-6.28,-0.951,0,4,8,3.5,2.5,20
12,25.0,0.085,-5.97,-6.28,-0.951,0,4,8,4.0,2.5,20
13,30.8,0.192,-6.01,-6.32,-0.951,1,5,7,3.0,2.5,20
13,23.1,0.095,-6.44,-6.71,-0.96,0,2,11,3.5,3.0,15
13,23.1,0.095,-6.44,-6.71,-0.96,0,2,11,4.0,3.0,15
12,16.7,0.12,-6.56,-6.82,-0.962,0,5,7,4.0,3.0,30
12,16.7,0.12,-6.56,-6.82,-0.962,0,5,7,3.5,3.0,30
14,35.7,0.408,-6.6,-10.03,-0.658,4,10,0,2.5,2.0,0
12,16.7,0.067,-6.63,-6.83,-0.97,0,4,8,3.5,3.0,25
12,16.7,0.067,-6.63,-6.83,-0.97,0,4,8,4.0,3.0,25
12,16.7,0.074,-7.13,-7.38,-0.966,0,5,7,4.0,2.5,25
12,16.7,0.074,-7.13,-7.38,-0.966,0,5,7,3.5,2.5,25
13,23.1,0.099,-7.37,-7.69,-0.958,0,3,10,3.0,2.5,15
13,23.1,0.099,-7.37,-7.69,-0.958,0,3,10,3.5,2.5,15
13,23.1,0.099,-7.37,-7.69,-0.958,0,3,10,4.0,2.5,15
13,15.4,0.159,-7.46,-7.71,-0.968,1,6,6,3.0,2.5,25
12,16.7,0.123,-7.58,-7.89,-0.961,0,7,5,3.5,2.5,30
12,16.7,0.123,-7.58,-7.89,-0.961,0,7,5,3.0,2.5,30
12,16.7,0.123,-7.58,-7.89,-0.961,0,7,5,4.0,2.5,30
15,26.7,0.516,-7.65,-11.85,-0.645,3,12,0,3.0,1.0,0
15,13.3,0.057,-8.0,-8.09,-0.99,0,4,11,2.5,2.0,10
15,13.3,0.057,-8.0,-8.09,-0.99,0,4,11,3.0,2.0,10
15,13.3,0.057,-8.0,-8.09,-0.99,0,4,11,3.5,2.0,10
15,13.3,0.057,-8.0,-8.09,-0.99,0,4,11,4.0,2.0,10
13,23.1,0.09,-8.41,-8.8,-0.955,0,5,8,4.0,2.0,15
13,23.1,0.09,-8.41,-8.8,-0.955,0,5,8,3.5,2.0,15
15,20.0,0.132,-8.53,-9.04,-0.945,1,4,10,2.0,1.5,10
14,21.4,0.178,-8.58,-8.97,-0.956,1,6,7,3.0,2.0,15
14,21.4,0.455,-8.58,-13.48,-0.637,1,13,0,4.0,1.0,0
14,21.4,0.222,-8.66,-9.18,-0.943,1,7,6,3.0,1.5,15
13,23.1,0.112,-8.73,-9.26,-0.943,0,6,7,3.5,1.5,15
13,23.1,0.112,-8.73,-9.26,-0.943,0,6,7,4.0,1.5,15
14,28.6,0.167,-8.76,-9.14,-0.959,1,8,5,3.0,2.0,20
14,21.4,0.156,-8.81,-9.2,-0.957,1,6,7,2.5,2.0,15
15,26.7,0.431,-8.89,-12.23,-0.728,3,12,0,2.5,1.0,0
13,23.1,0.072,-8.94,-9.31,-0.96,0,7,6,4.0,2.0,20
13,23.1,0.072,-8.94,-9.31,-0.96,0,7,6,3.5,2.0,20
14,21.4,0.195,-8.96,-9.48,-0.945,1,7,6,2.5,1.5,15
14,21.4,0.427,-8.98,-13.48,-0.667,1,13,0,3.5,1.0,0
14,28.6,0.145,-8.99,-9.36,-0.96,1,8,5,2.5,2.0,20
14,21.4,0.216,-9.09,-10.2,-0.891,2,8,4,2.0,1.5,25
14,28.6,0.204,-9.11,-9.61,-0.948,1,8,5,3.0,1.5,20
14,21.4,0.21,-9.18,-10.05,-0.914,2,8,4,2.0,1.5,30
15,13.3,0.065,-9.33,-9.44,-0.988,0,4,11,2.5,1.5,10
15,13.3,0.065,-9.33,-9.44,-0.988,0,4,11,3.5,1.5,10
15,13.3,0.065,-9.33,-9.44,-0.988,0,4,11,3.0,1.5,10
15,13.3,0.065,-9.33,-9.44,-0.988,0,4,11,4.0,1.5,10
14,28.6,0.177,-9.41,-9.91,-0.95,1,8,5,2.5,1.5,20
13,23.1,0.087,-9.64,-10.14,-0.951,0,7,6,4.0,1.5,20
13,23.1,0.087,-9.64,-10.14,-0.951,0,7,6,3.5,1.5,20
13,7.7,0.086,-9.76,-10.14,-0.963,0,9,4,3.5,2.0,30
13,7.7,0.086,-9.76,-10.14,-0.963,0,9,4,4.0,2.0,30
14,14.3,0.166,-9.88,-10.26,-0.964,1,10,3,3.0,2.0,30
13,15.4,0.067,-9.9,-10.2,-0.971,0,8,5,4.0,2.0,25
13,15.4,0.067,-9.9,-10.2,-0.971,0,8,5,3.5,2.0,25
14,14.3,0.146,-10.07,-10.37,-0.971,1,9,4,3.0,2.0,25
14,14.3,0.147,-10.11,-10.48,-0.965,1,10,3,2.5,2.0,30
15,20.0,0.164,-10.19,-10.83,-0.941,2,7,6,2.0,1.5,15
15,26.7,0.339,-10.22,-12.6,-0.811,4,11,0,2.0,1.0,0
14,14.3,0.127,-10.29,-10.59,-0.972,1,9,4,2.5,2.0,25
14,14.3,0.203,-10.3,-10.79,-0.955,1,10,3,3.0,1.5,30
15,26.7,0.193,-10.37,-11.54,-0.899,2,9,4,2.0,1.5,20
13,7.7,0.105,-10.44,-10.93,-0.955,0,9,4,3.5,1.5,30
13,7.7,0.105,-10.44,-10.93,-0.955,0,9,4,4.0,1.5,30
14,14.3,0.178,-10.55,-10.94,-0.964,1,9,4,3.0,1.5,25
14,14.3,0.179,-10.59,-11.08,-0.956,1,10,3,2.5,1.5,30
13,15.4,0.082,-10.62,-11.01,-0.964,0,8,5,4.0,1.5,25
13,15.4,0.082,-10.62,-11.01,-0.964,0,8,5,3.5,1.5,25
14,14.3,0.155,-10.84,-11.23,-0.965,1,9,4,2.5,1.5,25
15,20.0,0.216,-11.26,-11.26,-1.0,1,10,4,3.0,1.0,15
14,21.4,0.105,-11.55,-11.55,-1.0,0,9,5,3.5,1.0,15
14,21.4,0.105,-11.55,-11.55,-1.0,0,9,5,4.0,1.0,15
15,20.0,0.189,-11.64,-11.64,-1.0,1,10,4,2.5,1.0,15
15,20.0,0.109,-11.99,-11.99,-1.0,0,8,7,2.0,1.0,10
15,20.0,0.109,-11.99,-11.99,-1.0,0,8,7,3.0,1.0,10
15,20.0,0.109,-11.99,-11.99,-1.0,0,8,7,2.5,1.0,10
15,20.0,0.109,-11.99,-11.99,-1.0,0,8,7,4.0,1.0,10
15,20.0,0.109,-11.99,-11.99,-1.0,0,8,7,3.5,1.0,10
15,20.0,0.162,-12.02,-12.02,-1.0,1,10,4,2.0,1.0,15
17,29.4,0.263,-12.4,-14.37,-0.863,5,12,0,1.5,1.0,0
15,13.3,0.213,-12.53,-12.53,-1.0,1,12,2,3.0,1.0,30
15,20.0,0.189,-12.55,-12.76,-0.984,1,11,3,3.0,1.0,20
15,13.3,0.186,-12.69,-12.69,-1.0,1,11,3,3.0,1.0,25
15,13.3,0.189,-12.9,-12.9,-1.0,1,12,2,2.5,1.0,30
15,20.0,0.164,-12.93,-13.13,-0.985,1,11,3,2.5,1.0,20
15,13.3,0.162,-13.07,-13.07,-1.0,1,11,3,2.5,1.0,25
15,20.0,0.139,-13.3,-13.5,-0.985,1,11,3,2.0,1.0,20
15,13.3,0.159,-13.36,-13.36,-1.0,2,11,2,2.0,1.0,30
14,14.3,0.079,-13.41,-13.61,-0.985,0,10,4,3.5,1.0,20
14,14.3,0.079,-13.41,-13.61,-0.985,0,10,4,4.0,1.0,20
15,13.3,0.137,-13.44,-13.44,-1.0,1,11,3,2.0,1.0,25
