trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,adx,pb_pct,atr_floor,vol_mult
25,76.0,2.375,10.48,-3.61,2.905,7,18,0,12,0.25,0.0,0.3
25,76.0,2.375,10.48,-3.61,2.905,7,18,0,12,0.25,0.0005,0.3
25,76.0,2.375,10.48,-3.61,2.905,7,18,0,12,0.25,0.001,0.3
27,74.1,2.175,10.4,-2.49,4.17,8,19,0,12,0.4,0.0005,0.3
27,74.1,2.175,10.4,-2.49,4.17,8,19,0,12,0.3,0.0,0.3
27,74.1,2.175,10.4,-2.49,4.17,8,19,0,12,0.4,0.001,0.3
27,74.1,2.175,10.4,-2.49,4.17,8,19,0,12,0.3,0.001,0.3
27,74.1,2.175,10.4,-2.49,4.17,8,19,0,12,0.3,0.0005,0.3
27,74.1,2.175,10.4,-2.49,4.17,8,19,0,12,0.4,0.0,0.3
24,75.0,2.269,9.61,-3.61,2.664,7,17,0,15,0.25,0.0,0.3
24,75.0,2.269,9.61,-3.61,2.664,7,17,0,15,0.25,0.001,0.3
24,75.0,2.269,9.61,-3.61,2.664,7,17,0,15,0.25,0.0005,0.3
26,73.1,2.084,9.53,-2.49,3.822,8,18,0,15,0.3,0.001,0.3
26,73.1,2.084,9.53,-2.49,3.822,8,18,0,15,0.4,0.0,0.3
26,73.1,2.084,9.53,-2.49,3.822,8,18,0,15,0.3,0.0005,0.3
26,73.1,2.084,9.53,-2.49,3.822,8,18,0,15,0.3,0.0,0.3
26,73.1,2.084,9.53,-2.49,3.822,8,18,0,15,0.4,0.001,0.3
26,73.1,2.084,9.53,-2.49,3.822,8,18,0,15,0.4,0.0005,0.3
24,75.0,2.208,9.11,-3.61,2.526,6,18,0,12,0.2,0.0005,0.3
24,75.0,2.208,9.11,-3.61,2.526,6,18,0,12,0.2,0.001,0.3
24,75.0,2.208,9.11,-3.61,2.526,6,18,0,12,0.2,0.0,0.3
23,73.9,2.101,8.25,-3.61,2.288,6,17,0,15,0.2,0.001,0.3
23,73.9,2.101,8.25,-3.61,2.288,6,17,0,15,0.2,0.0005,0.3
23,73.9,2.101,8.25,-3.61,2.288,6,17,0,15,0.2,0.0,0.3
24,70.8,1.933,8.1,-4.53,1.786,9,15,0,20,0.3,0.0,0.3
24,70.8,1.933,8.1,-4.53,1.786,9,15,0,20,0.3,0.001,0.3
24,70.8,1.933,8.1,-4.53,1.786,9,15,0,20,0.4,0.0005,0.3
24,70.8,1.933,8.1,-4.53,1.786,9,15,0,20,0.4,0.001,0.3
