adx_thresh,vol_mult,session_end,adx_slope_bars,di_spread_min,pb_pct,tp_mult,sl_mult,trades,wr,pf,net_pct,final_eq
12,0.5,12,0,0,0.15,2.0,1.5,6,66.7,1.344,0.96,10096.13
12,0.5,12,0,0,0.15,2.0,2.0,5,80.0,2.153,1.52,10152.07
12,0.5,12,0,0,0.15,2.5,1.5,6,66.7,1.821,2.3,10230.14
12,0.5,12,0,0,0.15,2.5,2.0,5,80.0,2.916,2.53,10253.25
12,0.5,12,0,0,0.15,3.0,1.5,6,66.7,2.047,2.95,10294.71
12,0.5,12,0,0,0.15,3.0,2.0,5,80.0,3.278,3.02,10301.93
12,0.5,12,0,0,0.2,2.0,1.5,6,66.7,1.344,0.96,10096.13
12,0.5,12,0,0,0.2,2.0,2.0,5,80.0,2.153,1.52,10152.07
12,0.5,12,0,0,0.2,2.5,1.5,6,66.7,1.821,2.3,10230.14
12,0.5,12,0,0,0.2,2.5,2.0,5,80.0,2.916,2.53,10253.25
12,0.5,12,0,0,0.2,3.0,1.5,6,66.7,2.047,2.95,10294.71
12,0.5,12,0,0,0.2,3.0,2.0,5,80.0,3.278,3.02,10301.93
12,0.5,12,0,0,0.3,2.0,1.5,8,75.0,2.126,3.15,10314.84
12,0.5,12,0,0,0.3,2.0,2.0,7,85.7,3.402,3.17,10316.79
12,0.5,12,0,0,0.3,2.5,1.5,8,75.0,2.857,5.21,10520.8
12,0.5,12,0,0,0.3,2.5,2.0,7,85.7,4.565,4.71,10471.36
12,0.5,12,0,0,0.3,3.0,1.5,8,75.0,3.335,6.57,10656.93
12,0.5,12,0,0,0.3,3.0,2.0,7,85.7,5.325,5.73,10573.2
12,0.5,12,0,3,0.15,2.0,1.5,6,66.7,1.339,0.95,10094.67
12,0.5,12,0,3,0.15,2.0,2.0,5,80.0,2.145,1.51,10150.97
12,0.5,12,0,3,0.15,2.5,1.5,6,66.7,1.815,2.29,10228.68
12,0.5,12,0,3,0.15,2.5,2.0,5,80.0,2.907,2.52,10252.14
12,0.5,12,0,3,0.15,3.0,1.5,6,66.7,1.882,2.48,10248.15
12,0.5,12,0,3,0.15,3.0,2.0,5,80.0,3.014,2.67,10266.85
12,0.5,12,0,3,0.2,2.0,1.5,6,66.7,1.339,0.95,10094.67
12,0.5,12,0,3,0.2,2.0,2.0,5,80.0,2.145,1.51,10150.97
12,0.5,12,0,3,0.2,2.5,1.5,6,66.7,1.815,2.29,10228.68
12,0.5,12,0,3,0.2,2.5,2.0,5,80.0,2.907,2.52,10252.14
12,0.5,12,0,3,0.2,3.0,1.5,6,66.7,1.882,2.48,10248.15
12,0.5,12,0,3,0.2,3.0,2.0,5,80.0,3.014,2.67,10266.85
12,0.5,12,0,3,0.3,2.0,1.5,8,75.0,2.121,3.13,10313.35
12,0.5,12,0,3,0.3,2.0,2.0,7,85.7,3.394,3.16,10315.67
12,0.5,12,0,3,0.3,2.5,1.5,8,75.0,2.852,5.19,10519.3
12,0.5,12,0,3,0.3,2.5,2.0,7,85.7,4.557,4.7,10470.23
12,0.5,12,0,3,0.3,3.0,1.5,8,75.0,3.164,6.09,10608.72
12,0.5,12,0,3,0.3,3.0,2.0,7,85.7,5.053,5.37,10537.19
12,0.5,12,0,5,0.15,2.0,1.5,5,80.0,2.652,2.36,10235.56
12,0.5,12,0,5,0.15,2.0,2.0,5,80.0,2.145,1.51,10150.97
12,0.5,12,0,5,0.15,2.5,1.5,5,80.0,3.596,3.71,10371.43
12,0.5,12,0,5,0.15,2.5,2.0,5,80.0,2.907,2.52,10252.14
12,0.5,12,0,5,0.15,3.0,1.5,5,80.0,3.725,3.91,10391.17
12,0.5,12,0,5,0.15,3.0,2.0,5,80.0,3.014,2.67,10266.85
12,0.5,12,0,5,0.2,2.0,1.5,5,80.0,2.652,2.36,10235.56
12,0.5,12,0,5,0.2,2.0,2.0,5,80.0,2.145,1.51,10150.97
12,0.5,12,0,5,0.2,2.5,1.5,5,80.0,3.596,3.71,10371.43
12,0.5,12,0,5,0.2,2.5,2.0,5,80.0,2.907,2.52,10252.14
12,0.5,12,0,5,0.2,3.0,1.5,5,80.0,3.725,3.91,10391.17
12,0.5,12,0,5,0.2,3.0,2.0,5,80.0,3.014,2.67,10266.85
12,0.5,12,0,5,0.3,2.0,1.5,7,85.7,4.207,4.57,10457.29
12,0.5,12,0,5,0.3,2.0,2.0,7,85.7,3.394,3.16,10315.67
12,0.5,12,0,5,0.3,2.5,1.5,7,85.7,5.656,6.66,10666.11
12,0.5,12,0,5,0.3,2.5,2.0,7,85.7,4.557,4.7,10470.23
12,0.5,12,0,5,0.3,3.0,1.5,7,85.7,6.273,7.57,10756.78
12,0.5,12,0,5,0.3,3.0,2.0,7,85.7,5.053,5.37,10537.19
12,0.5,12,1,0,0.15,2.0,1.5,5,80.0,2.628,2.32,10232.03
12,0.5,12,1,0,0.15,2.0,2.0,5,80.0,2.125,1.48,10148.34
12,0.5,12,1,0,0.15,2.5,1.5,5,80.0,3.572,3.68,10367.86
12,0.5,12,1,0,0.15,2.5,2.0,5,80.0,2.888,2.49,10249.49
12,0.5,12,1,0,0.15,3.0,1.5,5,80.0,3.701,3.88,10387.61
12,0.5,12,1,0,0.15,3.0,2.0,5,80.0,2.994,2.64,10264.2
12,0.5,12,1,0,0.2,2.0,1.5,5,80.0,2.628,2.32,10232.03
12,0.5,12,1,0,0.2,2.0,2.0,5,80.0,2.125,1.48,10148.34
12,0.5,12,1,0,0.2,2.5,1.5,5,80.0,3.572,3.68,10367.86
