trail_act,trail_dist,tp_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
1.5,0.3,4.0,18,11,81.8,35.421,5.33,10532.8,-0.15,34.597
1.5,0.3,4.0,22,11,100.0,inf,5.97,10596.84,0.0,inf
1.5,0.3,4.0,25,11,100.0,inf,5.97,10596.84,0.0,inf
1.5,0.3,4.0,30,11,100.0,inf,5.97,10596.84,0.0,inf
1.5,0.3,4.0,0,11,100.0,inf,5.97,10596.84,0.0,inf
1.5,0.3,4.5,18,11,81.8,37.092,5.59,10558.67,-0.15,36.276
1.5,0.3,4.5,22,11,100.0,inf,6.23,10622.86,0.0,inf
1.5,0.3,4.5,25,11,100.0,inf,6.23,10622.86,0.0,inf
1.5,0.3,4.5,30,11,100.0,inf,6.23,10622.86,0.0,inf
1.5,0.3,4.5,0,11,100.0,inf,6.23,10622.86,0.0,inf
1.5,0.3,5.0,18,11,81.8,38.763,5.85,10584.53,-0.15,37.956
1.5,0.3,5.0,22,11,100.0,inf,6.49,10648.88,0.0,inf
1.5,0.3,5.0,25,11,100.0,inf,6.49,10648.88,0.0,inf
1.5,0.3,5.0,30,11,100.0,inf,6.49,10648.88,0.0,inf
1.5,0.3,5.0,0,11,100.0,inf,6.49,10648.88,0.0,inf
1.5,0.3,5.5,18,11,81.8,40.434,6.1,10610.39,-0.15,39.635
1.5,0.3,5.5,22,11,100.0,inf,6.75,10674.9,0.0,inf
1.5,0.3,5.5,25,11,100.0,inf,6.75,10674.9,0.0,inf
1.5,0.3,5.5,30,11,100.0,inf,6.75,10674.9,0.0,inf
1.5,0.3,5.5,0,11,100.0,inf,6.75,10674.9,0.0,inf
1.5,0.3,6.0,18,11,81.8,42.104,6.36,10636.26,-0.15,41.314
1.5,0.3,6.0,22,11,100.0,inf,7.01,10700.92,0.0,inf
1.5,0.3,6.0,25,11,100.0,inf,7.01,10700.92,0.0,inf
1.5,0.3,6.0,30,11,100.0,inf,7.01,10700.92,0.0,inf
1.5,0.3,6.0,0,11,100.0,inf,7.01,10700.92,0.0,inf
1.5,0.4,4.0,18,11,81.8,32.732,4.91,10490.93,-0.15,31.878
1.5,0.4,4.0,22,11,100.0,inf,5.44,10544.19,0.0,inf
1.5,0.4,4.0,25,11,100.0,inf,5.44,10544.19,0.0,inf
1.5,0.4,4.0,30,11,100.0,inf,5.44,10544.19,0.0,inf
1.5,0.4,4.0,0,11,100.0,inf,5.44,10544.19,0.0,inf
1.5,0.4,4.5,18,11,81.8,34.397,5.17,10516.69,-0.15,33.551
1.5,0.4,4.5,22,11,100.0,inf,5.7,10570.08,0.0,inf
1.5,0.4,4.5,25,11,100.0,inf,5.7,10570.08,0.0,inf
1.5,0.4,4.5,30,11,100.0,inf,5.7,10570.08,0.0,inf
1.5,0.4,4.5,0,11,100.0,inf,5.7,10570.08,0.0,inf
1.5,0.4,5.0,18,11,81.8,36.062,5.42,10542.45,-0.15,35.223
1.5,0.4,5.0,22,11,100.0,inf,5.96,10595.97,0.0,inf
1.5,0.4,5.0,25,11,100.0,inf,5.96,10595.97,0.0,inf
1.5,0.4,5.0,30,11,100.0,inf,5.96,10595.97,0.0,inf
1.5,0.4,5.0,0,11,100.0,inf,5.96,10595.97,0.0,inf
1.5,0.4,5.5,18,11,81.8,37.727,5.68,10568.21,-0.15,36.896
1.5,0.4,5.5,22,11,100.0,inf,6.22,10621.86,0.0,inf
1.5,0.4,5.5,25,11,100.0,inf,6.22,10621.86,0.0,inf
1.5,0.4,5.5,30,11,100.0,inf,6.22,10621.86,0.0,inf
1.5,0.4,5.5,0,11,100.0,inf,6.22,10621.86,0.0,inf
1.5,0.4,6.0,18,11,81.8,39.392,5.94,10593.97,-0.15,38.569
1.5,0.4,6.0,22,11,100.0,inf,6.48,10647.75,0.0,inf
1.5,0.4,6.0,25,11,100.0,inf,6.48,10647.75,0.0,inf
1.5,0.4,6.0,30,11,100.0,inf,6.48,10647.75,0.0,inf
1.5,0.4,6.0,0,11,100.0,inf,6.48,10647.75,0.0,inf
1.5,0.5,4.0,18,11,81.8,30.049,4.49,10449.21,-0.15,29.169
1.5,0.5,4.0,22,11,100.0,inf,4.92,10491.77,0.0,inf
1.5,0.5,4.0,25,11,100.0,inf,4.92,10491.77,0.0,inf
1.5,0.5,4.0,30,11,100.0,inf,4.92,10491.77,0.0,inf
1.5,0.5,4.0,0,11,100.0,inf,4.92,10491.77,0.0,inf
1.5,0.5,4.5,18,11,81.8,31.708,4.75,10474.86,-0.15,30.835
1.5,0.5,4.5,22,11,100.0,inf,5.18,10517.53,0.0,inf
1.5,0.5,4.5,25,11,100.0,inf,5.18,10517.53,0.0,inf
1.5,0.5,4.5,30,11,100.0,inf,5.18,10517.53,0.0,inf
1.5,0.5,4.5,0,11,100.0,inf,5.18,10517.53,0.0,inf
1.5,0.5,5.0,18,11,81.8,33.368,5.01,10500.52,-0.15,32.501
1.5,0.5,5.0,22,11,100.0,inf,5.43,10543.29,0.0,inf
1.5,0.5,5.0,25,11,100.0,inf,5.43,10543.29,0.0,inf
