preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
quality,20,0.3,0.7,0.001,2.0,6.0,3.0,0.1,30,2.5,45,46.7,1.115,8.26,10825.75,-15.09,0.547
quality,20,0.3,0.7,0.001,2.0,9.0,3.0,0.1,30,2.5,45,46.7,1.115,8.26,10825.75,-15.09,0.547
quality,20,0.3,0.7,0.001,2.0,7.0,3.0,0.1,30,2.5,45,46.7,1.115,8.26,10825.75,-15.09,0.547
quality,20,0.3,0.7,0.001,2.0,10.0,3.0,0.1,30,2.5,45,46.7,1.115,8.26,10825.75,-15.09,0.547
quality,20,0.3,0.7,0.001,2.0,8.0,3.0,0.1,30,2.5,45,46.7,1.115,8.26,10825.75,-15.09,0.547
quality,20,0.3,0.7,0.001,2.0,7.0,3.5,0.1,30,2.5,45,44.4,1.109,7.87,10787.34,-15.09,0.522
quality,20,0.3,0.7,0.001,2.0,9.0,3.5,0.1,30,2.5,45,44.4,1.109,7.87,10787.34,-15.09,0.522
quality,20,0.3,0.7,0.001,2.0,8.0,3.5,0.1,30,2.5,45,44.4,1.109,7.87,10787.34,-15.09,0.522
quality,20,0.3,0.7,0.001,2.0,6.0,3.5,0.1,30,2.5,45,44.4,1.109,7.87,10787.34,-15.09,0.522
quality,20,0.3,0.7,0.001,2.0,10.0,3.5,0.1,30,2.5,45,44.4,1.109,7.87,10787.34,-15.09,0.522
quality,20,0.3,0.7,0.001,2.0,8.0,3.0,0.1,30,2.0,45,46.7,1.122,7.13,10712.73,-13.2,0.54
quality,20,0.3,0.7,0.001,2.0,9.0,3.0,0.1,30,2.0,45,46.7,1.122,7.13,10712.73,-13.2,0.54
quality,20,0.3,0.7,0.001,2.0,10.0,3.0,0.1,30,2.0,45,46.7,1.122,7.13,10712.73,-13.2,0.54
quality,20,0.3,0.7,0.001,2.0,7.0,3.0,0.1,30,2.0,45,46.7,1.122,7.13,10712.73,-13.2,0.54
quality,20,0.3,0.7,0.001,2.0,6.0,3.0,0.1,30,2.0,45,46.7,1.122,7.13,10712.73,-13.2,0.54
quality,20,0.3,0.7,0.001,2.0,8.0,3.5,0.1,30,2.0,45,44.4,1.119,7.01,10700.76,-13.2,0.531
quality,20,0.3,0.7,0.001,2.0,9.0,3.5,0.1,30,2.0,45,44.4,1.119,7.01,10700.76,-13.2,0.531
quality,20,0.3,0.7,0.001,2.0,6.0,3.5,0.1,30,2.0,45,44.4,1.119,7.01,10700.76,-13.2,0.531
quality,20,0.3,0.7,0.001,2.0,7.0,3.5,0.1,30,2.0,45,44.4,1.119,7.01,10700.76,-13.2,0.531
quality,20,0.3,0.7,0.001,2.0,10.0,3.5,0.1,30,2.0,45,44.4,1.119,7.01,10700.76,-13.2,0.531
quality,20,0.3,0.7,0.001,2.0,10.0,3.0,0.2,30,2.5,45,46.7,1.085,6.06,10605.57,-15.42,0.393
quality,20,0.3,0.7,0.001,2.0,9.0,3.0,0.2,30,2.5,45,46.7,1.085,6.06,10605.57,-15.42,0.393
quality,20,0.3,0.7,0.001,2.0,6.0,3.0,0.2,30,2.5,45,46.7,1.085,6.06,10605.57,-15.42,0.393
quality,20,0.3,0.7,0.001,2.0,7.0,3.0,0.2,30,2.5,45,46.7,1.085,6.06,10605.57,-15.42,0.393
quality,20,0.3,0.7,0.001,2.0,8.0,3.0,0.2,30,2.5,45,46.7,1.085,6.06,10605.57,-15.42,0.393
quality,20,0.3,0.7,0.001,2.0,7.0,3.5,0.2,30,2.5,45,44.4,1.083,5.94,10594.04,-15.19,0.391
quality,20,0.3,0.7,0.001,2.0,9.0,3.5,0.2,30,2.5,45,44.4,1.083,5.94,10594.04,-15.19,0.391
quality,20,0.3,0.7,0.001,2.0,8.0,3.5,0.2,30,2.5,45,44.4,1.083,5.94,10594.04,-15.19,0.391
quality,20,0.3,0.7,0.001,2.0,6.0,3.5,0.2,30,2.5,45,44.4,1.083,5.94,10594.04,-15.19,0.391
quality,20,0.3,0.7,0.001,2.0,10.0,3.5,0.2,30,2.5,45,44.4,1.083,5.94,10594.04,-15.19,0.391
