trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,adx,pb_pct,atr_floor,vol_mult
76,71.1,1.411,11.05,-5.7,1.939,3,73,0,18,0.25,0.001,0.3
78,70.5,1.368,10.35,-5.69,1.82,3,75,0,18,0.25,0.001,0.2
79,69.6,1.32,9.33,-5.7,1.636,3,76,0,18,0.3,0.001,0.3
75,69.3,1.331,9.16,-5.73,1.597,3,72,0,18,0.2,0.001,0.3
81,69.1,1.285,8.63,-5.69,1.518,3,78,0,18,0.3,0.001,0.2
69,68.1,1.252,6.61,-4.36,1.517,2,67,0,20,0.25,0.001,0.3
81,69.1,1.283,8.48,-5.7,1.488,3,78,0,18,0.4,0.001,0.3
77,68.8,1.293,8.47,-5.72,1.48,3,74,0,18,0.2,0.001,0.2
71,67.6,1.222,6.09,-4.35,1.401,2,69,0,20,0.25,0.001,0.2
83,68.7,1.25,7.79,-5.69,1.371,3,80,0,18,0.4,0.001,0.2
74,68.9,1.298,8.32,-6.39,1.301,3,71,0,18,0.25,0.001,0.5
101,68.3,1.189,7.15,-5.54,1.292,3,98,0,8,0.25,0.001,0.2
98,68.4,1.192,7.02,-5.56,1.264,3,95,0,8,0.25,0.001,0.3
69,69.6,1.317,8.09,-6.5,1.245,3,66,0,18,0.15,0.001,0.3
69,66.7,1.201,5.45,-4.39,1.241,2,67,0,20,0.2,0.001,0.3
76,69.7,1.31,8.76,-7.65,1.145,3,73,0,18,0.25,0.0005,0.3
76,69.7,1.31,8.76,-7.65,1.145,3,73,0,18,0.25,0.0,0.3
72,66.7,1.174,4.95,-4.36,1.136,2,70,0,20,0.3,0.001,0.3
71,66.2,1.174,4.94,-4.38,1.126,2,69,0,20,0.2,0.001,0.2
72,68.1,1.259,7.14,-6.42,1.111,3,69,0,18,0.2,0.001,0.5
78,69.2,1.274,8.07,-7.64,1.056,3,75,0,18,0.25,0.0005,0.2
78,69.2,1.274,8.07,-7.64,1.056,3,75,0,18,0.25,0.0,0.2
70,67.1,1.246,6.72,-6.39,1.051,3,67,0,18,0.25,0.001,0.7
74,66.2,1.15,4.44,-4.35,1.021,2,72,0,20,0.3,0.001,0.2
104,67.3,1.137,5.49,-5.54,0.99,3,101,0,8,0.3,0.001,0.2
65,66.2,1.24,6.34,-6.41,0.988,3,62,0,18,0.25,0.001,1.0
77,67.5,1.208,6.26,-6.39,0.98,3,74,0,18,0.3,0.001,0.5
101,67.3,1.138,5.35,-5.56,0.964,3,98,0,8,0.3,0.001,0.3
74,66.2,1.201,5.95,-6.39,0.931,3,71,0,18,0.3,0.001,0.7
98,67.3,1.154,5.77,-6.24,0.925,3,95,0,8,0.2,0.001,0.3
79,68.4,1.232,7.07,-7.65,0.924,3,76,0,18,0.3,0.0005,0.3
79,68.4,1.232,7.07,-7.65,0.924,3,76,0,18,0.3,0.0,0.3
75,68.0,1.238,6.9,-7.68,0.899,3,72,0,18,0.2,0.0005,0.3
75,68.0,1.238,6.9,-7.68,0.899,3,72,0,18,0.2,0.0,0.3
75,68.0,1.234,6.83,-7.68,0.89,3,72,0,18,0.25,0.0005,0.5
75,68.0,1.234,6.83,-7.68,0.89,3,72,0,18,0.25,0.0,0.5
74,66.2,1.141,4.14,-4.72,0.877,2,72,0,20,0.4,0.001,0.3
79,67.1,1.179,5.54,-6.39,0.866,3,76,0,18,0.4,0.001,0.5
66,68.2,1.24,6.09,-7.19,0.847,3,63,0,18,0.15,0.001,0.5
76,65.8,1.119,3.63,-4.35,0.836,2,74,0,20,0.4,0.001,0.2
81,67.9,1.202,6.38,-7.64,0.836,3,78,0,18,0.3,0.0,0.2
81,67.9,1.202,6.38,-7.64,0.836,3,78,0,18,0.3,0.0005,0.2
63,66.7,1.173,4.33,-5.17,0.836,2,61,0,20,0.15,0.001,0.3
92,67.4,1.153,5.42,-6.58,0.825,3,89,0,12,0.2,0.001,0.3
100,67.0,1.133,5.12,-6.23,0.822,3,97,0,8,0.2,0.001,0.2
86,67.4,1.167,5.59,-6.81,0.821,3,83,0,15,0.25,0.001,0.2
76,65.8,1.171,5.23,-6.39,0.818,3,73,0,18,0.4,0.001,0.7
81,67.9,1.199,6.24,-7.65,0.816,3,78,0,18,0.4,0.0,0.3
81,67.9,1.199,6.24,-7.65,0.816,3,78,0,18,0.4,0.0005,0.3
77,67.5,1.206,6.22,-7.67,0.811,3,74,0,18,0.2,0.0005,0.2
77,67.5,1.206,6.22,-7.67,0.811,3,74,0,18,0.2,0.0,0.2
83,67.5,1.171,5.49,-6.83,0.804,3,80,0,15,0.25,0.001,0.3
67,65.7,1.142,3.89,-4.85,0.802,2,65,0,20,0.25,0.001,0.5
106,67.0,1.115,4.67,-5.87,0.796,3,103,0,8,0.4,0.001,0.2
100,67.0,1.124,4.83,-6.1,0.792,3,97,0,10,0.25,0.001,0.2
103,67.0,1.115,4.54,-5.88,0.773,3,100,0,8,0.4,0.001,0.3
97,67.0,1.124,4.66,-6.11,0.763,3,94,0,10,0.25,0.001,0.3
68,66.2,1.176,4.8,-6.51,0.737,3,65,0,18,0.2,0.001,0.7
73,67.1,1.197,5.66,-7.71,0.734,3,70,0,18,0.2,0.0005,0.5
73,67.1,1.197,5.66,-7.71,0.734,3,70,0,18,0.2,0.0,0.5
