trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,trail_act,trail_dist
83,75.9,1.446,11.02,-3.12,3.527,3,80,0,2.5,0.1
77,74.0,1.477,11.64,-3.5,3.323,2,75,0,3.0,0.1
83,75.9,1.387,9.5,-3.15,3.012,3,80,0,2.5,0.2
77,74.0,1.423,10.27,-3.54,2.906,2,75,0,3.0,0.2
65,63.1,1.397,11.71,-4.18,2.803,11,54,0,5.0,0.1
65,63.1,1.377,11.07,-4.3,2.576,11,54,0,5.0,0.2
83,75.9,1.328,7.99,-3.18,2.514,3,80,0,2.5,0.3
77,74.0,1.37,8.92,-3.7,2.412,2,75,0,3.0,0.3
65,63.1,1.356,10.43,-4.42,2.362,11,54,0,5.0,0.3
76,71.1,1.455,12.32,-5.58,2.208,3,73,0,3.5,0.1
65,63.1,1.336,9.8,-4.54,2.161,11,54,0,5.0,0.4
77,74.0,1.336,8.08,-3.86,2.094,2,75,0,3.0,0.4
83,75.9,1.269,6.51,-3.21,2.03,3,80,0,2.5,0.4
65,63.1,1.315,9.18,-4.65,1.972,11,54,0,5.0,0.5
76,71.1,1.411,11.05,-5.7,1.939,3,73,0,3.5,0.2
65,63.1,1.295,8.55,-4.8,1.782,11,54,0,5.0,0.6
76,71.1,1.367,9.8,-5.82,1.683,3,73,0,3.5,0.3
77,74.0,1.282,6.75,-4.02,1.679,2,75,0,3.0,0.5
83,75.9,1.21,5.05,-3.32,1.521,3,80,0,2.5,0.5
76,71.1,1.322,8.57,-5.95,1.441,3,73,0,3.5,0.4
65,63.1,1.254,7.33,-5.14,1.424,11,54,0,5.0,0.8
65,63.1,1.246,7.08,-5.25,1.349,12,53,0,5.0,1.0
76,71.1,1.303,8.02,-6.07,1.321,4,72,0,3.5,0.5
77,74.0,1.229,5.44,-4.18,1.3,2,75,0,3.0,0.6
76,71.1,1.268,7.03,-6.19,1.136,4,72,0,3.5,0.6
83,75.9,1.151,3.6,-3.48,1.034,3,80,0,2.5,0.6
70,64.3,1.221,6.67,-6.75,0.988,6,64,0,4.0,0.1
70,64.3,1.193,5.8,-7.02,0.826,6,64,0,4.0,0.2
92,77.2,1.19,4.91,-5.98,0.821,1,91,0,2.0,0.1
76,71.1,1.185,4.82,-6.44,0.749,4,72,0,3.5,0.8
77,74.0,1.134,3.16,-4.5,0.702,2,75,0,3.0,0.8
70,64.3,1.165,4.93,-7.29,0.677,6,64,0,4.0,0.3
70,64.3,1.137,4.08,-7.56,0.539,6,64,0,4.0,0.4
92,77.2,1.126,3.22,-6.36,0.506,1,91,0,2.0,0.2
70,64.3,1.117,3.48,-7.6,0.457,6,64,0,4.0,0.5
104,80.8,1.101,2.32,-5.33,0.435,1,103,0,1.5,0.1
76,71.1,1.109,2.8,-6.45,0.433,4,72,0,3.5,1.0
70,64.3,1.089,2.63,-7.87,0.334,6,64,0,4.0,0.6
123,75.6,1.046,0.9,-3.42,0.262,1,122,0,1.0,0.1
77,74.0,1.05,1.17,-4.49,0.26,2,75,0,3.0,1.0
92,77.2,1.062,1.56,-6.74,0.231,1,91,0,2.0,0.3
70,65.7,1.061,1.72,-7.69,0.224,7,63,0,4.0,1.0
83,75.9,1.033,0.78,-3.82,0.203,3,80,0,2.5,0.8
70,64.3,1.033,0.96,-8.4,0.115,6,64,0,4.0,0.8
104,79.8,1.014,0.32,-5.85,0.055,1,103,0,1.5,0.2
92,77.2,0.999,-0.03,-7.11,-0.004,1,91,0,2.0,0.4
92,77.2,0.934,-1.64,-7.49,-0.219,1,91,0,2.0,0.5
104,77.9,0.927,-1.64,-6.35,-0.258,1,103,0,1.5,0.3
83,75.9,0.94,-1.38,-4.15,-0.333,3,80,0,2.5,1.0
123,74.0,0.919,-1.61,-4.1,-0.392,1,122,0,1.0,0.2
92,77.2,0.869,-3.22,-7.86,-0.41,1,91,0,2.0,0.6
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.1
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.5
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.6
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.3
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.2
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,1.0
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.4
62,43.5,0.865,-5.58,-11.89,-0.469,27,35,0,99.0,0.8
104,77.9,0.84,-3.56,-6.86,-0.519,1,103,0,1.5,0.4
123,72.4,0.793,-4.1,-5.92,-0.692,1,122,0,1.0,0.3
104,77.9,0.753,-5.45,-7.55,-0.722,1,103,0,1.5,0.5
92,76.1,0.739,-6.31,-8.6,-0.734,1,91,0,2.0,0.8
123,68.3,0.697,-6.04,-7.67,-0.788,1,122,0,1.0,0.4
104,71.2,0.667,-7.3,-8.54,-0.855,1,103,0,1.5,0.6
121,57.9,0.583,-8.45,-9.4,-0.898,1,120,0,1.0,0.5
91,71.4,0.675,-7.44,-8.22,-0.906,1,90,0,2.0,1.0
123,50.4,0.488,-10.69,-11.43,-0.936,1,122,0,1.0,0.6
120,36.7,0.345,-14.65,-15.09,-0.971,1,119,0,1.0,0.8
117,29.9,0.278,-16.81,-16.98,-0.99,1,116,0,1.0,1.0
104,57.7,0.518,-10.67,-10.74,-0.994,1,103,0,1.5,0.8
103,48.5,0.421,-13.23,-13.23,-1.0,1,102,0,1.5,1.0
