adx_thresh,pb_pct,risk_pct,sl_mult,tp_mult,trail_act,trail_dist,trades,wr,pf,net_pct,max_dd,calmar
15,0.4,3.5,4.0,8.0,3.5,0.1,24,79.2,3.31,50.77,7.55,6.727
12,0.4,3.5,4.0,8.0,3.5,0.1,24,79.2,3.31,50.76,7.55,6.726
15,0.4,3.5,4.0,8.0,3.5,0.2,24,79.2,3.237,48.86,7.55,6.475
12,0.4,3.5,4.0,8.0,3.5,0.2,24,79.2,3.237,48.85,7.55,6.473
15,0.4,3.5,4.0,7.0,3.5,0.1,24,79.2,3.219,48.58,7.55,6.437
12,0.4,3.5,4.0,7.0,3.5,0.1,24,79.2,3.219,48.57,7.55,6.436
15,0.4,3.0,4.0,8.0,3.5,0.1,24,79.2,3.499,47.97,6.49,7.395
12,0.4,3.0,4.0,8.0,3.5,0.1,24,79.2,3.499,47.97,6.49,7.394
15,0.4,3.5,4.0,8.0,3.5,0.3,24,79.2,3.164,46.98,7.55,6.226
12,0.4,3.5,4.0,8.0,3.5,0.3,24,79.2,3.163,46.96,7.55,6.223
15,0.4,3.5,4.0,7.0,3.5,0.2,24,79.2,3.151,46.82,7.55,6.204
12,0.4,3.5,4.0,7.0,3.5,0.2,24,79.2,3.15,46.81,7.55,6.202
15,0.4,3.0,4.0,8.0,3.5,0.2,24,79.2,3.421,46.22,6.49,7.125
12,0.4,3.0,4.0,8.0,3.5,0.2,24,79.2,3.421,46.21,6.49,7.123
15,0.4,3.0,4.0,7.0,3.5,0.1,24,79.2,3.405,46.03,6.49,7.095
12,0.4,3.0,4.0,7.0,3.5,0.1,24,79.2,3.405,46.02,6.49,7.094
15,0.4,3.5,4.0,6.0,3.5,0.1,24,79.2,3.11,45.99,7.55,6.094
12,0.4,3.5,4.0,6.0,3.5,0.1,24,79.2,3.109,45.98,7.55,6.093
15,0.4,3.5,4.0,8.0,3.5,0.4,24,79.2,3.096,45.28,7.55,6.0
