trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,trail_act,trail_dist
25,76.0,2.422,10.86,-3.58,3.035,7,18,0,3.5,0.2
25,76.0,2.375,10.48,-3.61,2.905,7,18,0,3.5,0.3
25,76.0,2.327,10.1,-3.63,2.778,7,18,0,3.5,0.4
25,76.0,2.28,9.71,-3.66,2.653,7,18,0,3.5,0.5
25,76.0,2.229,9.33,-3.8,2.457,10,15,0,3.5,1.0
25,76.0,2.233,9.33,-3.69,2.531,7,18,0,3.5,0.6
25,76.0,2.191,9.01,-3.74,2.407,8,17,0,3.5,0.8
26,73.1,1.793,6.96,-3.58,1.944,4,22,0,3.0,0.2
26,73.1,1.74,6.47,-3.61,1.794,4,22,0,3.0,0.3
24,66.7,1.632,6.39,-3.61,1.77,11,13,0,4.0,0.2
24,66.7,1.62,6.27,-3.64,1.723,11,13,0,4.0,0.3
24,66.7,1.608,6.15,-3.67,1.676,11,13,0,4.0,0.4
26,73.1,1.7,6.11,-3.63,1.682,4,22,0,3.0,0.4
24,66.7,1.596,6.02,-3.69,1.631,11,13,0,4.0,0.5
24,66.7,1.584,5.9,-3.72,1.585,11,13,0,4.0,0.6
24,66.7,1.56,5.65,-3.77,1.497,11,13,0,4.0,0.8
26,73.1,1.646,5.63,-3.66,1.538,4,22,0,3.0,0.5
24,66.7,1.537,5.4,-3.83,1.412,11,13,0,4.0,1.0
26,73.1,1.593,5.15,-3.69,1.396,4,22,0,3.0,0.6
26,73.1,1.566,4.92,-3.8,1.296,7,19,0,3.0,1.0
26,73.1,1.553,4.79,-3.74,1.281,5,21,0,3.0,0.8
28,75.0,1.464,4.03,-3.08,1.309,2,26,0,2.5,0.2
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,0.2
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,0.3
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,0.5
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,0.6
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,0.8
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,1.0
22,59.1,1.319,3.55,-5.64,0.629,13,9,0,99.0,0.4
28,75.0,1.398,3.44,-3.09,1.112,2,26,0,2.5,0.3
28,75.0,1.331,2.85,-3.11,0.918,2,26,0,2.5,0.4
28,75.0,1.264,2.27,-3.13,0.726,2,26,0,2.5,0.5
28,75.0,1.198,1.69,-3.22,0.527,2,26,0,2.5,0.6
28,75.0,1.086,0.73,-3.38,0.216,2,26,0,2.5,0.8
34,70.6,1.013,0.16,-3.08,0.052,2,32,0,2.0,0.2
28,75.0,0.952,-0.41,-3.55,-0.114,2,26,0,2.5,1.0
34,70.6,0.957,-0.53,-3.11,-0.171,2,32,0,2.0,0.3
51,70.6,0.938,-0.62,-3.05,-0.203,2,49,0,1.0,0.2
39,74.4,0.916,-1.01,-4.39,-0.231,2,37,0,1.5,0.2
34,70.6,0.9,-1.22,-3.13,-0.39,2,32,0,2.0,0.4
39,74.4,0.845,-1.87,-4.51,-0.414,2,37,0,1.5,0.3
34,70.6,0.844,-1.9,-3.15,-0.604,2,32,0,2.0,0.5
51,68.6,0.811,-1.92,-3.28,-0.586,2,49,0,1.0,0.3
34,70.6,0.787,-2.58,-3.37,-0.765,2,32,0,2.0,0.6
39,74.4,0.773,-2.72,-4.64,-0.586,2,37,0,1.5,0.4
49,63.3,0.671,-3.37,-3.64,-0.926,2,47,0,1.0,0.4
39,71.8,0.701,-3.56,-4.77,-0.747,2,37,0,1.5,0.5
34,70.6,0.674,-3.92,-4.54,-0.865,2,32,0,2.0,0.8
33,72.7,0.627,-4.0,-4.44,-0.901,2,31,0,2.0,1.0
39,69.2,0.646,-4.21,-5.04,-0.835,2,37,0,1.5,0.6
47,44.7,0.569,-4.56,-4.65,-0.982,2,45,0,1.0,0.5
47,44.7,0.486,-5.69,-5.73,-0.994,2,45,0,1.0,0.6
39,64.1,0.512,-5.83,-6.23,-0.935,2,37,0,1.5,0.8
50,30.0,0.4,-6.85,-6.85,-1.0,2,48,0,1.0,0.8
39,56.4,0.431,-6.9,-7.07,-0.975,2,37,0,1.5,1.0
50,26.0,0.308,-8.99,-8.99,-1.0,2,48,0,1.0,1.0
