min_body,panic_mult,tp_mult,sl_mult,max_bars,trades,wr,pf,net_pct,final_eq,max_dd,calmar
0.05,1.3,2.5,1.5,0,10,70.0,2.033,4.47,10447.42,-1.43,3.125
0.05,1.3,2.5,1.5,12,10,60.0,1.41,1.26,10125.94,-1.34,0.939
0.05,1.3,2.5,1.5,18,10,50.0,1.871,2.81,10280.65,-1.59,1.766
0.05,1.3,2.5,1.5,25,10,70.0,2.255,3.87,10387.36,-1.43,2.706
0.05,1.3,2.5,2.0,0,10,90.0,6.511,7.3,10730.15,-1.31,5.562
0.05,1.3,2.5,2.0,12,10,60.0,1.937,1.57,10157.17,-0.64,2.462
0.05,1.3,2.5,2.0,18,10,50.0,2.48,2.69,10269.24,-1.19,2.256
0.05,1.3,2.5,2.0,25,10,90.0,41.023,6.19,10619.0,-0.15,40.394
0.05,1.3,2.5,2.5,0,10,90.0,5.442,5.59,10559.42,-1.25,4.475
0.05,1.3,2.5,2.5,12,10,60.0,1.94,1.26,10125.83,-0.51,2.464
0.05,1.3,2.5,2.5,18,10,50.0,2.484,2.15,10215.24,-0.96,2.253
0.05,1.3,2.5,2.5,25,10,90.0,40.891,4.93,10492.66,-0.12,40.187
0.05,1.3,3.0,1.5,0,10,70.0,2.397,6.1,10610.44,-1.43,4.264
0.05,1.3,3.0,1.5,12,10,60.0,1.487,1.5,10149.74,-1.34,1.117
0.05,1.3,3.0,1.5,18,10,50.0,2.151,3.73,10372.73,-1.59,2.345
0.05,1.3,3.0,1.5,25,10,70.0,2.548,4.8,10480.39,-1.43,3.355
0.05,1.3,3.0,2.0,0,10,90.0,7.85,9.1,10909.8,-1.31,6.931
0.05,1.3,3.0,2.0,12,10,60.0,2.044,1.75,10175.15,-0.64,2.743
0.05,1.3,3.0,2.0,18,10,50.0,2.855,3.38,10338.41,-1.19,2.836
0.05,1.3,3.0,2.0,25,10,90.0,47.244,7.17,10716.99,-0.15,46.788
0.05,1.3,3.0,2.5,0,10,90.0,6.554,7.01,10700.93,-1.25,5.607
0.05,1.3,3.0,2.5,12,10,60.0,2.047,1.4,10140.2,-0.51,2.745
0.05,1.3,3.0,2.5,18,10,50.0,2.859,2.7,10270.37,-0.96,2.831
0.05,1.3,3.0,2.5,25,10,90.0,47.081,5.7,10570.23,-0.12,46.514
0.05,1.3,3.5,1.5,0,10,70.0,2.619,7.11,10711.35,-1.43,4.968
0.05,1.3,3.5,1.5,12,10,60.0,1.594,1.83,10182.99,-1.34,1.365
0.05,1.3,3.5,1.5,18,10,50.0,2.458,4.75,10475.07,-1.59,2.989
0.05,1.3,3.5,1.5,25,10,70.0,2.87,5.84,10583.79,-1.43,4.078
0.05,1.3,3.5,2.0,0,10,90.0,8.384,9.83,10983.17,-1.31,7.489
0.05,1.3,3.5,2.0,12,10,60.0,2.193,2.0,10200.26,-0.64,3.137
0.05,1.3,3.5,2.0,18,10,50.0,3.267,4.15,10415.17,-1.19,3.479
0.05,1.3,3.5,2.0,25,10,90.0,53.965,8.23,10823.22,-0.15,53.72
0.05,1.3,3.5,2.5,0,10,90.0,7.0,7.59,10758.65,-1.25,6.068
0.05,1.3,3.5,2.5,12,10,60.0,2.196,1.6,10160.27,-0.51,3.138
0.05,1.3,3.5,2.5,18,10,50.0,3.273,3.31,10331.5,-0.96,3.47
0.05,1.3,3.5,2.5,25,10,90.0,53.761,6.54,10654.2,-0.12,53.363
0.05,1.3,4.0,1.5,0,10,70.0,2.925,8.52,10852.05,-1.43,5.951
0.05,1.3,4.0,1.5,12,10,60.0,1.701,2.16,10216.24,-1.34,1.613
0.05,1.3,4.0,1.5,18,10,50.0,2.763,5.78,10578.08,-1.59,3.637
0.05,1.3,4.0,1.5,25,10,70.0,3.189,6.88,10687.87,-1.43,4.805
0.05,1.3,4.0,2.0,0,10,90.0,9.116,10.83,11083.23,-1.31,8.252
0.05,1.3,4.0,2.0,12,10,60.0,2.342,2.25,10225.36,-0.64,3.53
0.05,1.3,4.0,2.0,18,10,50.0,3.678,4.92,10492.31,-1.19,4.126
0.05,1.3,4.0,2.0,25,10,90.0,58.44,8.95,10894.97,-0.15,58.403
0.05,1.3,4.0,2.5,0,10,90.0,7.608,8.37,10837.24,-1.25,6.697
0.05,1.3,4.0,2.5,12,10,60.0,2.346,1.8,10180.34,-0.51,3.531
0.05,1.3,4.0,2.5,18,10,50.0,3.686,3.93,10392.87,-0.96,4.113
0.05,1.3,4.0,2.5,25,10,90.0,58.218,7.11,10710.85,-0.12,57.985
0.05,1.5,2.5,1.5,0,11,72.7,2.329,5.81,10580.58,-1.43,4.055
0.05,1.5,2.5,1.5,12,11,63.6,1.823,2.55,10255.0,-1.34,1.902
0.05,1.5,2.5,1.5,18,11,54.5,2.263,4.12,10411.69,-1.59,2.59
0.05,1.5,2.5,1.5,25,11,72.7,2.664,5.2,10519.75,-1.43,3.63
0.05,1.5,2.5,2.0,0,11,90.9,7.285,8.33,10832.73,-1.31,6.343
