preset,adx,pb_pct,vol_mult,atr_floor,sl_mult,tp_mult,trail_act,trail_dist,max_bars,risk_pct,trades,wr,pf,net_pct,final_eq,max_dd,calmar
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.1,20,2.5,23,65.2,2.531,26.79,12679.24,-6.28,4.268
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,20,2.5,23,65.2,2.516,26.51,12650.58,-6.28,4.222
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.2,20,2.5,23,65.2,2.493,26.05,12604.86,-6.28,4.149
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.2,20,2.5,23,65.2,2.485,25.89,12589.5,-6.28,4.125
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.1,25,2.5,23,60.9,2.288,25.85,12584.8,-5.64,4.582
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.1,25,2.5,23,56.5,2.269,25.69,12569.2,-8.0,3.212
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.1,20,2.0,23,65.2,2.542,25.64,12563.95,-6.31,4.064
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.5,20,2.5,23,65.2,2.464,25.53,12553.14,-6.28,4.067
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.1,0,2.5,23,56.5,2.078,25.49,12549.02,-9.48,2.688
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,20,2.0,23,65.2,2.527,25.39,12538.9,-6.31,4.024
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.3,20,2.5,23,65.2,2.455,25.31,12530.86,-6.28,4.031
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.3,20,2.5,23,65.2,2.454,25.29,12528.67,-6.28,4.028
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.5,20,2.5,23,65.2,2.451,25.29,12529.08,-6.28,4.028
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.1,20,2.5,23,65.2,2.443,25.18,12518.33,-6.28,4.011
relaxed,15,0.4,0.5,0.0,2.5,9.0,3.0,0.1,25,2.5,23,60.9,2.252,25.09,12509.34,-5.64,4.448
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.2,20,2.0,23,65.2,2.502,24.92,12491.78,-6.31,3.949
relaxed,15,0.4,0.5,0.0,2.5,10.0,3.0,0.2,25,2.5,23,60.9,2.246,24.91,12490.84,-5.64,4.415
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,25,2.5,23,56.5,2.232,24.9,12490.5,-8.0,3.114
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.2,25,2.5,23,56.5,2.23,24.82,12481.64,-8.0,3.103
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.2,20,2.0,23,65.2,2.495,24.78,12478.35,-6.31,3.928
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.1,0,2.5,23,56.5,2.046,24.7,12470.43,-9.48,2.606
relaxed,15,0.4,0.5,0.0,2.0,9.0,3.0,0.4,20,2.5,23,65.2,2.423,24.68,12468.11,-6.28,3.931
relaxed,15,0.4,0.5,0.0,2.0,8.0,3.0,0.2,20,2.5,23,65.2,2.413,24.58,12457.89,-6.28,3.915
relaxed,15,0.4,0.5,0.0,2.0,10.0,3.0,0.4,20,2.5,23,65.2,2.417,24.57,12457.25,-6.28,3.914
