entry_time,exit_time,direction,entry,exit,pnl,equity,exit_reason
2024-05-05 07:00:00+00:00,2024-05-05 15:00:00+00:00,long,63762.27734375,64347.477450503065,86.86503095444766,10086.865030954448,TP
2024-05-05 23:00:00+00:00,2024-05-06 08:00:00+00:00,long,64044.046875,64552.12890625,92.18721917230842,10179.052250126757,SL
2024-07-16 15:00:00+00:00,2024-07-17 01:00:00+00:00,long,64916.21484375,65800.1430352168,92.75877999339566,10271.811030120152,TP
2024-07-27 21:00:00+00:00,2024-07-27 23:00:00+00:00,long,68854.359375,68061.81527083881,-113.365167535328,10158.445862584824,SL
2024-12-16 14:00:00+00:00,2024-12-16 15:00:00+00:00,long,105328.8671875,106379.63252291446,89.30409919368824,10247.749961778512,TP
2024-12-16 15:00:00+00:00,2024-12-16 18:00:00+00:00,long,106309.84375,107404.14816859913,90.46939191781395,10338.219353696326,TP
2025-07-03 13:00:00+00:00,2025-07-03 14:00:00+00:00,long,110462.3203125,109717.87042567381,-121.72812507221539,10216.49122862411,SL
2025-09-11 16:00:00+00:00,2025-09-11 22:00:00+00:00,long,114540.5390625,115208.68983934663,81.0867569069713,10297.577985531081,TP
2025-09-12 17:00:00+00:00,2025-09-12 18:00:00+00:00,long,115872.78125,116428.72774841244,77.15880381284552,10374.736789343926,TP
2025-10-03 08:00:00+00:00,2025-10-03 14:00:00+00:00,long,120075.640625,120737.30944878743,81.09218860135587,10455.828977945283,TP
2025-10-27 15:00:00+00:00,2025-10-27 18:00:00+00:00,long,114995.8984375,115707.828125,84.70862486849835,10540.537602813782,TP
2026-02-15 03:00:00+00:00,2026-02-15 07:00:00+00:00,long,69957.2265625,70532.57151036966,89.96241780057156,10630.500020614354,TP
