adx,vol,tp,sl,n,wr,pf,ret,sig
18,0.5,3.5,2.0,4,75.0,3.982,3.62,7
12,0.5,3.5,2.0,8,75.0,3.799,7.02,20
18,0.5,3.0,2.0,4,75.0,3.359,2.85,7
12,0.5,3.0,2.0,8,75.0,3.175,5.45,20
12,0.5,2.5,2.0,9,77.8,3.026,5.07,20
18,0.5,2.0,2.0,5,80.0,2.82,2.21,7
18,0.5,2.5,2.0,4,75.0,2.735,2.09,7
18,0.6,3.5,2.0,3,66.7,2.57,1.9,6
18,0.8,3.5,2.0,3,66.7,2.57,1.9,6
18,0.9,3.5,2.0,3,66.7,2.57,1.9,6
18,0.7,3.5,2.0,3,66.7,2.57,1.9,6
12,0.5,2.0,2.0,9,77.8,2.294,3.25,20
18,0.6,3.0,2.0,3,66.7,2.16,1.4,6
18,0.7,3.0,2.0,3,66.7,2.16,1.4,6
18,0.9,3.0,2.0,3,66.7,2.16,1.4,6
18,0.8,3.0,2.0,3,66.7,2.16,1.4,6
14,0.5,3.5,2.0,8,62.5,2.092,4.1,14
18,0.8,2.0,2.0,4,75.0,2.046,1.27,6
18,0.7,2.0,2.0,4,75.0,2.046,1.27,6
18,0.9,2.0,2.0,4,75.0,2.046,1.27,6
18,0.6,2.0,2.0,4,75.0,2.046,1.27,6
12,0.6,2.0,2.0,8,75.0,1.919,2.31,18
14,0.5,3.0,2.0,8,62.5,1.755,2.83,14
18,0.7,2.5,2.0,3,66.7,1.748,0.9,6
18,0.6,2.5,2.0,3,66.7,1.748,0.9,6
18,0.8,2.5,2.0,3,66.7,1.748,0.9,6
18,0.9,2.5,2.0,3,66.7,1.748,0.9,6
14,0.5,2.5,2.0,9,66.7,1.725,2.71,14
12,0.5,3.0,1.5,9,55.6,1.664,3.48,20
18,0.5,3.5,1.5,4,50.0,1.662,1.73,7
12,0.6,3.5,2.0,7,57.1,1.642,2.41,18
12,0.7,3.5,2.0,7,57.1,1.641,2.41,15
12,0.8,3.5,2.0,7,57.1,1.641,2.41,14
12,0.9,3.5,2.0,7,57.1,1.637,2.4,12
12,0.5,2.5,1.5,10,60.0,1.635,3.32,20
14,0.6,3.5,2.0,7,57.1,1.634,2.38,13
12,0.7,2.0,2.0,7,71.4,1.564,1.42,15
12,0.6,2.5,2.0,8,62.5,1.412,1.54,18
18,0.5,3.0,1.5,4,50.0,1.408,1.07,7
14,0.6,2.5,2.0,8,62.5,1.405,1.51,13
12,0.6,3.0,2.0,7,57.1,1.375,1.41,18
12,0.8,3.0,2.0,7,57.1,1.375,1.4,14
12,0.7,3.0,2.0,7,57.1,1.375,1.4,15
12,0.9,3.0,2.0,7,57.1,1.371,1.39,12
14,0.6,3.0,2.0,7,57.1,1.368,1.38,13
18,0.5,2.0,1.5,5,60.0,1.351,0.91,7
14,0.5,2.0,2.0,9,66.7,1.316,1.18,14
12,0.5,3.5,1.5,9,44.4,1.268,1.74,20
16,0.5,3.5,2.0,6,50.0,1.261,0.98,11
12,0.5,2.0,1.5,10,60.0,1.249,1.3,20
14,0.7,3.5,2.0,6,50.0,1.224,0.84,11
14,0.8,3.5,2.0,6,50.0,1.224,0.84,11
14,0.9,3.5,2.0,6,50.0,1.221,0.83,10
16,0.5,2.5,2.0,7,57.1,1.165,0.62,11
18,0.5,2.5,1.5,4,50.0,1.155,0.41,7
12,0.8,2.5,2.0,7,57.1,1.109,0.41,14
