ts,dir,entry,exit,reason,pnl_pct,dp,equity
2025-03-27 13:30,short,7.535,7.5544,TSL,-0.258,-146.5,9853.5
2025-04-04 09:30,short,7.285,6.8248,TSL,6.317,920.38,10773.88
2025-05-13 09:30,long,7.23,7.3079,TSL,1.078,357.82,11131.7
2025-05-14 15:30,long,7.37,7.3483,TSL,-0.295,-156.6,10975.1
2025-05-19 09:30,long,7.29,7.2656,TSL,-0.335,-149.1,10826.01
2025-06-03 14:00,long,7.79,7.8529,TSL,0.807,271.0,11097.0
2025-06-05 14:00,long,7.925,7.9079,TSL,-0.216,-172.58,10924.43
2025-06-06 13:00,long,7.96,7.932,TSL,-0.352,-146.48,10777.95
2025-06-09 11:30,long,7.94,8.0176,TSL,0.977,304.55,11082.5
2025-06-11 10:30,long,8.005,8.0778,TSL,0.909,313.08,11395.58
2025-06-25 09:30,long,7.94,7.9884,TSL,0.609,269.28,11664.86
2025-06-26 09:30,long,7.955,7.9417,TSL,-0.168,-167.7,11497.16
2025-06-27 13:30,long,7.95,7.9889,TSL,0.489,212.41,11709.57
2025-06-30 10:30,long,7.98,8.0739,TSL,1.177,618.84,12328.41
2025-07-10 09:30,long,8.205,8.195,TSL,-0.121,-148.77,12179.64
2025-07-11 14:30,long,8.265,8.2499,TSL,-0.183,-184.43,11995.21
2025-07-15 09:30,long,8.255,8.24,TSL,-0.182,-181.13,11814.08
