em,at,pb,mb,pm,sl,tp,ta,td,rl,rh,rs,rx,vm,dl,ds,pf,wr,np,n,dd
34,28,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,3.604568195569476,57.14285714285714,9.060435672273798,7,-1.110933484949846
34,25,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,3.3913553645799666,55.55555555555556,11.051982873152392,9,-2.0832619171130733
34,28,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,2.9119201816406477,57.14285714285714,6.548288796812103,7,-1.1109334849498522
34,25,0.1,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,2.7542059646480466,55.55555555555556,7.967110827263332,9,-2.083261917113083
34,33,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.7161801751007166,50.0,5.909272269930134,6,-2.147201603542966
34,33,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.7161801751007166,50.0,5.909272269930134,6,-2.147201603542966
50,28,0.1,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.709238149963293,50.0,11.885521585525384,12,-3.15696523606941
34,28,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.6283918480023836,50.0,7.768468385377838,8,-2.2824072479288073
34,28,0.1,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.494585041814443,57.14285714285714,4.935172568087891,7,-1.0737556566332387
34,25,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.451201731857838,50.0,9.24891103637943,10,-2.0832619171130733
34,25,0.25,0.15,2.0,1.0,2.5,99.0,0.5,42,70,30,58,1.0,True,False,2.344333942320842,53.333333333333336,11.684573490899746,15,-2.6592232258993342
34,25,0.1,0.15,2.0,1.5,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.3374135714776063,55.55555555555556,5.863393425372687,9,-2.0517836677945906
34,28,0.1,0.15,2.0,1.0,2.0,99.0,0.5,42,70,30,58,1.0,True,False,2.326664648242493,57.14285714285714,4.48430503077012,7,-1.1109334849498431
50,28,0.15,0.15,2.0,1.0,3.0,99.0,0.5,42,70,30,58,1.0,True,False,2.2814241138507074,46.15384615384615,10.560087362979576,13,-3.15696523606941
