adx_thresh,adx_slope,di_spread,tp,risk,n,wr,pf,ret,mdd,calmar
14,1,2.0,5.0,0.02,8,37.5,1.088,1.02,-3.24,0.31
12,1,4.0,5.0,0.02,8,37.5,1.088,1.02,-3.24,0.31
14,1,0.0,5.0,0.02,8,37.5,1.088,1.02,-3.24,0.31
14,1,4.0,5.0,0.02,8,37.5,1.088,1.02,-3.24,0.31
12,1,2.0,5.0,0.02,8,37.5,1.088,1.02,-3.24,0.31
12,1,0.0,5.0,0.02,8,37.5,1.088,1.02,-3.24,0.31
10,1,0.0,5.0,0.02,8,37.5,1.073,0.87,-3.39,0.26
10,1,4.0,5.0,0.02,8,37.5,1.073,0.87,-3.39,0.26
10,1,2.0,5.0,0.02,8,37.5,1.073,0.87,-3.39,0.26
12,1,2.0,5.0,0.025,8,37.5,1.05,0.66,-3.63,0.18
12,1,0.0,5.0,0.025,8,37.5,1.05,0.66,-3.63,0.18
14,1,2.0,5.0,0.025,8,37.5,1.05,0.66,-3.63,0.18
14,1,0.0,5.0,0.025,8,37.5,1.05,0.66,-3.63,0.18
14,1,4.0,5.0,0.025,8,37.5,1.05,0.66,-3.63,0.18
12,1,4.0,5.0,0.025,8,37.5,1.05,0.66,-3.63,0.18
10,1,0.0,5.0,0.025,8,37.5,1.038,0.51,-3.78,0.13
10,1,2.0,5.0,0.025,8,37.5,1.038,0.51,-3.78,0.13
10,1,4.0,5.0,0.025,8,37.5,1.038,0.51,-3.78,0.13
14,1,2.0,5.0,0.015,8,37.5,1.016,0.16,-3.05,0.05
12,1,4.0,5.0,0.015,8,37.5,1.016,0.16,-3.05,0.05
12,1,2.0,5.0,0.015,8,37.5,1.016,0.16,-3.05,0.05
12,1,0.0,5.0,0.015,8,37.5,1.016,0.16,-3.05,0.05
14,1,4.0,5.0,0.015,8,37.5,1.016,0.16,-3.05,0.05
14,1,0.0,5.0,0.015,8,37.5,1.016,0.16,-3.05,0.05
10,1,4.0,5.0,0.015,8,37.5,1.013,0.13,-3.08,0.04
10,1,2.0,5.0,0.015,8,37.5,1.013,0.13,-3.08,0.04
10,1,0.0,5.0,0.015,8,37.5,1.013,0.13,-3.08,0.04
10,1,2.0,5.0,0.01,8,37.5,1.007,0.04,-2.11,0.02
10,1,4.0,5.0,0.01,8,37.5,1.007,0.04,-2.11,0.02
10,1,0.0,5.0,0.01,8,37.5,1.007,0.04,-2.11,0.02
12,1,4.0,5.0,0.01,8,37.5,1.001,0.0,-2.15,0.0
12,1,2.0,5.0,0.01,8,37.5,1.001,0.0,-2.15,0.0
12,1,0.0,5.0,0.01,8,37.5,1.001,0.0,-2.15,0.0
14,1,0.0,5.0,0.01,8,37.5,1.001,0.0,-2.15,0.0
14,1,4.0,5.0,0.01,8,37.5,1.001,0.0,-2.15,0.0
14,1,2.0,5.0,0.01,8,37.5,1.001,0.0,-2.15,0.0
14,0,4.0,5.0,0.02,12,33.3,0.96,-0.71,-7.03,-0.1
12,0,4.0,5.0,0.02,12,33.3,0.96,-0.71,-7.03,-0.1
10,0,4.0,5.0,0.02,12,33.3,0.952,-0.86,-7.17,-0.12
14,0,4.0,5.0,0.025,12,33.3,0.944,-1.13,-7.95,-0.14
12,0,4.0,5.0,0.025,12,33.3,0.944,-1.13,-7.95,-0.14
10,0,4.0,5.0,0.025,12,33.3,0.937,-1.28,-8.09,-0.16
10,1,2.0,4.0,0.01,8,37.5,0.783,-1.42,-3.07,-0.46
10,1,0.0,4.0,0.01,8,37.5,0.783,-1.42,-3.07,-0.46
10,1,4.0,4.0,0.01,8,37.5,0.783,-1.42,-3.07,-0.46
12,1,0.0,4.0,0.01,8,37.5,0.778,-1.46,-3.11,-0.47
14,1,0.0,4.0,0.01,8,37.5,0.778,-1.46,-3.11,-0.47
12,1,4.0,4.0,0.01,8,37.5,0.778,-1.46,-3.11,-0.47
12,1,2.0,4.0,0.01,8,37.5,0.778,-1.46,-3.11,-0.47
14,1,2.0,4.0,0.01,8,37.5,0.778,-1.46,-3.11,-0.47
14,1,4.0,4.0,0.01,8,37.5,0.778,-1.46,-3.11,-0.47
14,0,4.0,5.0,0.015,12,33.3,0.897,-1.5,-6.29,-0.24
12,0,4.0,5.0,0.015,12,33.3,0.897,-1.5,-6.29,-0.24
10,0,4.0,5.0,0.015,12,33.3,0.895,-1.53,-6.31,-0.24
10,0,4.0,5.0,0.01,12,33.3,0.851,-1.55,-4.79,-0.32
12,0,4.0,5.0,0.01,12,33.3,0.847,-1.59,-4.83,-0.33
14,0,4.0,5.0,0.01,12,33.3,0.847,-1.59,-4.83,-0.33
12,1,2.0,4.0,0.02,8,37.5,0.847,-1.75,-4.99,-0.35
12,1,0.0,4.0,0.02,8,37.5,0.847,-1.75,-4.99,-0.35
14,1,4.0,4.0,0.02,8,37.5,0.847,-1.75,-4.99,-0.35
14,1,2.0,4.0,0.02,8,37.5,0.847,-1.75,-4.99,-0.35
