rsi_dir,ema_slope,pb_pct,adx_thresh,tp,risk,n,wr,pf,ret,mdd,calmar
1,1,0.2,14,8.0,0.02,9,33.3,1.564,7.61,-6.97,1.09
1,1,0.2,14,8.0,0.025,9,33.3,1.479,7.37,-8.87,0.83
1,1,0.2,14,8.0,0.03,9,33.3,1.433,7.35,-10.45,0.7
0,1,0.2,14,8.0,0.02,10,30.0,1.314,4.96,-9.26,0.54
1,1,0.2,14,7.0,0.02,9,33.3,1.354,4.73,-7.75,0.61
1,1,0.2,14,7.0,0.025,9,33.3,1.28,4.27,-9.63,0.44
0,1,0.2,14,8.0,0.025,10,30.0,1.224,4.07,-11.67,0.35
1,1,0.2,14,7.0,0.03,9,33.3,1.24,4.04,-11.2,0.36
0,1,0.2,14,8.0,0.03,10,30.0,1.196,3.9,-13.34,0.29
0,1,0.2,14,7.0,0.02,10,30.0,1.138,2.16,-10.02,0.22
1,1,0.2,14,6.0,0.02,9,33.3,1.144,1.91,-8.53,0.22
1,1,0.2,14,6.0,0.025,9,33.3,1.081,1.23,-10.39,0.12
0,1,0.2,14,7.0,0.025,10,30.0,1.059,1.07,-12.4,0.09
1,1,0.5,14,8.0,0.02,16,25.0,1.03,0.8,-10.81,0.07
1,1,0.2,14,6.0,0.03,9,33.3,1.047,0.79,-11.95,0.07
0,1,0.2,14,7.0,0.03,10,30.0,1.035,0.69,-14.06,0.05
1,1,0.2,14,9.0,0.03,9,22.2,1.036,0.65,-17.93,0.04
1,1,0.5,17,7.0,0.02,14,28.6,1.021,0.49,-8.66,0.06
1,1,0.2,14,9.0,0.02,9,22.2,1.031,0.46,-14.74,0.03
1,1,0.2,14,9.0,0.025,9,22.2,1.028,0.46,-16.48,0.03
1,0,0.2,14,8.0,0.02,12,25.0,1.018,0.34,-13.39,0.03
1,0,0.2,14,8.0,0.025,12,25.0,0.988,-0.27,-16.9,-0.02
1,1,0.2,17,7.0,0.02,7,28.6,0.956,-0.5,-5.73,-0.09
0,1,0.2,14,6.0,0.02,10,30.0,0.962,-0.6,-10.77,-0.06
1,0,0.2,14,8.0,0.03,12,25.0,0.975,-0.64,-19.75,-0.03
1,1,0.5,14,8.0,0.025,16,25.0,0.964,-1.14,-13.62,-0.08
1,1,0.5,17,7.0,0.025,14,28.6,0.95,-1.36,-11.21,-0.12
0,1,0.5,14,8.0,0.02,17,23.5,0.945,-1.58,-12.92,-0.12
0,1,0.4,14,8.0,0.02,13,23.1,0.915,-1.85,-13.16,-0.14
1,1,0.3,14,8.0,0.02,13,23.1,0.915,-1.85,-13.16,-0.14
1,1,0.4,14,8.0,0.02,13,23.1,0.915,-1.85,-13.16,-0.14
0,1,0.3,14,8.0,0.02,13,23.1,0.915,-1.85,-13.16,-0.14
0,1,0.2,14,6.0,0.025,10,30.0,0.895,-1.88,-13.14,-0.14
0,1,0.5,17,7.0,0.02,15,26.7,0.925,-1.89,-10.83,-0.17
0,1,0.2,14,9.0,0.02,10,20.0,0.881,-2.01,-16.84,-0.12
0,0,0.2,14,8.0,0.02,13,23.1,0.902,-2.12,-15.52,-0.14
1,1,0.2,17,6.0,0.02,7,28.6,0.808,-2.16,-6.52,-0.33
1,0,0.2,14,7.0,0.02,12,25.0,0.879,-2.33,-14.12,-0.17
1,1,0.5,20,9.0,0.02,10,20.0,0.872,-2.4,-8.09,-0.3
0,1,0.2,14,6.0,0.03,10,30.0,0.874,-2.45,-14.78,-0.17
1,1,0.5,20,9.0,0.025,10,20.0,0.888,-2.46,-9.42,-0.26
1,1,0.2,17,7.0,0.025,7,28.6,0.809,-2.53,-7.65,-0.33
1,1,0.5,20,9.0,0.03,10,20.0,0.893,-2.56,-10.71,-0.24
0,1,0.2,14,9.0,0.03,10,20.0,0.874,-2.59,-20.57,-0.13
0,1,0.2,14,9.0,0.025,10,20.0,0.862,-2.62,-19.04,-0.14
1,1,0.5,14,7.0,0.02,16,25.0,0.895,-2.8,-12.37,-0.23
1,1,0.5,17,7.0,0.03,14,28.6,0.905,-2.85,-13.37,-0.21
1,1,0.5,14,8.0,0.03,16,25.0,0.915,-2.95,-16.16,-0.18
0,1,0.2,17,7.0,0.02,8,25.0,0.785,-2.95,-8.04,-0.37
1,1,0.5,17,6.0,0.02,14,28.6,0.867,-3.03,-10.28,-0.29
0,0,0.2,14,8.0,0.025,13,23.1,0.869,-3.33,-19.45,-0.17
1,0,0.2,14,7.0,0.025,12,25.0,0.853,-3.35,-17.59,-0.19
0,1,0.5,14,8.0,0.025,17,23.5,0.896,-3.48,-15.66,-0.22
0,1,0.5,17,7.0,0.025,15,26.7,0.873,-3.7,-13.32,-0.28
0,0,0.2,14,8.0,0.03,13,23.1,0.864,-3.83,-22.33,-0.17
1,1,0.3,14,8.0,0.025,13,23.1,0.846,-3.87,-16.0,-0.24
1,1,0.4,14,8.0,0.025,13,23.1,0.846,-3.87,-16.0,-0.24
0,1,0.4,14,8.0,0.025,13,23.1,0.846,-3.87,-16.0,-0.24
0,1,0.3,14,8.0,0.025,13,23.1,0.846,-3.87,-16.0,-0.24
1,0,0.2,14,7.0,0.03,12,25.0,0.841,-4.06,-20.42,-0.2
1,0,0.5,14,8.0,0.02,18,22.2,0.868,-4.12,-15.3,-0.27
1,1,0.2,17,6.0,0.025,7,28.6,0.684,-4.15,-8.43,-0.49
1,1,0.5,20,8.0,0.02,10,20.0,0.774,-4.19,-8.94,-0.47
1,1,0.2,17,7.0,0.03,7,28.6,0.716,-4.23,-9.26,-0.46
0,1,0.4,14,7.0,0.02,13,23.1,0.793,-4.48,-13.88,-0.32
1,1,0.4,14,7.0,0.02,13,23.1,0.793,-4.48,-13.88,-0.32
1,1,0.5,17,8.0,0.02,14,21.4,0.824,-4.48,-9.22,-0.49
0,1,0.3,14,7.0,0.02,13,23.1,0.793,-4.48,-13.88,-0.32
1,1,0.3,14,7.0,0.02,13,23.1,0.793,-4.48,-13.88,-0.32
0,1,0.2,17,6.0,0.02,8,25.0,0.663,-4.56,-8.82,-0.52
1,1,0.5,20,8.0,0.025,10,20.0,0.789,-4.6,-10.39,-0.44
0,1,0.3,14,8.0,0.03,13,23.1,0.83,-4.65,-17.64,-0.26
0,1,0.4,14,8.0,0.03,13,23.1,0.83,-4.65,-17.64,-0.26
1,1,0.4,14,8.0,0.03,13,23.1,0.83,-4.65,-17.64,-0.26
1,1,0.3,14,8.0,0.03,13,23.1,0.83,-4.65,-17.64,-0.26
0,1,0.5,20,9.0,0.02,11,18.2,0.773,-4.72,-10.28,-0.46
0,0,0.2,14,7.0,0.02,13,23.1,0.78,-4.74,-16.23,-0.29
0,1,0.5,20,9.0,0.03,11,18.2,0.815,-4.78,-12.76,-0.37
0,1,0.5,20,9.0,0.025,11,18.2,0.802,-4.79,-11.58,-0.41
1,1,0.5,20,8.0,0.03,10,20.0,0.794,-4.88,-11.68,-0.42
1,0,0.2,14,6.0,0.02,12,25.0,0.742,-4.97,-14.84,-0.33
1,1,0.5,14,9.0,0.02,16,18.8,0.821,-5.01,-17.5,-0.29
1,1,0.5,14,7.0,0.025,16,25.0,0.838,-5.04,-15.27,-0.33
0,1,0.5,14,7.0,0.02,17,23.5,0.821,-5.1,-14.45,-0.35
0,1,0.5,17,7.0,0.03,15,26.7,0.838,-5.15,-15.42,-0.33
1,1,0.5,17,6.0,0.025,14,28.6,0.807,-5.18,-12.93,-0.4
0,1,0.5,14,8.0,0.03,17,23.5,0.856,-5.25,-18.15,-0.29
0,1,0.5,17,6.0,0.02,15,26.7,0.784,-5.32,-12.41,-0.43
0,1,0.2,17,7.0,0.025,8,25.0,0.657,-5.53,-10.49,-0.53
1,1,0.2,17,6.0,0.03,7,28.6,0.605,-5.83,-10.03,-0.58
1,0,0.5,14,8.0,0.025,18,22.2,0.841,-5.84,-19.22,-0.3
1,1,0.5,17,8.0,0.025,14,21.4,0.801,-5.89,-11.61,-0.51
1,1,0.5,20,7.0,0.02,10,20.0,0.675,-5.96,-9.78,-0.61
1,1,0.5,14,6.0,0.02,16,25.0,0.759,-6.31,-13.93,-0.45
1,0,0.2,14,9.0,0.02,12,16.7,0.694,-6.32,-20.63,-0.31
0,0,0.2,14,7.0,0.025,13,23.1,0.75,-6.32,-20.12,-0.31
1,0,0.2,14,6.0,0.025,12,25.0,0.719,-6.36,-18.29,-0.35
1,1,0.2,20,7.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
1,1,0.2,20,8.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
1,1,0.2,20,6.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
1,1,0.2,20,9.0,0.02,3,0.0,0.0,-6.36,-6.36,-1.0
0,0,0.5,14,8.0,0.02,19,21.1,0.806,-6.39,-17.31,-0.37
0,1,0.5,20,8.0,0.02,11,18.2,0.686,-6.47,-11.11,-0.58
1,1,0.5,14,9.0,0.025,16,18.8,0.8,-6.5,-19.97,-0.33
1,0,0.2,14,9.0,0.025,12,16.7,0.727,-6.5,-23.84,-0.27
1,0,0.2,14,9.0,0.03,12,16.7,0.754,-6.51,-26.45,-0.25
1,1,0.3,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
0,1,0.3,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
0,1,0.4,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
1,1,0.4,14,7.0,0.025,13,23.1,0.733,-6.64,-16.7,-0.4
1,1,0.5,20,7.0,0.025,10,20.0,0.689,-6.71,-11.36,-0.59
0,1,0.5,17,8.0,0.02,15,20.0,0.754,-6.74,-11.37,-0.59
1,1,0.5,17,6.0,0.03,14,28.6,0.768,-6.81,-15.04,-0.45
