rsi_dir,ema_slope,trade_mode,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
1,1,shorts,14,1.5,9.0,0.02,23,30.4,1.347,11.79,0.0,inf
0,1,shorts,14,2.0,9.0,0.02,22,31.8,1.343,11.61,0.0,inf
1,1,shorts,14,2.0,9.0,0.02,22,31.8,1.321,10.93,0.0,inf
1,1,shorts,14,1.5,9.0,0.025,23,30.4,1.273,9.8,0.0,inf
1,1,shorts,17,1.5,9.0,0.02,19,31.6,1.321,9.05,0.0,inf
0,1,shorts,14,2.0,9.0,0.025,22,31.8,1.24,8.75,-0.41,21.43
0,1,shorts,14,1.5,9.0,0.02,25,28.0,1.231,8.49,0.0,inf
1,1,shorts,14,2.0,9.0,0.025,22,31.8,1.221,8.09,0.0,inf
1,1,shorts,14,1.5,10.0,0.02,23,26.1,1.231,7.86,-1.0,7.87
0,1,shorts,14,2.0,10.0,0.02,22,27.3,1.215,7.33,-5.59,1.31
1,1,shorts,17,1.5,9.0,0.025,19,31.6,1.236,7.11,0.0,inf
0,1,shorts,17,2.0,9.0,0.02,19,31.6,1.233,7.07,0.0,inf
1,1,shorts,20,1.5,9.0,0.02,15,33.3,1.317,7.0,0.0,inf
1,0,shorts,20,1.5,9.0,0.02,15,33.3,1.313,6.94,0.0,inf
1,0,shorts,17,1.5,9.0,0.02,20,30.0,1.222,6.64,0.0,inf
1,1,shorts,14,2.0,10.0,0.02,22,27.3,1.193,6.62,-3.92,1.69
1,0,shorts,14,1.5,9.0,0.02,25,28.0,1.172,6.6,0.0,inf
0,0,shorts,14,2.0,9.0,0.02,24,29.2,1.173,6.58,-1.75,3.76
0,1,shorts,14,1.5,9.0,0.025,25,28.0,1.17,6.56,0.0,inf
1,1,shorts,17,2.0,9.0,0.02,19,31.6,1.21,6.42,0.0,inf
1,1,shorts,14,1.5,8.0,0.02,23,30.4,1.194,6.4,0.0,inf
1,1,shorts,14,1.5,10.0,0.025,23,26.1,1.166,5.94,-1.03,5.8
1,0,shorts,14,2.0,9.0,0.02,24,29.2,1.155,5.93,-0.01,502.76
0,1,shorts,17,1.5,9.0,0.02,21,28.6,1.187,5.83,0.0,inf
1,1,shorts,14,2.0,8.0,0.02,22,31.8,1.169,5.59,-0.49,11.41
1,1,shorts,20,2.0,9.0,0.02,15,33.3,1.231,5.43,0.0,inf
1,0,shorts,20,2.0,9.0,0.02,15,33.3,1.226,5.32,0.0,inf
1,1,shorts,20,1.5,9.0,0.025,15,33.3,1.213,5.1,0.0,inf
1,0,shorts,20,1.5,9.0,0.025,15,33.3,1.21,5.05,0.0,inf
1,1,shorts,17,1.5,8.0,0.02,19,31.6,1.174,4.77,0.0,inf
0,0,shorts,17,2.0,9.0,0.02,20,30.0,1.147,4.71,0.0,inf
0,1,shorts,14,1.5,10.0,0.02,25,24.0,1.128,4.67,-2.44,1.92
0,1,shorts,14,2.0,10.0,0.025,22,27.3,1.125,4.58,-6.39,0.72
1,1,shorts,14,1.5,8.0,0.025,23,30.4,1.13,4.51,0.0,inf
0,1,shorts,17,2.0,9.0,0.025,19,31.6,1.13,4.28,0.0,inf
1,1,shorts,17,1.5,10.0,0.02,19,26.3,1.149,4.25,0.0,inf
0,1,shorts,14,2.0,8.0,0.02,23,30.4,1.121,4.21,-2.22,1.9
1,0,shorts,17,1.5,9.0,0.025,20,30.0,1.13,4.19,0.0,inf
0,1,shorts,20,2.0,9.0,0.02,16,31.2,1.166,4.17,0.0,inf
0,0,shorts,20,2.0,9.0,0.02,16,31.2,1.162,4.07,0.0,inf
