vol_mult,rsi_lo,rsi_hi,adx_thresh,sl,tp,risk,n,wr,pf,ret,mdd,calmar
1.0,28,58,20,1.5,10.0,0.02,5,60.0,5.67,14.65,0.0,inf
1.0,28,58,20,1.5,10.0,0.025,5,60.0,5.67,14.65,0.0,inf
1.0,30,55,20,1.5,10.0,0.02,5,60.0,5.67,14.65,0.0,inf
1.0,30,55,20,1.5,10.0,0.025,5,60.0,5.67,14.65,0.0,inf
1.0,32,52,20,1.5,10.0,0.02,5,60.0,5.67,14.65,0.0,inf
1.0,32,52,20,1.5,10.0,0.025,5,60.0,5.67,14.65,0.0,inf
1.0,30,55,20,2.0,10.0,0.025,5,60.0,4.759,14.03,0.0,inf
1.0,30,55,20,2.0,10.0,0.02,5,60.0,4.759,14.03,0.0,inf
1.0,32,52,20,2.0,10.0,0.02,5,60.0,4.759,14.03,0.0,inf
1.0,28,58,20,2.0,10.0,0.025,5,60.0,4.759,14.03,0.0,inf
1.0,28,58,20,2.0,10.0,0.02,5,60.0,4.759,14.03,0.0,inf
1.0,32,52,20,2.0,10.0,0.025,5,60.0,4.759,14.03,0.0,inf
1.0,28,58,20,1.5,9.0,0.025,5,60.0,5.076,12.63,0.0,inf
1.0,30,55,20,1.5,9.0,0.025,5,60.0,5.076,12.63,0.0,inf
1.0,30,55,20,1.5,9.0,0.02,5,60.0,5.076,12.63,0.0,inf
1.0,28,58,20,1.5,9.0,0.02,5,60.0,5.076,12.63,0.0,inf
1.0,32,52,20,1.5,9.0,0.02,5,60.0,5.076,12.63,0.0,inf
1.0,32,52,20,1.5,9.0,0.025,5,60.0,5.076,12.63,0.0,inf
1.0,32,52,20,2.0,9.0,0.02,5,60.0,4.26,12.02,0.0,inf
1.0,30,55,20,2.0,9.0,0.02,5,60.0,4.26,12.02,0.0,inf
1.0,30,55,20,2.0,9.0,0.025,5,60.0,4.26,12.02,0.0,inf
1.0,28,58,20,2.0,9.0,0.02,5,60.0,4.26,12.02,0.0,inf
1.0,28,58,20,2.0,9.0,0.025,5,60.0,4.26,12.02,0.0,inf
1.0,32,52,20,2.0,9.0,0.025,5,60.0,4.26,12.02,0.0,inf
1.0,28,58,20,1.5,8.0,0.025,5,60.0,4.474,10.63,0.0,inf
1.0,28,58,20,1.5,8.0,0.02,5,60.0,4.474,10.63,0.0,inf
1.0,30,55,20,1.5,8.0,0.02,5,60.0,4.474,10.63,0.0,inf
1.0,30,55,20,1.5,8.0,0.025,5,60.0,4.474,10.63,0.0,inf
1.0,32,52,20,1.5,8.0,0.02,5,60.0,4.474,10.63,0.0,inf
1.0,32,52,20,1.5,8.0,0.025,5,60.0,4.474,10.63,0.0,inf
1.0,30,55,20,2.0,8.0,0.025,5,60.0,3.755,10.03,0.0,inf
1.0,28,58,20,2.0,8.0,0.02,5,60.0,3.755,10.03,0.0,inf
1.0,32,52,20,2.0,8.0,0.02,5,60.0,3.755,10.03,0.0,inf
1.0,30,55,20,2.0,8.0,0.02,5,60.0,3.755,10.03,0.0,inf
1.0,28,58,20,2.0,8.0,0.025,5,60.0,3.755,10.03,0.0,inf
1.0,32,52,20,2.0,8.0,0.025,5,60.0,3.755,10.03,0.0,inf
1.0,28,58,20,1.5,7.0,0.025,5,60.0,3.864,8.65,0.0,inf
1.0,32,52,20,1.5,7.0,0.025,5,60.0,3.864,8.65,0.0,inf
1.0,32,52,20,1.5,7.0,0.02,5,60.0,3.864,8.65,0.0,inf
1.0,28,58,20,1.5,7.0,0.02,5,60.0,3.864,8.65,0.0,inf
1.0,30,55,20,1.5,7.0,0.025,5,60.0,3.864,8.65,0.0,inf
1.0,30,55,20,1.5,7.0,0.02,5,60.0,3.864,8.65,0.0,inf
1.0,32,52,20,2.0,7.0,0.02,5,60.0,3.243,8.06,0.0,inf
1.0,30,55,20,2.0,7.0,0.025,5,60.0,3.243,8.06,0.0,inf
1.0,30,55,20,2.0,7.0,0.02,5,60.0,3.243,8.06,0.0,inf
1.0,28,58,20,2.0,7.0,0.02,5,60.0,3.243,8.06,0.0,inf
1.0,28,58,20,2.0,7.0,0.025,5,60.0,3.243,8.06,0.0,inf
1.0,32,52,20,2.0,7.0,0.025,5,60.0,3.243,8.06,0.0,inf
0.7,30,55,20,1.5,8.0,0.02,10,40.0,1.567,6.28,-1.45,4.35
0.7,28,58,20,1.5,8.0,0.025,10,40.0,1.567,6.28,-1.45,4.35
0.7,28,58,20,1.5,8.0,0.02,10,40.0,1.567,6.28,-1.45,4.35
0.7,30,55,20,1.5,8.0,0.025,10,40.0,1.567,6.28,-1.45,4.35
0.7,32,52,20,1.5,8.0,0.025,10,40.0,1.567,6.28,-1.45,4.35
0.7,32,52,20,1.5,8.0,0.02,10,40.0,1.567,6.28,-1.45,4.35
0.5,30,55,20,1.5,8.0,0.02,11,36.4,1.39,4.84,-1.45,3.35
0.5,32,52,20,1.5,8.0,0.02,11,36.4,1.39,4.84,-1.45,3.35
0.5,32,52,20,1.5,8.0,0.025,11,36.4,1.39,4.84,-1.45,3.35
0.5,30,55,20,1.5,8.0,0.025,11,36.4,1.39,4.84,-1.45,3.35
0.5,28,58,20,1.5,8.0,0.025,11,36.4,1.39,4.84,-1.45,3.35
0.5,28,58,20,1.5,8.0,0.02,11,36.4,1.39,4.84,-1.45,3.35
0.7,32,52,20,1.5,10.0,0.02,10,30.0,1.363,4.59,-1.45,3.18
0.7,30,55,20,1.5,10.0,0.02,10,30.0,1.363,4.59,-1.45,3.18
0.7,30,55,20,1.5,10.0,0.025,10,30.0,1.363,4.59,-1.45,3.18
0.7,32,52,20,1.5,10.0,0.025,10,30.0,1.363,4.59,-1.45,3.18
0.7,28,58,20,1.5,10.0,0.025,10,30.0,1.363,4.59,-1.45,3.18
0.7,28,58,20,1.5,10.0,0.02,10,30.0,1.363,4.59,-1.45,3.18
0.7,32,52,20,2.0,8.0,0.02,10,40.0,1.316,4.14,-1.73,2.4
0.7,30,55,20,2.0,8.0,0.02,10,40.0,1.316,4.14,-1.73,2.4
0.7,28,58,20,2.0,8.0,0.02,10,40.0,1.316,4.14,-1.73,2.4
0.7,32,52,20,1.5,7.0,0.02,10,40.0,1.351,3.83,-1.45,2.65
0.7,28,58,20,1.5,7.0,0.025,10,40.0,1.351,3.83,-1.45,2.65
0.7,28,58,20,1.5,7.0,0.02,10,40.0,1.351,3.83,-1.45,2.65
0.7,32,52,20,1.5,7.0,0.025,10,40.0,1.351,3.83,-1.45,2.65
0.7,30,55,20,1.5,7.0,0.025,10,40.0,1.351,3.83,-1.45,2.65
0.7,30,55,20,1.5,7.0,0.02,10,40.0,1.351,3.83,-1.45,2.65
0.7,30,55,20,2.0,8.0,0.025,10,40.0,1.286,3.82,-1.73,2.21
0.7,28,58,20,2.0,8.0,0.025,10,40.0,1.286,3.82,-1.73,2.21
0.7,32,52,20,2.0,8.0,0.025,10,40.0,1.286,3.82,-1.73,2.21
0.5,28,58,20,1.5,10.0,0.02,11,27.3,1.226,3.17,-1.45,2.19
0.5,28,58,20,1.5,10.0,0.025,11,27.3,1.226,3.17,-1.45,2.19
0.5,32,52,20,1.5,10.0,0.025,11,27.3,1.226,3.17,-1.45,2.19
0.5,32,52,20,1.5,10.0,0.02,11,27.3,1.226,3.17,-1.45,2.19
0.5,30,55,20,1.5,10.0,0.02,11,27.3,1.226,3.17,-1.45,2.19
0.5,30,55,20,1.5,10.0,0.025,11,27.3,1.226,3.17,-1.45,2.19
0.7,32,52,20,1.5,9.0,0.025,10,30.0,1.22,2.74,-1.45,1.9
0.7,32,52,20,1.5,9.0,0.02,10,30.0,1.22,2.74,-1.45,1.9
0.7,30,55,20,1.5,9.0,0.025,10,30.0,1.22,2.74,-1.45,1.9
0.7,28,58,20,1.5,9.0,0.025,10,30.0,1.22,2.74,-1.45,1.9
0.7,28,58,20,1.5,9.0,0.02,10,30.0,1.22,2.74,-1.45,1.9
