ema_slope,vol_mult,pb_pct,adx_thresh,tp,risk,n,wr,pf,ret,mdd,calmar
0,1.2,0.25,20,16.0,0.03,7,57.1,10.402,59.97,0.0,inf
0,1.2,0.25,20,16.0,0.025,7,57.1,10.402,59.97,0.0,inf
0,1.2,0.25,20,16.0,0.02,7,57.1,10.247,58.4,0.0,inf
0,1.0,0.25,20,16.0,0.03,8,50.0,8.04,57.7,0.0,inf
0,1.0,0.25,20,16.0,0.025,8,50.0,8.04,57.7,0.0,inf
0,1.0,0.25,20,16.0,0.02,8,50.0,7.919,56.15,0.0,inf
0,0.9,0.25,20,16.0,0.025,9,44.4,5.845,54.63,0.0,inf
0,0.9,0.25,20,16.0,0.03,9,44.4,5.845,54.63,0.0,inf
0,0.9,0.25,20,16.0,0.02,9,44.4,5.758,53.11,0.0,inf
0,1.2,0.25,20,14.0,0.025,7,57.1,9.11,50.1,0.0,inf
0,1.2,0.25,20,14.0,0.03,7,57.1,9.11,50.1,0.0,inf
0,0.8,0.25,20,16.0,0.03,11,36.4,4.403,49.79,-1.45,34.44
0,0.8,0.25,20,16.0,0.025,11,36.4,4.403,49.79,-1.45,34.44
0,1.2,0.25,20,14.0,0.02,7,57.1,8.967,48.79,0.0,inf
0,0.8,0.25,20,16.0,0.02,11,36.4,4.332,48.32,-1.45,33.43
0,1.0,0.25,20,14.0,0.03,8,50.0,7.048,47.97,0.0,inf
0,1.0,0.25,20,14.0,0.025,8,50.0,7.048,47.97,0.0,inf
0,1.2,0.25,20,11.0,0.03,7,71.4,11.755,47.39,0.0,inf
0,1.2,0.25,20,11.0,0.025,7,71.4,11.755,47.39,0.0,inf
0,1.0,0.25,20,14.0,0.02,8,50.0,6.937,46.68,0.0,inf
0,1.2,0.25,20,11.0,0.02,7,71.4,11.594,46.35,0.0,inf
1,1.2,0.25,20,16.0,0.025,6,50.0,8.748,46.23,0.0,inf
1,1.2,0.25,20,16.0,0.03,6,50.0,8.748,46.23,0.0,inf
0,1.0,0.25,20,11.0,0.03,8,62.5,8.302,45.3,0.0,inf
0,1.0,0.25,20,11.0,0.025,8,62.5,8.302,45.3,0.0,inf
0,0.9,0.25,20,14.0,0.03,9,44.4,5.168,45.09,0.0,inf
0,0.9,0.25,20,14.0,0.025,9,44.4,5.168,45.09,0.0,inf
1,1.2,0.25,20,16.0,0.02,6,50.0,8.582,44.79,0.0,inf
0,1.0,0.25,20,11.0,0.02,8,62.5,8.187,44.27,0.0,inf
1,1.0,0.25,20,16.0,0.03,7,42.9,6.797,44.15,0.0,inf
1,1.0,0.25,20,16.0,0.025,7,42.9,6.797,44.15,0.0,inf
0,0.9,0.25,20,14.0,0.02,9,44.4,5.086,43.82,0.0,inf
1,1.2,0.25,20,20.0,0.03,6,33.3,6.343,43.09,0.0,inf
1,1.2,0.25,20,20.0,0.025,6,33.3,6.343,43.09,0.0,inf
1,1.0,0.25,20,16.0,0.02,7,42.9,6.667,42.73,0.0,inf
0,0.9,0.25,20,11.0,0.03,9,55.6,5.7,42.47,0.0,inf
0,0.9,0.25,20,11.0,0.025,9,55.6,5.7,42.47,0.0,inf
0,1.2,0.25,18,16.0,0.03,13,30.8,2.857,41.91,0.0,inf
0,1.2,0.25,18,16.0,0.025,13,30.8,2.857,41.91,0.0,inf
0,1.2,0.25,20,10.0,0.025,7,71.4,10.705,41.71,0.0,inf
0,1.2,0.25,20,10.0,0.03,7,71.4,10.705,41.71,0.0,inf
0,0.9,0.25,20,11.0,0.02,9,55.6,5.621,41.46,0.0,inf
1,1.2,0.25,20,20.0,0.02,6,33.3,6.196,41.4,0.0,inf
1,0.9,0.25,20,16.0,0.025,8,37.5,4.964,41.34,0.0,inf
1,0.9,0.25,20,16.0,0.03,8,37.5,4.964,41.34,0.0,inf
0,1.2,0.25,18,16.0,0.02,13,30.8,2.903,41.2,0.0,inf
1,1.0,0.25,20,20.0,0.025,7,28.6,5.205,41.05,0.0,inf
1,1.0,0.25,20,20.0,0.03,7,28.6,5.205,41.05,0.0,inf
0,1.2,0.25,20,20.0,0.025,7,28.6,5.129,40.89,0.0,inf
0,1.2,0.25,20,20.0,0.03,7,28.6,5.129,40.89,0.0,inf
0,1.2,0.25,20,10.0,0.02,7,71.4,10.553,40.8,0.0,inf
0,1.2,0.25,20,12.0,0.03,7,57.1,7.804,40.68,0.0,inf
0,1.2,0.25,20,12.0,0.025,7,57.1,7.804,40.68,0.0,inf
0,0.8,0.25,20,14.0,0.03,11,36.4,3.874,40.55,-1.45,28.05
0,0.8,0.25,20,14.0,0.025,11,36.4,3.874,40.55,-1.45,28.05
1,0.9,0.25,20,16.0,0.02,8,37.5,4.869,39.96,0.0,inf
0,1.0,0.25,20,10.0,0.025,8,62.5,7.56,39.7,0.0,inf
0,1.0,0.25,20,10.0,0.03,8,62.5,7.56,39.7,0.0,inf
0,1.0,0.25,18,16.0,0.03,14,28.6,2.632,39.68,0.0,inf
0,1.0,0.25,18,16.0,0.025,14,28.6,2.632,39.68,0.0,inf
0,1.2,0.25,20,12.0,0.02,7,57.1,7.675,39.61,0.0,inf
1,1.0,0.25,20,20.0,0.02,7,28.6,5.083,39.39,0.0,inf
0,0.8,0.25,20,14.0,0.02,11,36.4,3.809,39.32,-1.45,27.2
0,1.2,0.25,20,20.0,0.02,7,28.6,5.008,39.23,0.0,inf
0,1.0,0.25,18,16.0,0.02,14,28.6,2.666,38.99,0.0,inf
0,1.0,0.25,20,20.0,0.025,8,25.0,4.359,38.88,0.0,inf
0,1.0,0.25,20,20.0,0.03,8,25.0,4.359,38.88,0.0,inf
1,1.2,0.25,20,14.0,0.03,6,50.0,7.656,38.79,0.0,inf
0,1.0,0.25,20,10.0,0.02,8,62.5,7.453,38.79,0.0,inf
