rsi_dir,ema_slope,trade_mode,adx_thresh,pb_pct,vol_mult,tp_mult,sl_mult,risk_pct,n,wr,pf,ret,mdd,calmar
0,0,shorts,10,0.15,0.3,8.0,1.5,0.02,26,30.8,0.357,-22.39,-27.27,-0.82
0,0,shorts,10,0.15,0.3,8.0,1.5,0.025,26,30.8,0.378,-23.4,-29.34,-0.8
0,0,shorts,10,0.15,0.3,8.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,10,0.15,0.3,8.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,10,0.15,0.3,12.0,1.5,0.02,26,30.8,0.357,-22.39,-27.27,-0.82
0,0,shorts,10,0.15,0.3,12.0,1.5,0.025,26,30.8,0.378,-23.4,-29.34,-0.8
0,0,shorts,10,0.15,0.3,12.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,10,0.15,0.3,12.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,10,0.15,0.3,16.0,1.5,0.02,26,30.8,0.357,-22.39,-27.27,-0.82
0,0,shorts,10,0.15,0.3,16.0,1.5,0.025,26,30.8,0.378,-23.4,-29.34,-0.8
0,0,shorts,10,0.15,0.3,16.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,10,0.15,0.3,16.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,10,0.15,0.3,24.0,1.5,0.02,26,30.8,0.357,-22.39,-27.27,-0.82
0,0,shorts,10,0.15,0.3,24.0,1.5,0.025,26,30.8,0.378,-23.4,-29.34,-0.8
0,0,shorts,10,0.15,0.3,24.0,2.0,0.02,20,40.0,0.473,-13.74,-18.76,-0.73
0,0,shorts,10,0.15,0.3,24.0,2.0,0.025,20,40.0,0.484,-15.36,-21.82,-0.7
0,0,shorts,10,0.15,0.7,8.0,1.5,0.02,19,36.8,0.456,-13.23,-16.87,-0.78
0,0,shorts,10,0.15,0.7,8.0,1.5,0.025,19,36.8,0.475,-13.81,-18.28,-0.76
0,0,shorts,10,0.15,0.7,8.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,10,0.15,0.7,8.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,10,0.15,0.7,12.0,1.5,0.02,19,36.8,0.456,-13.23,-16.87,-0.78
0,0,shorts,10,0.15,0.7,12.0,1.5,0.025,19,36.8,0.475,-13.81,-18.28,-0.76
0,0,shorts,10,0.15,0.7,12.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,10,0.15,0.7,12.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,10,0.15,0.7,16.0,1.5,0.02,19,36.8,0.456,-13.23,-16.87,-0.78
0,0,shorts,10,0.15,0.7,16.0,1.5,0.025,19,36.8,0.475,-13.81,-18.28,-0.76
0,0,shorts,10,0.15,0.7,16.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,10,0.15,0.7,16.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,10,0.15,0.7,24.0,1.5,0.02,19,36.8,0.456,-13.23,-16.87,-0.78
0,0,shorts,10,0.15,0.7,24.0,1.5,0.025,19,36.8,0.475,-13.81,-18.28,-0.76
0,0,shorts,10,0.15,0.7,24.0,2.0,0.02,15,46.7,0.634,-6.54,-10.5,-0.62
0,0,shorts,10,0.15,0.7,24.0,2.0,0.025,15,46.7,0.647,-7.21,-12.52,-0.58
0,0,shorts,10,0.15,1.2,8.0,1.5,0.02,13,46.2,0.727,-3.9,-8.73,-0.45
0,0,shorts,10,0.15,1.2,8.0,1.5,0.025,13,46.2,0.759,-3.68,-9.16,-0.4
0,0,shorts,10,0.15,1.2,8.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,10,0.15,1.2,8.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,10,0.15,1.2,12.0,1.5,0.02,13,46.2,0.727,-3.9,-8.73,-0.45
0,0,shorts,10,0.15,1.2,12.0,1.5,0.025,13,46.2,0.759,-3.68,-9.16,-0.4
0,0,shorts,10,0.15,1.2,12.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,10,0.15,1.2,12.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,10,0.15,1.2,16.0,1.5,0.02,13,46.2,0.727,-3.9,-8.73,-0.45
0,0,shorts,10,0.15,1.2,16.0,1.5,0.025,13,46.2,0.759,-3.68,-9.16,-0.4
0,0,shorts,10,0.15,1.2,16.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,10,0.15,1.2,16.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,10,0.15,1.2,24.0,1.5,0.02,13,46.2,0.727,-3.9,-8.73,-0.45
0,0,shorts,10,0.15,1.2,24.0,1.5,0.025,13,46.2,0.759,-3.68,-9.16,-0.4
0,0,shorts,10,0.15,1.2,24.0,2.0,0.02,11,54.5,0.965,-0.39,-6.12,-0.06
0,0,shorts,10,0.15,1.2,24.0,2.0,0.025,11,54.5,1.022,0.27,-6.86,0.04
0,0,shorts,10,0.3,0.3,8.0,1.5,0.02,34,32.4,0.322,-29.2,-30.44,-0.96
0,0,shorts,10,0.3,0.3,8.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,8.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,8.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,10,0.3,0.3,12.0,1.5,0.02,34,32.4,0.322,-29.2,-30.44,-0.96
0,0,shorts,10,0.3,0.3,12.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,12.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,12.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
0,0,shorts,10,0.3,0.3,16.0,1.5,0.02,34,32.4,0.322,-29.2,-30.44,-0.96
0,0,shorts,10,0.3,0.3,16.0,1.5,0.025,34,32.4,0.335,-30.9,-32.75,-0.94
0,0,shorts,10,0.3,0.3,16.0,2.0,0.02,27,37.0,0.379,-21.92,-23.12,-0.95
0,0,shorts,10,0.3,0.3,16.0,2.0,0.025,27,37.0,0.383,-24.65,-26.43,-0.93
