trail_act,trail_dist,tp_mult,adx_thresh,sl_mult,risk_pct,n,wr,pf,ret,mdd,calmar
0.5,0.3,8.0,10,1.5,0.02,66,45.5,0.822,-7.44,-16.69,-0.45
0.5,0.3,8.0,10,1.5,0.025,66,45.5,0.865,-5.85,-17.03,-0.34
0.5,0.3,8.0,10,1.5,0.03,66,45.5,0.867,-5.79,-17.02,-0.34
0.5,0.3,8.0,10,2.0,0.02,66,47.0,0.687,-13.36,-20.17,-0.66
0.5,0.3,8.0,10,2.0,0.025,66,47.0,0.716,-12.82,-21.02,-0.61
0.5,0.3,8.0,10,2.0,0.03,66,47.0,0.747,-11.86,-21.74,-0.55
0.5,0.3,8.0,14,1.5,0.02,61,49.2,0.836,-6.77,-16.09,-0.42
0.5,0.3,8.0,14,1.5,0.025,61,49.2,0.879,-5.16,-16.42,-0.31
0.5,0.3,8.0,14,1.5,0.03,61,49.2,0.882,-5.1,-16.41,-0.31
0.5,0.3,8.0,14,2.0,0.02,61,50.8,0.698,-12.76,-19.62,-0.65
0.5,0.3,8.0,14,2.0,0.025,61,50.8,0.726,-12.2,-20.47,-0.6
0.5,0.3,8.0,14,2.0,0.03,61,50.8,0.758,-11.22,-21.19,-0.53
0.5,0.3,8.0,18,1.5,0.02,44,50.0,0.975,-0.75,-11.9,-0.06
0.5,0.3,8.0,18,1.5,0.025,44,50.0,1.019,0.61,-12.68,0.05
0.5,0.3,8.0,18,1.5,0.03,44,50.0,1.017,0.55,-12.76,0.04
0.5,0.3,8.0,18,2.0,0.02,44,50.0,0.75,-8.11,-15.36,-0.53
0.5,0.3,8.0,18,2.0,0.025,44,50.0,0.776,-7.8,-16.5,-0.47
0.5,0.3,8.0,18,2.0,0.03,44,50.0,0.808,-7.04,-17.44,-0.4
0.5,0.3,16.0,10,1.5,0.02,66,45.5,0.841,-6.65,-16.69,-0.4
0.5,0.3,16.0,10,1.5,0.025,66,45.5,0.888,-4.86,-17.03,-0.29
0.5,0.3,16.0,10,1.5,0.03,66,45.5,0.891,-4.78,-17.02,-0.28
0.5,0.3,16.0,10,2.0,0.02,66,47.0,0.701,-12.79,-20.17,-0.63
0.5,0.3,16.0,10,2.0,0.025,66,47.0,0.731,-12.12,-21.02,-0.58
0.5,0.3,16.0,10,2.0,0.03,66,47.0,0.765,-11.02,-21.74,-0.51
0.5,0.3,16.0,14,1.5,0.02,61,49.2,0.855,-5.98,-16.09,-0.37
0.5,0.3,16.0,14,1.5,0.025,61,49.2,0.903,-4.17,-16.42,-0.25
0.5,0.3,16.0,14,1.5,0.03,61,49.2,0.905,-4.08,-16.41,-0.25
0.5,0.3,16.0,14,2.0,0.02,61,50.8,0.712,-12.19,-19.62,-0.62
0.5,0.3,16.0,14,2.0,0.025,61,50.8,0.743,-11.49,-20.47,-0.56
0.5,0.3,16.0,14,2.0,0.03,61,50.8,0.776,-10.37,-21.19,-0.49
0.5,0.3,16.0,18,1.5,0.02,44,50.0,1.003,0.1,-11.9,0.01
0.5,0.3,16.0,18,1.5,0.025,44,50.0,1.053,1.67,-12.68,0.13
0.5,0.3,16.0,18,1.5,0.03,44,50.0,1.051,1.63,-12.76,0.13
0.5,0.3,16.0,18,2.0,0.02,44,50.0,0.769,-7.5,-15.36,-0.49
0.5,0.3,16.0,18,2.0,0.025,44,50.0,0.798,-7.06,-16.5,-0.43
0.5,0.3,16.0,18,2.0,0.03,44,50.0,0.832,-6.16,-17.44,-0.35
0.5,0.3,32.0,10,1.5,0.02,66,45.5,0.841,-6.65,-16.69,-0.4
0.5,0.3,32.0,10,1.5,0.025,66,45.5,0.888,-4.86,-17.03,-0.29
0.5,0.3,32.0,10,1.5,0.03,66,45.5,0.891,-4.78,-17.02,-0.28
0.5,0.3,32.0,10,2.0,0.02,66,47.0,0.701,-12.79,-20.17,-0.63
0.5,0.3,32.0,10,2.0,0.025,66,47.0,0.731,-12.12,-21.02,-0.58
0.5,0.3,32.0,10,2.0,0.03,66,47.0,0.765,-11.02,-21.74,-0.51
0.5,0.3,32.0,14,1.5,0.02,61,49.2,0.855,-5.98,-16.09,-0.37
0.5,0.3,32.0,14,1.5,0.025,61,49.2,0.903,-4.17,-16.42,-0.25
0.5,0.3,32.0,14,1.5,0.03,61,49.2,0.905,-4.08,-16.41,-0.25
0.5,0.3,32.0,14,2.0,0.02,61,50.8,0.712,-12.19,-19.62,-0.62
0.5,0.3,32.0,14,2.0,0.025,61,50.8,0.743,-11.49,-20.47,-0.56
0.5,0.3,32.0,14,2.0,0.03,61,50.8,0.776,-10.37,-21.19,-0.49
0.5,0.3,32.0,18,1.5,0.02,44,50.0,1.003,0.1,-11.9,0.01
0.5,0.3,32.0,18,1.5,0.025,44,50.0,1.053,1.67,-12.68,0.13
0.5,0.3,32.0,18,1.5,0.03,44,50.0,1.051,1.63,-12.76,0.13
0.5,0.3,32.0,18,2.0,0.02,44,50.0,0.769,-7.5,-15.36,-0.49
0.5,0.3,32.0,18,2.0,0.025,44,50.0,0.798,-7.06,-16.5,-0.43
0.5,0.3,32.0,18,2.0,0.03,44,50.0,0.832,-6.16,-17.44,-0.35
0.5,0.3,999.0,10,1.5,0.02,66,45.5,0.841,-6.65,-16.69,-0.4
0.5,0.3,999.0,10,1.5,0.025,66,45.5,0.888,-4.86,-17.03,-0.29
0.5,0.3,999.0,10,1.5,0.03,66,45.5,0.891,-4.78,-17.02,-0.28
0.5,0.3,999.0,10,2.0,0.02,66,47.0,0.701,-12.79,-20.17,-0.63
0.5,0.3,999.0,10,2.0,0.025,66,47.0,0.731,-12.12,-21.02,-0.58
0.5,0.3,999.0,10,2.0,0.03,66,47.0,0.765,-11.02,-21.74,-0.51
0.5,0.3,999.0,14,1.5,0.02,61,49.2,0.855,-5.98,-16.09,-0.37
0.5,0.3,999.0,14,1.5,0.025,61,49.2,0.903,-4.17,-16.42,-0.25
0.5,0.3,999.0,14,1.5,0.03,61,49.2,0.905,-4.08,-16.41,-0.25
0.5,0.3,999.0,14,2.0,0.02,61,50.8,0.712,-12.19,-19.62,-0.62
0.5,0.3,999.0,14,2.0,0.025,61,50.8,0.743,-11.49,-20.47,-0.56
0.5,0.3,999.0,14,2.0,0.03,61,50.8,0.776,-10.37,-21.19,-0.49
0.5,0.3,999.0,18,1.5,0.02,44,50.0,1.003,0.1,-11.9,0.01
0.5,0.3,999.0,18,1.5,0.025,44,50.0,1.053,1.67,-12.68,0.13
0.5,0.3,999.0,18,1.5,0.03,44,50.0,1.051,1.63,-12.76,0.13
0.5,0.3,999.0,18,2.0,0.02,44,50.0,0.769,-7.5,-15.36,-0.49
0.5,0.3,999.0,18,2.0,0.025,44,50.0,0.798,-7.06,-16.5,-0.43
0.5,0.3,999.0,18,2.0,0.03,44,50.0,0.832,-6.16,-17.44,-0.35
0.5,0.5,8.0,10,1.5,0.02,65,33.8,0.738,-11.61,-20.93,-0.55
0.5,0.5,8.0,10,1.5,0.025,65,33.8,0.783,-9.99,-21.39,-0.47
0.5,0.5,8.0,10,1.5,0.03,65,33.8,0.784,-10.03,-21.42,-0.47
0.5,0.5,8.0,10,2.0,0.02,65,35.4,0.616,-17.25,-23.79,-0.73
0.5,0.5,8.0,10,2.0,0.025,65,35.4,0.643,-16.94,-24.7,-0.69
0.5,0.5,8.0,10,2.0,0.03,65,35.4,0.675,-16.07,-25.42,-0.63
0.5,0.5,8.0,14,1.5,0.02,60,36.7,0.765,-10.15,-19.62,-0.52
0.5,0.5,8.0,14,1.5,0.025,60,36.7,0.811,-8.47,-20.07,-0.42
0.5,0.5,8.0,14,1.5,0.03,60,36.7,0.812,-8.52,-20.09,-0.42
0.5,0.5,8.0,14,2.0,0.02,60,38.3,0.636,-16.03,-22.66,-0.71
0.5,0.5,8.0,14,2.0,0.025,60,38.3,0.664,-15.61,-23.49,-0.66
0.5,0.5,8.0,14,2.0,0.03,60,38.3,0.697,-14.65,-24.19,-0.61
0.5,0.5,8.0,18,1.5,0.02,44,38.6,0.885,-3.63,-15.26,-0.24
0.5,0.5,8.0,18,1.5,0.025,44,38.6,0.939,-2.03,-16.06,-0.13
0.5,0.5,8.0,18,1.5,0.03,44,38.6,0.936,-2.16,-16.16,-0.13
0.5,0.5,8.0,18,2.0,0.02,44,38.6,0.68,-10.81,-18.39,-0.59
0.5,0.5,8.0,18,2.0,0.025,44,38.6,0.711,-10.51,-19.65,-0.53
0.5,0.5,8.0,18,2.0,0.03,44,38.6,0.748,-9.64,-20.62,-0.47
0.5,0.5,16.0,10,1.5,0.02,65,33.8,0.75,-11.07,-20.93,-0.53
