risk_pct,sl_mult,trail_dist,trail_act,di_align,vol_mult,n,wr,pf,ret,mdd,calmar
0.03,1.0,0.1,2.0,False,1.0,63,49.2,1.801,47.33,-11.75,4.03
0.03,1.0,0.1,2.0,False,1.2,54,48.1,1.659,30.54,-10.38,2.94
0.03,1.0,0.1,2.0,True,1.0,61,49.2,1.782,44.07,-11.75,3.75
0.03,1.0,0.1,2.0,True,1.2,54,48.1,1.659,30.54,-10.38,2.94
0.03,1.0,0.1,2.5,False,1.0,61,44.3,1.768,47.39,-11.23,4.22
0.03,1.0,0.1,2.5,False,1.2,52,42.3,1.611,29.81,-9.85,3.03
0.03,1.0,0.1,2.5,True,1.0,59,44.1,1.748,44.13,-11.23,3.93
0.03,1.0,0.1,2.5,True,1.2,52,42.3,1.611,29.81,-9.85,3.03
0.03,1.0,0.1,3.0,False,1.0,60,41.7,1.998,78.46,-13.05,6.01
0.03,1.0,0.1,3.0,False,1.2,52,40.4,1.673,35.16,-9.85,3.57
0.03,1.0,0.1,3.0,True,1.0,59,40.7,1.92,69.99,-13.05,5.36
0.03,1.0,0.1,3.0,True,1.2,52,40.4,1.673,35.16,-9.85,3.57
0.03,1.0,0.1,3.5,False,1.0,56,35.7,1.893,67.44,-10.72,6.29
0.03,1.0,0.1,3.5,False,1.2,49,30.6,1.188,9.56,-17.47,0.55
0.03,1.0,0.1,3.5,True,1.0,55,34.5,1.802,58.54,-10.72,5.46
0.03,1.0,0.1,3.5,True,1.2,49,30.6,1.188,9.56,-17.47,0.55
0.03,1.0,0.2,2.0,False,1.0,63,49.2,1.733,42.49,-11.86,3.58
0.03,1.0,0.2,2.0,False,1.2,54,48.1,1.596,27.25,-10.61,2.57
0.03,1.0,0.2,2.0,True,1.0,61,49.2,1.715,39.54,-11.86,3.33
0.03,1.0,0.2,2.0,True,1.2,54,48.1,1.596,27.25,-10.61,2.57
0.03,1.0,0.2,2.5,False,1.0,61,44.3,1.711,43.15,-11.35,3.8
0.03,1.0,0.2,2.5,False,1.2,52,42.3,1.56,27.06,-10.08,2.68
0.03,1.0,0.2,2.5,True,1.0,59,44.1,1.691,40.18,-11.35,3.54
0.03,1.0,0.2,2.5,True,1.2,52,42.3,1.56,27.06,-10.08,2.68
0.03,1.0,0.2,3.0,False,1.0,60,41.7,1.953,73.83,-13.31,5.55
0.03,1.0,0.2,3.0,False,1.2,52,40.4,1.627,32.45,-10.08,3.22
0.03,1.0,0.2,3.0,True,1.0,59,40.7,1.877,65.82,-13.31,4.94
0.03,1.0,0.2,3.0,True,1.2,52,40.4,1.627,32.45,-10.08,3.22
0.03,1.0,0.2,3.5,False,1.0,56,35.7,1.854,63.81,-10.83,5.89
0.03,1.0,0.2,3.5,False,1.2,49,30.6,1.159,8.01,-18.08,0.44
0.03,1.0,0.2,3.5,True,1.0,55,34.5,1.766,55.33,-10.83,5.11
0.03,1.0,0.2,3.5,True,1.2,49,30.6,1.159,8.01,-18.08,0.44
0.03,1.0,0.3,2.0,False,1.0,63,49.2,1.694,39.91,-11.98,3.33
0.03,1.0,0.3,2.0,False,1.2,54,48.1,1.568,25.93,-10.87,2.38
0.03,1.0,0.3,2.0,True,1.0,61,49.2,1.677,37.22,-11.98,3.11
0.03,1.0,0.3,2.0,True,1.2,54,48.1,1.568,25.93,-10.87,2.38
0.03,1.0,0.3,2.5,False,1.0,61,44.3,1.653,39.02,-11.46,3.41
0.03,1.0,0.3,2.5,False,1.2,52,42.3,1.509,24.37,-10.35,2.35
0.03,1.0,0.3,2.5,True,1.0,59,44.1,1.634,36.34,-11.46,3.17
0.03,1.0,0.3,2.5,True,1.2,52,42.3,1.509,24.37,-10.35,2.35
0.03,1.0,0.3,3.0,False,1.0,60,41.7,1.909,69.31,-13.58,5.11
0.03,1.0,0.3,3.0,False,1.2,52,40.4,1.581,29.78,-10.35,2.88
0.03,1.0,0.3,3.0,True,1.0,59,40.7,1.834,61.75,-13.58,4.55
