risk_pct,cb_dd_pct,trail_dist,trail_act,di_align,n,wr,pf,ret,mdd,calmar
0.01,0.0,0.1,2.5,False,61,44.3,1.478,24.37,-11.18,2.18
0.01,0.0,0.1,2.5,True,59,44.1,1.471,23.09,-11.18,2.07
0.01,0.0,0.1,3.0,False,60,41.7,1.639,37.38,-13.58,2.75
0.01,0.0,0.1,3.0,True,59,40.7,1.588,33.49,-13.58,2.47
0.01,0.0,0.2,2.5,False,61,44.3,1.429,21.59,-11.29,1.91
0.01,0.0,0.2,2.5,True,59,44.1,1.422,20.46,-11.29,1.81
0.01,0.0,0.2,3.0,False,60,41.7,1.598,34.58,-13.77,2.51
0.01,0.0,0.2,3.0,True,59,40.7,1.548,30.89,-13.77,2.24
0.01,2.0,0.1,2.5,False,55,45.5,1.553,24.64,-9.0,2.74
0.01,2.0,0.1,2.5,True,54,46.3,1.604,26.33,-9.0,2.93
0.01,2.0,0.1,3.0,False,53,41.5,1.65,32.88,-13.92,2.36
0.01,2.0,0.1,3.0,True,52,42.3,1.7,34.69,-13.92,2.49
0.01,2.0,0.2,2.5,False,55,45.5,1.501,22.09,-9.11,2.42
0.01,2.0,0.2,2.5,True,54,46.3,1.551,23.75,-9.11,2.61
0.01,2.0,0.2,3.0,False,53,41.5,1.61,30.55,-14.03,2.18
0.01,2.0,0.2,3.0,True,52,42.3,1.659,32.32,-14.03,2.3
0.01,3.0,0.1,2.5,False,56,44.6,1.506,22.98,-8.83,2.6
0.01,3.0,0.1,2.5,True,55,45.5,1.554,24.66,-8.83,2.79
0.01,3.0,0.1,3.0,False,54,40.7,1.618,31.52,-12.53,2.52
0.01,3.0,0.1,3.0,True,53,41.5,1.666,33.31,-12.53,2.66
0.01,3.0,0.2,2.5,False,55,45.5,1.498,21.82,-7.92,2.76
0.01,3.0,0.2,2.5,True,54,46.3,1.547,23.48,-7.92,2.96
0.01,3.0,0.2,3.0,False,53,41.5,1.621,30.66,-11.66,2.63
0.01,3.0,0.2,3.0,True,52,42.3,1.671,32.44,-11.66,2.78
0.01,4.0,0.1,2.5,False,60,45.0,1.524,26.0,-10.01,2.6
0.01,4.0,0.1,2.5,True,57,43.9,1.456,21.28,-10.01,2.13
0.01,4.0,0.1,3.0,False,57,42.1,1.678,37.26,-13.66,2.73
0.01,4.0,0.1,3.0,True,55,40.0,1.568,29.71,-13.66,2.17
0.01,4.0,0.2,2.5,False,60,45.0,1.473,23.19,-10.12,2.29
0.01,4.0,0.2,2.5,True,57,43.9,1.407,18.8,-10.12,1.86
0.01,4.0,0.2,3.0,False,57,42.1,1.637,34.59,-13.77,2.51
0.01,4.0,0.2,3.0,True,55,40.0,1.529,27.43,-13.77,1.99
0.01,5.0,0.1,2.5,False,59,45.8,1.594,28.35,-8.33,3.4
0.01,5.0,0.1,2.5,True,57,45.6,1.59,27.03,-8.33,3.24
0.01,5.0,0.1,3.0,False,57,42.1,1.696,37.85,-13.29,2.85
0.01,5.0,0.1,3.0,True,56,41.1,1.64,33.94,-13.29,2.55
0.01,5.0,0.2,2.5,False,59,45.8,1.54,25.48,-8.45,3.02
0.01,5.0,0.2,2.5,True,57,45.6,1.536,24.31,-8.45,2.88
