tp_m,trail_act,adx,pb_pct,sl_m,longs,shorts,n,wins,losses,wr,net_pct,mdd,calmar
2.0,3.0,20,0.1,1.5,True,True,45,26,19,57.8,12.18,-7.27,1.67
2.0,2.0,20,0.1,1.5,True,True,45,26,19,57.8,11.79,-7.27,1.62
12.0,2.0,20,0.1,1.5,True,True,45,26,19,57.8,11.79,-7.27,1.62
5.0,2.0,20,0.1,1.5,True,True,45,26,19,57.8,11.79,-7.27,1.62
3.0,2.0,20,0.1,1.5,True,True,45,26,19,57.8,11.79,-7.27,1.62
8.0,2.0,20,0.1,1.5,True,True,45,26,19,57.8,11.79,-7.27,1.62
2.0,3.0,30,0.2,1.5,True,True,19,13,6,68.4,8.92,-3.47,2.57
8.0,2.0,30,0.2,1.5,True,True,19,13,6,68.4,8.59,-3.38,2.54
5.0,2.0,30,0.2,1.5,True,True,19,13,6,68.4,8.59,-3.38,2.54
3.0,2.0,30,0.2,1.5,True,True,19,13,6,68.4,8.59,-3.38,2.54
2.0,2.0,30,0.2,1.5,True,True,19,13,6,68.4,8.59,-3.38,2.54
12.0,2.0,30,0.2,1.5,True,True,19,13,6,68.4,8.59,-3.38,2.54
3.0,2.0,20,0.1,1.5,True,False,38,21,17,55.3,8.37,-6.07,1.38
8.0,2.0,20,0.1,1.5,True,False,38,21,17,55.3,8.37,-6.07,1.38
12.0,2.0,20,0.1,1.5,True,False,38,21,17,55.3,8.37,-6.07,1.38
2.0,2.0,20,0.1,1.5,True,False,38,21,17,55.3,8.37,-6.07,1.38
5.0,2.0,20,0.1,1.5,True,False,38,21,17,55.3,8.37,-6.07,1.38
2.0,3.0,20,0.1,1.5,True,False,38,21,17,55.3,8.18,-6.07,1.35
2.0,3.0,30,0.2,1.5,True,False,16,11,5,68.8,7.55,-2.41,3.14
2.0,2.0,30,0.2,1.5,True,False,16,11,5,68.8,7.32,-2.32,3.16
5.0,2.0,30,0.2,1.5,True,False,16,11,5,68.8,7.32,-2.32,3.16
3.0,2.0,30,0.2,1.5,True,False,16,11,5,68.8,7.32,-2.32,3.16
12.0,2.0,30,0.2,1.5,True,False,16,11,5,68.8,7.32,-2.32,3.16
8.0,2.0,30,0.2,1.5,True,False,16,11,5,68.8,7.32,-2.32,3.16
2.0,99.0,30,0.2,1.5,True,True,19,13,6,68.4,7.3,-3.47,2.1
2.0,3.0,30,0.2,2.0,True,True,19,14,5,73.7,7.17,-2.23,3.21
2.0,2.0,30,0.1,1.5,True,True,15,10,5,66.7,6.89,-3.38,2.04
5.0,2.0,30,0.1,1.5,True,True,15,10,5,66.7,6.89,-3.38,2.04
12.0,2.0,30,0.1,1.5,True,True,15,10,5,66.7,6.89,-3.38,2.04
8.0,2.0,30,0.1,1.5,True,True,15,10,5,66.7,6.89,-3.38,2.04
3.0,2.0,30,0.1,1.5,True,True,15,10,5,66.7,6.89,-3.38,2.04
2.0,2.0,30,0.2,2.0,True,True,19,14,5,73.7,6.8,-2.23,3.04
12.0,2.0,30,0.2,2.0,True,True,19,14,5,73.7,6.8,-2.23,3.04
3.0,2.0,30,0.2,2.0,True,True,19,14,5,73.7,6.8,-2.23,3.04
8.0,2.0,30,0.2,2.0,True,True,19,14,5,73.7,6.8,-2.23,3.04
5.0,2.0,30,0.2,2.0,True,True,19,14,5,73.7,6.8,-2.23,3.04
2.0,2.0,30,0.1,1.5,True,False,13,9,4,69.2,6.73,-2.32,2.91
3.0,2.0,30,0.1,1.5,True,False,13,9,4,69.2,6.73,-2.32,2.91
12.0,2.0,30,0.1,1.5,True,False,13,9,4,69.2,6.73,-2.32,2.91
5.0,2.0,30,0.1,1.5,True,False,13,9,4,69.2,6.73,-2.32,2.91
8.0,2.0,30,0.1,1.5,True,False,13,9,4,69.2,6.73,-2.32,2.91
