adx,pb_pct,vol_m,min_body,sl_m,n,wins,losses,wr,net_pct,mdd,calmar
20,0.2,2.0,0.2,1.5,26,15,11,57.7,8.38,-3.81,2.2
20,0.05,2.0,0.2,1.5,18,10,8,55.6,5.32,-2.53,2.1
20,0.2,2.0,0.05,1.5,28,16,12,57.1,8.23,-4.0,2.06
20,0.2,2.0,0.1,1.5,28,16,12,57.1,8.23,-4.0,2.06
20,0.2,2.0,0.3,1.5,25,14,11,56.0,7.23,-3.81,1.9
20,0.1,2.0,0.2,1.5,20,11,9,55.0,5.22,-2.8,1.87
25,0.05,1.2,0.05,1.8,21,14,7,66.7,5.24,-2.88,1.82
25,0.05,1.2,0.1,1.8,21,14,7,66.7,5.24,-2.88,1.82
25,0.2,2.0,0.05,1.2,18,10,8,55.6,4.7,-2.68,1.75
25,0.2,2.0,0.1,1.2,18,10,8,55.6,4.7,-2.68,1.75
25,0.2,2.0,0.05,1.5,18,11,7,61.1,4.52,-2.74,1.65
25,0.2,2.0,0.1,1.5,18,11,7,61.1,4.52,-2.74,1.65
25,0.2,1.5,0.05,1.8,30,19,11,63.3,5.93,-3.67,1.62
25,0.2,1.5,0.1,1.8,30,19,11,63.3,5.93,-3.67,1.62
16,0.1,1.2,0.05,1.8,58,32,26,55.2,7.65,-4.74,1.61
22,0.2,1.2,0.05,1.8,46,28,18,60.9,8.96,-5.91,1.51
22,0.2,1.2,0.1,1.8,46,28,18,60.9,8.96,-5.91,1.51
25,0.2,1.5,0.05,1.5,31,18,13,58.1,5.72,-3.81,1.5
25,0.2,1.5,0.1,1.5,31,18,13,58.1,5.72,-3.81,1.5
22,0.05,1.2,0.05,1.8,30,19,11,63.3,6.91,-4.72,1.46
22,0.05,1.2,0.1,1.8,30,19,11,63.3,6.91,-4.72,1.46
20,0.05,1.2,0.2,1.5,34,19,15,55.9,7.66,-5.29,1.45
22,0.05,1.2,0.05,1.5,31,18,13,58.1,6.96,-4.88,1.43
22,0.05,1.2,0.1,1.5,31,18,13,58.1,6.96,-4.88,1.43
20,0.05,2.0,0.05,1.5,20,11,9,55.0,5.17,-3.65,1.42
20,0.05,2.0,0.1,1.5,20,11,9,55.0,5.17,-3.65,1.42
20,0.2,2.0,0.2,1.8,26,15,11,57.7,5.01,-3.67,1.37
25,0.2,1.2,0.05,1.5,37,21,16,56.8,6.17,-4.68,1.32
25,0.2,1.2,0.1,1.5,37,21,16,56.8,6.17,-4.68,1.32
18,0.1,1.2,0.05,1.8,52,29,23,55.8,6.34,-4.85,1.31
25,0.2,1.2,0.05,1.8,36,22,14,61.1,5.78,-4.47,1.29
25,0.2,1.2,0.1,1.8,36,22,14,61.1,5.78,-4.47,1.29
25,0.05,1.2,0.05,1.5,21,13,8,61.9,5.32,-4.17,1.28
25,0.05,1.2,0.1,1.5,21,13,8,61.9,5.32,-4.17,1.28
20,0.05,2.0,0.2,1.8,18,10,8,55.6,3.04,-2.44,1.25
22,0.2,1.2,0.2,1.8,44,26,18,59.1,6.98,-5.91,1.18
25,0.2,2.0,0.3,1.2,16,9,7,56.2,4.65,-4.02,1.16
22,0.1,1.2,0.05,1.8,38,23,15,60.5,6.8,-5.91,1.15
22,0.1,1.2,0.1,1.8,38,23,15,60.5,6.8,-5.91,1.15
25,0.2,1.2,0.2,1.8,33,20,13,60.6,5.14,-4.47,1.15
22,0.2,1.5,0.05,1.8,38,23,15,60.5,6.58,-5.91,1.11
22,0.2,1.5,0.1,1.8,38,23,15,60.5,6.58,-5.91,1.11
25,0.2,1.2,0.2,1.5,34,19,15,55.9,5.19,-4.68,1.11
25,0.05,1.5,0.05,1.8,20,13,7,65.0,4.22,-3.81,1.11
25,0.05,1.5,0.1,1.8,20,13,7,65.0,4.22,-3.81,1.11
20,0.2,2.0,0.3,1.8,25,14,11,56.0,4.08,-3.67,1.11
20,0.2,2.0,0.05,1.8,28,16,12,57.1,4.72,-4.3,1.1
20,0.2,2.0,0.1,1.8,28,16,12,57.1,4.72,-4.3,1.1
25,0.2,1.5,0.2,1.8,28,17,11,60.7,4.01,-3.67,1.09
18,0.08,1.2,0.05,1.8,49,27,22,55.1,5.16,-4.85,1.06
22,0.1,1.2,0.2,1.8,35,21,14,60.0,6.15,-5.91,1.04
22,0.05,1.5,0.05,1.8,28,17,11,60.7,4.89,-4.72,1.04
22,0.05,1.5,0.1,1.8,28,17,11,60.7,4.89,-4.72,1.04
22,0.15,1.2,0.05,1.8,41,24,17,58.5,6.05,-5.91,1.02
22,0.15,1.2,0.1,1.8,41,24,17,58.5,6.05,-5.91,1.02
25,0.05,1.0,0.2,1.8,27,17,10,63.0,4.17,-4.21,0.99
22,0.2,2.0,0.05,1.8,25,14,11,56.0,3.09,-3.15,0.98
22,0.2,2.0,0.1,1.8,25,14,11,56.0,3.09,-3.15,0.98
22,0.08,1.2,0.05,1.8,35,21,14,60.0,5.61,-5.91,0.95
22,0.08,1.2,0.1,1.8,35,21,14,60.0,5.61,-5.91,0.95
22,0.05,1.2,0.2,1.8,28,17,11,60.7,4.97,-5.26,0.95
22,0.05,1.5,0.05,1.5,29,16,13,55.2,4.54,-4.88,0.93
22,0.05,1.5,0.1,1.5,29,16,13,55.2,4.54,-4.88,0.93
25,0.05,1.2,0.2,1.8,19,12,7,63.2,3.33,-3.61,0.92
25,0.2,2.0,0.05,1.8,18,11,7,61.1,2.55,-2.78,0.92
25,0.2,2.0,0.1,1.8,18,11,7,61.1,2.55,-2.78,0.92
20,0.1,2.0,0.2,1.8,20,11,9,55.0,2.79,-3.15,0.89
20,0.1,1.2,0.2,1.8,40,23,17,57.5,5.22,-5.91,0.88
22,0.05,1.2,0.2,1.5,29,16,13,55.2,4.64,-5.29,0.88
