adx,sl_m,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
33,1.2,2.0,3.0,13,10,3,9,1,3,76.9,11.87,-2.33,5.11
33,1.5,2.0,3.0,13,11,2,10,1,2,84.6,11.32,-2.26,5.01
33,1.2,3.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
33,1.2,2.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
33,1.2,4.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
33,1.2,6.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
33,1.2,10.0,2.0,13,10,3,0,10,3,76.9,11.3,-2.33,4.86
28,1.5,2.0,3.0,26,17,9,13,4,9,65.4,11.18,-3.54,3.16
33,1.2,2.0,99.0,13,10,3,10,0,3,76.9,10.73,-2.33,4.61
33,1.5,10.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
33,1.5,2.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
33,1.5,3.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
33,1.5,4.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
33,1.5,6.0,2.0,13,11,2,0,11,2,84.6,10.65,-2.26,4.72
28,1.5,10.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
28,1.5,2.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
28,1.5,4.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
28,1.5,3.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
28,1.5,6.0,2.0,26,17,9,0,17,9,65.4,10.47,-3.54,2.96
33,1.5,2.0,99.0,13,11,2,11,0,2,84.6,10.41,-2.26,4.61
33,0.8,2.0,3.0,14,8,6,7,1,6,57.1,10.23,-3.73,2.74
33,1.0,2.0,3.0,14,9,5,8,1,5,64.3,10.09,-3.58,2.82
30,1.2,2.0,3.0,19,12,7,10,2,7,63.2,9.96,-3.49,2.86
30,1.2,3.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
30,1.2,10.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
30,1.2,4.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
30,1.2,2.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
30,1.2,6.0,2.0,19,12,7,0,12,7,63.2,9.8,-3.49,2.81
33,1.0,4.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.0,6.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.0,2.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.0,3.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.0,10.0,2.0,14,9,5,0,9,5,64.3,9.43,-3.58,2.64
33,1.5,10.0,3.0,12,7,5,0,7,5,58.3,9.34,-3.37,2.77
33,1.5,4.0,3.0,12,7,5,0,7,5,58.3,9.34,-3.37,2.77
33,1.5,6.0,3.0,12,7,5,0,7,5,58.3,9.34,-3.37,2.77
33,1.5,3.0,3.0,12,7,5,0,7,5,58.3,9.34,-3.37,2.77
33,0.8,2.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,3.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,10.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,4.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
33,0.8,6.0,2.0,14,8,6,0,8,6,57.1,9.3,-3.73,2.49
30,1.5,2.0,3.0,19,13,6,11,2,6,68.4,8.92,-3.47,2.57
33,1.0,2.0,99.0,14,9,5,9,0,5,64.3,8.74,-3.58,2.44
30,1.5,6.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,2.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,3.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,4.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
30,1.5,10.0,2.0,19,13,6,0,13,6,68.4,8.59,-3.38,2.54
33,0.8,2.0,99.0,14,8,6,8,0,6,57.1,8.56,-3.73,2.29
28,1.5,2.0,99.0,26,17,9,17,0,9,65.4,8.12,-3.54,2.3
30,1.2,2.0,99.0,19,12,7,12,0,7,63.2,7.93,-3.49,2.27
30,1.5,2.0,99.0,19,13,6,13,0,6,68.4,7.3,-3.47,2.1
33,1.5,3.0,99.0,12,7,5,7,0,5,58.3,6.64,-3.37,1.97
25,1.5,2.0,3.0,37,21,16,18,3,16,56.8,6.17,-4.68,1.32
25,1.5,10.0,2.0,37,21,16,0,21,16,56.8,5.81,-4.86,1.2
25,1.5,6.0,2.0,37,21,16,0,21,16,56.8,5.81,-4.86,1.2
25,1.5,3.0,2.0,37,21,16,0,21,16,56.8,5.81,-4.86,1.2
25,1.5,2.0,2.0,37,21,16,0,21,16,56.8,5.81,-4.86,1.2
25,1.5,4.0,2.0,37,21,16,0,21,16,56.8,5.81,-4.86,1.2
25,1.5,2.0,99.0,37,21,16,21,0,16,56.8,3.76,-4.68,0.8
