adx,sl_m,trail_dist,tp_m,trail_act,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
33,0.9,0.2,3.0,3.0,13,7,6,0,7,6,53.8,17.24,-3.64,4.73
33,0.9,0.2,4.0,3.0,13,7,6,0,7,6,53.8,17.24,-3.64,4.73
33,0.9,0.3,4.0,3.0,13,7,6,0,7,6,53.8,16.36,-3.64,4.49
33,0.9,0.3,3.0,3.0,13,7,6,0,7,6,53.8,16.36,-3.64,4.49
33,1.0,0.2,3.0,3.0,13,7,6,0,7,6,53.8,14.74,-3.58,4.12
33,1.0,0.2,4.0,3.0,13,7,6,0,7,6,53.8,14.74,-3.58,4.12
33,0.9,0.5,3.0,3.0,13,7,6,0,7,6,53.8,14.62,-3.64,4.01
33,0.9,0.5,4.0,3.0,13,7,6,0,7,6,53.8,14.62,-3.64,4.01
35,0.9,0.2,3.0,3.0,11,6,5,0,6,5,54.5,14.59,-2.52,5.79
35,0.9,0.2,4.0,3.0,11,6,5,0,6,5,54.5,14.59,-2.52,5.79
28,1.5,0.2,3.0,3.0,24,13,11,0,13,11,54.2,14.14,-3.68,3.85
28,1.5,0.2,4.0,3.0,24,13,11,0,13,11,54.2,14.14,-3.68,3.85
33,1.0,0.3,4.0,3.0,13,7,6,0,7,6,53.8,13.96,-3.58,3.9
33,1.0,0.3,3.0,3.0,13,7,6,0,7,6,53.8,13.96,-3.58,3.9
35,0.9,0.3,4.0,3.0,11,6,5,0,6,5,54.5,13.85,-2.52,5.5
35,0.9,0.3,3.0,3.0,11,6,5,0,6,5,54.5,13.85,-2.52,5.5
28,1.5,0.3,3.0,3.0,24,13,11,0,13,11,54.2,13.18,-3.68,3.58
28,1.5,0.3,4.0,3.0,24,13,11,0,13,11,54.2,13.18,-3.68,3.58
33,0.9,0.7,3.0,3.0,13,7,6,0,7,6,53.8,12.9,-3.64,3.54
33,0.9,0.7,4.0,3.0,13,7,6,0,7,6,53.8,12.9,-3.64,3.54
33,1.1,0.2,4.0,3.0,13,7,6,0,7,6,53.8,12.72,-3.52,3.61
33,1.1,0.2,3.0,3.0,13,7,6,0,7,6,53.8,12.72,-3.52,3.61
35,1.0,0.2,3.0,3.0,11,6,5,0,6,5,54.5,12.51,-2.47,5.07
