adx,sl_m,trail_act,trail_dist,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
33,0.9,2.0,0.5,13,9,4,0,9,4,69.2,17.38,-3.64,4.77
35,0.9,2.0,0.5,11,8,3,0,8,3,72.7,16.62,-2.52,6.6
33,1.0,2.0,0.5,13,9,4,0,9,4,69.2,15.08,-3.58,4.22
33,0.9,2.0,0.7,13,9,4,0,9,4,69.2,14.96,-3.64,4.11
33,1.2,2.0,0.5,13,10,3,0,10,3,76.9,14.75,-2.44,6.04
35,1.2,2.0,0.5,11,9,2,0,9,2,81.8,14.62,-1.36,10.71
35,1.0,2.0,0.5,11,8,3,0,8,3,72.7,14.53,-2.47,5.89
35,0.9,2.0,0.7,11,8,3,0,8,3,72.7,14.22,-2.52,5.65
33,0.9,2.0,0.3,13,9,4,0,9,4,69.2,14.06,-3.64,3.86
35,0.9,2.0,0.3,11,8,3,0,8,3,72.7,13.61,-2.52,5.4
35,0.9,1.5,0.7,11,8,3,0,8,3,72.7,13.19,-2.52,5.24
35,0.9,1.5,0.5,11,8,3,0,8,3,72.7,13.19,-2.52,5.24
33,0.9,1.5,0.5,13,9,4,0,9,4,69.2,12.99,-3.64,3.57
33,1.0,2.0,0.7,13,9,4,0,9,4,69.2,12.94,-3.58,3.62
33,1.2,2.0,0.7,13,10,3,0,10,3,76.9,12.78,-2.44,5.23
33,0.9,1.5,0.7,13,9,4,0,9,4,69.2,12.74,-3.64,3.5
33,0.9,1.5,1.0,13,9,4,0,9,4,69.2,12.68,-3.64,3.48
33,0.9,2.0,1.0,13,9,4,0,9,4,69.2,12.68,-3.64,3.48
35,1.2,2.0,0.7,11,9,2,0,9,2,81.8,12.65,-1.36,9.27
35,1.2,2.0,0.3,11,9,2,0,9,2,81.8,12.55,-1.36,9.2
35,1.5,2.0,0.5,10,9,1,0,9,1,90.0,12.52,-1.18,10.62
33,1.5,2.0,0.5,12,10,2,0,10,2,83.3,12.51,-2.26,5.54
33,1.2,2.0,0.3,13,10,3,0,10,3,76.9,12.48,-2.44,5.11
30,1.2,2.0,0.5,19,12,7,0,12,7,63.2,12.42,-3.6,3.45
35,1.0,2.0,0.7,11,8,3,0,8,3,72.7,12.4,-2.47,5.03
35,0.9,2.0,1.0,11,8,3,0,8,3,72.7,12.28,-2.52,4.88
35,0.9,1.5,1.0,11,8,3,0,8,3,72.7,12.28,-2.52,4.88
33,1.0,2.0,0.3,13,9,4,0,9,4,69.2,12.14,-3.58,3.39
35,1.5,2.0,0.7,10,9,1,0,9,1,90.0,12.1,-1.18,10.26
33,1.5,2.0,0.7,12,10,2,0,10,2,83.3,12.09,-2.26,5.35
33,0.9,2.0,0.2,13,9,4,0,9,4,69.2,11.87,-3.64,3.26
35,1.0,2.0,0.3,11,8,3,0,8,3,72.7,11.85,-2.47,4.81
35,1.0,1.5,0.5,11,8,3,0,8,3,72.7,11.49,-2.47,4.66
35,1.0,1.5,0.7,11,8,3,0,8,3,72.7,11.48,-2.47,4.66
30,1.2,2.0,0.7,19,12,7,0,12,7,63.2,11.36,-3.6,3.16
35,0.9,2.0,0.2,11,8,3,0,8,3,72.7,11.3,-2.52,4.49
33,1.0,1.5,0.5,13,9,4,0,9,4,69.2,11.2,-3.58,3.13
35,1.5,1.5,0.5,10,9,1,0,9,1,90.0,11.18,-1.18,9.49
35,1.5,2.0,0.3,11,10,1,0,10,1,90.9,11.17,-1.18,9.48
35,1.2,1.5,0.5,11,9,2,0,9,2,81.8,11.04,-1.36,8.09
33,1.5,2.0,0.3,13,11,2,0,11,2,84.6,11.0,-2.26,4.87
33,1.0,1.5,0.7,13,9,4,0,9,4,69.2,10.97,-3.58,3.07
35,1.2,2.0,1.0,11,9,2,0,9,2,81.8,10.93,-1.36,8.01
33,1.0,1.5,1.0,13,9,4,0,9,4,69.2,10.91,-3.58,3.05
33,1.0,2.0,1.0,13,9,4,0,9,4,69.2,10.91,-3.58,3.05
35,1.2,1.5,0.7,11,9,2,0,9,2,81.8,10.86,-1.36,7.96
33,0.9,1.5,0.3,13,9,4,0,9,4,69.2,10.82,-3.64,2.97
33,1.2,2.0,1.0,13,10,3,0,10,3,76.9,10.81,-2.44,4.43
35,0.9,1.5,0.3,11,8,3,0,8,3,72.7,10.78,-2.52,4.28
33,1.2,2.0,0.2,13,10,3,0,10,3,76.9,10.73,-2.44,4.39
35,1.5,2.0,1.0,10,9,1,0,9,1,90.0,10.72,-1.18,9.09
35,1.2,2.0,0.2,11,9,2,0,9,2,81.8,10.71,-1.36,7.85
35,1.0,2.0,1.0,11,8,3,0,8,3,72.7,10.67,-2.47,4.33
35,1.0,1.5,1.0,11,8,3,0,8,3,72.7,10.67,-2.47,4.33
35,1.5,1.5,0.7,10,9,1,0,9,1,90.0,10.66,-1.18,9.05
33,1.2,2.5,0.5,13,8,5,0,8,5,61.5,10.64,-2.44,4.36
33,1.5,1.5,0.5,12,10,2,0,10,2,83.3,10.62,-2.26,4.7
35,1.2,2.5,0.5,11,7,4,0,7,4,63.6,10.51,-1.36,7.7
33,1.5,2.0,1.0,12,10,2,0,10,2,83.3,10.51,-2.26,4.65
33,1.2,1.5,0.5,13,10,3,0,10,3,76.9,10.49,-2.44,4.29
30,1.5,2.0,0.7,18,12,6,0,12,6,66.7,10.3,-3.49,2.96
33,1.0,2.0,0.2,13,9,4,0,9,4,69.2,10.2,-3.58,2.85
