risk_pct,adx,sl_m,pb_pct,vol_mult,n,wins,losses,tp_x,trail_x,sl_x,wr,net_pct,mdd,calmar
2.0,33,0.9,0.2,1.2,13,9,4,0,9,4,69.2,36.88,-7.2,5.12
2.0,33,0.8,0.2,1.2,13,8,5,0,8,5,61.5,34.33,-7.36,4.66
1.75,33,0.9,0.2,1.2,13,9,4,0,9,4,69.2,31.8,-6.32,5.03
2.0,33,1.0,0.2,1.2,13,9,4,0,9,4,69.2,31.72,-7.07,4.49
1.75,33,0.8,0.2,1.2,13,8,5,0,8,5,61.5,29.68,-6.46,4.59
1.75,33,1.0,0.2,1.2,13,9,4,0,9,4,69.2,27.41,-6.2,4.42
1.5,33,0.9,0.2,1.2,13,9,4,0,9,4,69.2,26.86,-5.43,4.94
1.5,33,0.8,0.2,1.2,13,8,5,0,8,5,61.5,25.14,-5.56,4.52
1.5,33,1.0,0.2,1.2,13,9,4,0,9,4,69.2,23.2,-5.33,4.35
1.25,33,0.9,0.2,1.2,13,9,4,0,9,4,69.2,22.05,-4.54,4.86
1.25,33,0.8,0.2,1.2,13,8,5,0,8,5,61.5,20.69,-4.65,4.45
1.25,33,1.0,0.2,1.2,13,9,4,0,9,4,69.2,19.09,-4.46,4.28
1.0,33,0.9,0.2,1.2,13,9,4,0,9,4,69.2,17.38,-3.64,4.77
1.0,33,0.8,0.2,1.2,13,8,5,0,8,5,61.5,16.35,-3.73,4.39
1.0,33,1.0,0.2,1.2,13,9,4,0,9,4,69.2,15.08,-3.58,4.22
