macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,win_rate
8,21,7,10,5,14,66.66666666666666
8,21,7,14,5,14,66.66666666666666
8,21,7,14,5,20,66.66666666666666
8,21,7,21,5,14,66.66666666666666
8,21,7,14,7,20,70.83333333333334
8,21,9,10,3,20,69.23076923076923
8,21,9,10,5,34,65.51724137931035
8,21,9,14,5,34,70.83333333333334
8,21,9,21,5,34,71.42857142857143
8,21,9,21,7,20,66.66666666666666
8,21,12,10,3,20,70.83333333333334
8,21,12,10,5,34,69.23076923076923
8,21,12,10,7,20,65.51724137931035
8,21,12,10,7,34,69.23076923076923
8,21,12,14,5,14,65.51724137931035
8,21,12,21,7,14,71.42857142857143
8,21,12,21,7,34,66.66666666666666
8,21,12,21,5,34,73.33333333333333
8,26,7,10,7,20,71.42857142857143
8,26,7,14,3,20,66.66666666666666
8,26,7,14,3,34,70.83333333333334
8,26,7,10,5,14,66.66666666666666
8,26,7,14,7,34,69.56521739130434
8,26,7,21,7,14,84.21052631578947
8,26,9,10,5,14,69.23076923076923
8,26,9,10,7,34,66.66666666666666
8,26,9,10,7,14,65.51724137931035
8,26,9,10,7,20,73.33333333333333
8,26,9,10,3,14,73.33333333333333
8,26,9,14,7,34,66.66666666666666
8,26,9,14,7,20,66.66666666666666
8,26,9,21,3,20,69.56521739130434
8,26,9,21,5,34,71.42857142857143
8,26,9,21,7,20,84.21052631578947
8,26,12,10,5,20,69.56521739130434
8,26,12,10,5,34,66.66666666666666
8,26,12,14,3,14,66.66666666666666
8,26,12,10,7,20,84.21052631578947
8,26,12,21,3,14,66.66666666666666
8,32,7,10,5,20,73.33333333333333
8,32,7,10,7,14,66.66666666666666
8,32,7,14,5,34,81.81818181818183
8,32,7,21,7,34,69.56521739130434
8,32,7,21,3,34,68.18181818181817
8,32,9,10,5,20,65.0
8,32,9,10,7,34,84.21052631578947
8,32,9,21,3,34,81.81818181818183
8,32,9,21,3,20,66.66666666666666
8,32,12,14,3,34,81.81818181818183
8,32,12,14,5,34,68.18181818181817
8,32,12,21,7,20,65.0
8,40,7,14,3,34,68.18181818181817
8,40,7,14,5,20,65.0
8,40,9,10,5,14,81.81818181818183
