macd_fast,macd_slow,macd_signal,stoch_k_len,stoch_d_len,cci_len,ema_fast,ema_mid,ema_slow,rsi_len,atr_len,atr_baseline_len,volume_sma_len,bb_len,bb_std_mult,donchian_len,adx_len,atr_percentile_window,macro_ema_period,type,side,win_rate,net_return,max_drawdown,calmar_ratio,trades
8,21,7,10,3,14,8,21,55,7,7,60,10,14,1.5,20,14,60,0,Long,Buy,66.66666666666666,0.09742363520379715,-0.023610379037391434,49.78184843951161,21
8,21,7,10,3,14,8,21,55,7,7,60,10,14,2.0,14,14,120,0,Long,Buy,65.0,0.03971950703409721,-0.0426356100518244,11.765290713081276,20
8,21,7,10,3,14,8,21,55,7,7,60,10,14,2.0,20,7,60,50,Long,Buy,66.66666666666666,0.024726467106295225,-0.04756522629190942,3.6416039571220846,36
8,21,7,10,3,14,8,21,55,7,7,60,10,14,2.0,20,14,120,50,Long,Buy,66.66666666666666,0.060588559271668174,-0.03534314827462742,20.640222766979498,21
8,21,7,10,3,14,8,21,55,7,7,60,10,20,1.5,14,7,120,0,Long,Buy,70.96774193548387,0.10545558002033051,-0.013916009781178448,61.83389999430482,31
8,21,7,10,3,14,8,21,55,7,7,60,10,20,1.5,14,7,120,50,Long,Buy,65.11627906976744,0.08654878940062005,-0.060268951020578866,8.433599521668206,43
8,21,7,10,3,14,8,21,55,7,7,60,10,20,1.5,14,14,120,50,Long,Buy,67.85714285714286,0.09978975108466681,-0.018133017002398808,49.72702541832466,28
8,21,7,10,3,14,8,21,55,7,7,60,10,20,1.5,20,14,120,0,Long,Buy,65.625,0.17340670259931024,-0.02435301490701436,56.409668409862526,32
8,21,7,10,3,14,8,21,55,7,7,60,10,20,2.0,14,7,120,0,Long,Buy,90.0,0.05086624091208414,-0.0037302236335766776,345.75670039365974,10
8,21,7,10,3,14,8,21,55,7,7,60,10,20,2.0,20,7,60,50,Long,Buy,66.66666666666666,0.10435858076733862,-0.03538822683102502,24.867153211805537,30
8,21,7,10,3,14,8,21,55,7,7,60,10,20,2.0,20,14,120,0,Long,Buy,66.66666666666666,0.14816487244710963,-0.03371727917793521,30.897380447805414,36
8,21,7,10,3,14,8,21,55,7,7,60,10,20,2.0,20,14,120,50,Long,Buy,83.33333333333334,0.08838908240278442,-0.0045496166592849585,411.6103846062175,12
8,21,7,10,3,14,8,21,55,7,7,60,20,14,2.0,20,7,60,0,Long,Buy,66.66666666666666,0.01026038138265406,-0.029775851858119554,7.243763576833011,12
8,21,7,10,3,14,8,21,55,7,7,60,20,14,2.0,20,14,120,50,Long,Buy,74.07407407407408,0.09478709341799174,-0.020156318190717108,44.064677210669224,27
8,21,7,10,3,14,8,21,55,7,7,60,20,20,1.5,14,7,60,0,Long,Buy,72.22222222222221,0.059924643822450996,-0.03319812020026898,25.36952786612742,18
8,21,7,10,3,14,8,21,55,7,7,60,20,20,1.5,14,7,120,50,Long,Buy,70.0,0.07548733247644268,-0.029096135235358776,32.833084318274295,20
8,21,7,10,3,14,8,21,55,7,7,60,20,20,1.5,20,14,120,0,Long,Buy,65.21739130434783,0.05565078641824872,-0.03306229470753339,18.493305216274425,23
8,21,7,10,3,14,8,21,55,7,7,60,20,20,1.5,20,14,120,50,Long,Buy,72.72727272727273,0.019991986433920417,-0.009702621043216637,47.3070794026736,11
8,21,7,10,3,14,8,21,55,7,7,100,10,14,1.5,20,7,60,50,Long,Buy,68.75,0.07279772949009278,-0.00870892021918633,132.36319871159148,16
8,21,7,10,3,14,8,21,55,7,7,100,10,14,2.0,14,14,60,50,Long,Buy,66.66666666666666,0.041511759057177855,-0.017895802804452736,32.56268387472722,18
8,21,7,10,3,14,8,21,55,7,7,100,10,14,2.0,14,14,120,50,Long,Buy,76.92307692307693,0.032803932443536965,-0.019994310366010785,31.899712657726692,13
8,21,7,10,3,14,8,21,55,7,7,100,10,14,2.0,20,14,120,50,Long,Buy,65.0,0.03960139487462211,-0.02947462981934954,16.967991650551543,20
8,21,7,10,3,14,8,21,55,7,7,100,10,20,2.0,14,7,120,0,Long,Buy,69.04761904761905,0.1452069071306683,-0.022941001901273,38.1156121031665,42
8,21,7,10,3,14,8,21,55,7,7,100,20,14,1.5,14,7,60,0,Long,Buy,66.66666666666666,0.012334971522487415,-0.01965185477375515,13.19743977890286,12
8,21,7,10,3,14,8,21,55,7,7,100,20,14,1.5,14,7,60,50,Long,Buy,72.0,0.12457103847578477,-0.014802413927447739,85.31050817659859,25
8,21,7,10,3,14,8,21,55,7,7,100,20,14,1.5,20,7,60,50,Long,Buy,66.66666666666666,0.030635787868837916,-0.015403745058366499,41.89411928129597,12
8,21,7,10,3,14,8,21,55,7,7,100,20,14,1.5,20,7,120,0,Long,Buy,67.5,0.11428620643216814,-0.02838344208161086,25.44396356349549,40
8,21,7,10,3,14,8,21,55,7,7,100,20,14,2.0,14,14,120,0,Long,Buy,79.16666666666666,0.09162631185830605,-0.02899926031671559,33.32065539721229,24
8,21,7,10,3,14,8,21,55,7,7,100,20,20,1.5,14,7,60,50,Long,Buy,70.0,0.046250770078026804,-0.02040996382345872,28.62942553491184,20
8,21,7,10,3,14,8,21,55,7,7,100,20,20,1.5,20,7,120,0,Long,Buy,69.04761904761905,0.18537744686792923,-0.019473619127899883,57.381843209714404,42
8,21,7,10,3,14,8,21,55,7,7,100,20,20,1.5,20,14,120,50,Long,Buy,69.23076923076923,0.07687509406659743,-0.003362643400803423,446.30714912323884,13
8,21,7,10,3,14,8,21,55,7,7,100,20,20,2.0,14,14,60,0,Long,Buy,66.66666666666666,0.10383759843248797,-0.03390302586554944,16.115129141762583,48
8,21,7,10,3,14,8,21,55,7,7,100,20,20,2.0,20,7,60,0,Long,Buy,76.92307692307693,0.0629183065829153,-0.012829353770906231,95.61876511475663,13
8,21,7,10,3,14,8,21,55,7,7,100,20,20,2.0,20,7,120,50,Long,Buy,68.96551724137932,0.06004044731324765,-0.04194874725527423,12.466088308359842,29
8,21,7,10,3,14,8,21,55,7,7,100,20,20,2.0,20,14,120,0,Long,Buy,74.07407407407408,0.04617930116885827,-0.022837408043408395,18.909197721431962,27
8,21,7,10,3,14,8,21,55,7,14,60,10,14,1.5,14,7,60,50,Long,Buy,72.72727272727273,0.0029269283780442024,-0.029649432505505925,2.262261582052765,11
8,21,7,10,3,14,8,21,55,7,14,60,10,14,1.5,20,7,60,50,Long,Buy,70.0,0.047998127804005364,-0.02327232018739595,17.355426158661512,30
8,21,7,10,3,14,8,21,55,7,14,60,10,14,1.5,20,14,120,50,Long,Buy,66.66666666666666,0.020006902926938963,-0.01620373878674577,25.980831523751355,12
8,21,7,10,3,14,8,21,55,7,14,60,10,14,2.0,20,7,60,0,Long,Buy,70.0,0.09158019356816371,-0.016128129133961628,71.92771559275917,20
8,21,7,10,3,14,8,21,55,7,14,60,10,14,2.0,20,14,60,50,Long,Buy,65.21739130434783,0.1693336638045606,-0.023154107878318158,40.21654370192057,46
8,21,7,10,3,14,8,21,55,7,14,60,10,14,2.0,20,14,120,50,Long,Buy,66.66666666666666,0.06928450021643773,-0.024263412534564478,40.15772481235523,18
8,21,7,10,3,14,8,21,55,7,14,60,10,20,1.5,20,7,60,50,Long,Buy,76.47058823529412,0.05723517337681283,-0.01848924536050748,46.0695842050969,17
8,21,7,10,3,14,8,21,55,7,14,60,10,20,2.0,20,7,60,0,Long,Buy,72.72727272727273,0.15481288998846487,-0.003463501651033556,516.1631833501269,22
8,21,7,10,3,14,8,21,55,7,14,60,10,20,2.0,20,14,60,50,Long,Buy,75.0,0.03198978068092995,-0.01718168932443639,39.22424440118089,12
8,21,7,10,3,14,8,21,55,7,14,60,20,14,1.5,14,7,60,0,Long,Buy,65.0,0.10726864681278592,-0.03602037986085573,18.814805795504757,40
8,21,7,10,3,14,8,21,55,7,14,60,20,14,1.5,20,14,120,50,Long,Buy,80.0,0.010797366074810633,-0.014819998419617354,18.383902589562528,10
8,21,7,10,3,14,8,21,55,7,14,60,20,14,2.0,20,14,60,0,Long,Buy,79.16666666666666,0.13820635726855546,-0.010222833255850694,142.88903464898013,24
8,21,7,10,3,14,8,21,55,7,14,60,20,14,2.0,20,14,60,50,Long,Buy,68.75,0.11190775930056684,-0.024353808050308064,36.325783277071714,32
8,21,7,10,3,14,8,21,55,7,14,60,20,20,1.5,14,7,60,0,Long,Buy,65.85365853658537,0.08387858381326829,-0.028140846729818272,18.359804074145025,41
8,21,7,10,3,14,8,21,55,7,14,60,20,20,1.5,20,7,60,50,Long,Buy,70.0,0.11072053242726643,-0.03742301570844876,18.694090739148862,40
8,21,7,10,3,14,8,21,55,7,14,100,10,14,1.5,14,14,120,0,Long,Buy,66.66666666666666,0.08805908798832363,-0.03132191886296349,16.90570291324866,42
8,21,7,10,3,14,8,21,55,7,14,100,10,14,1.5,20,7,60,0,Long,Buy,66.66666666666666,0.0029128224700691874,-0.019236676150669783,3.1807518202494167,12
8,21,7,10,3,14,8,21,55,7,14,100,10,14,2.0,20,7,120,50,Long,Buy,68.75,0.04671671953366818,-0.02074880863960685,35.58415501597317,16
8,21,7,10,3,14,8,21,55,7,14,100,10,14,2.0,20,14,120,50,Long,Buy,75.0,0.07233732279252614,-0.019152804704634242,47.788515616111596,20
8,21,7,10,3,14,8,21,55,7,14,100,10,20,1.5,14,14,120,50,Long,Buy,66.66666666666666,0.04335373087200889,-0.022599426883610135,32.33898625377526,15
8,21,7,10,3,14,8,21,55,7,14,100,10,20,1.5,20,7,60,50,Long,Buy,67.74193548387096,0.12238915238786952,-0.01975112466725955,50.592389534210064,31
8,21,7,10,3,14,8,21,55,7,14,100,20,14,1.5,14,7,60,50,Long,Buy,68.75,0.03920096366687442,-0.01942222248269451,31.881180466750347,16
