adx_thresh,pb_pct,risk_pct,sl_mult,tp_mult,trail_act,trail_dist,trades,wr,pf,net_pct,max_dd,calmar
15,0.4,3.5,4.0,8.0,2.0,0.1,10,90.0,5.904,24.17,4.0,6.038
15,0.4,3.5,4.0,8.0,2.0,0.2,10,90.0,5.771,23.42,4.0,5.851
15,0.4,3.5,4.0,8.0,2.0,0.3,10,90.0,5.755,23.38,4.0,5.841
15,0.4,3.5,4.0,8.0,2.0,0.4,10,90.0,5.622,22.64,4.0,5.655
15,0.4,3.5,4.0,7.0,2.0,0.1,10,90.0,5.605,22.37,4.0,5.587
15,0.4,3.0,4.0,8.0,2.0,0.1,10,90.0,6.384,22.3,3.43,6.499
15,0.4,3.5,4.0,7.0,2.0,0.3,10,90.0,5.489,21.79,4.0,5.443
15,0.4,3.5,4.0,7.0,2.0,0.2,10,90.0,5.488,21.73,4.0,5.428
15,0.4,3.0,4.0,8.0,2.0,0.2,10,90.0,6.241,21.63,3.43,6.303
15,0.4,3.0,4.0,8.0,2.0,0.3,10,90.0,6.217,21.56,3.43,6.282
15,0.5,3.5,4.0,8.0,3.5,0.1,9,77.8,3.814,21.46,3.73,5.752
15,0.4,3.5,4.0,7.0,2.0,0.4,10,90.0,5.372,21.15,4.0,5.284
15,0.5,3.5,4.0,8.0,3.5,0.2,9,77.8,3.749,20.94,3.73,5.613
15,0.4,3.0,4.0,8.0,2.0,0.4,10,90.0,6.073,20.89,3.43,6.088
15,0.4,3.0,4.0,7.0,2.0,0.1,10,90.0,6.062,20.69,3.43,6.03
12,0.4,3.5,4.0,8.0,2.0,0.1,12,83.3,3.191,20.58,4.0,5.14
15,0.5,3.5,4.0,8.0,3.5,0.3,9,77.8,3.685,20.42,3.73,5.474
15,0.4,3.5,5.0,8.0,2.0,0.1,10,90.0,5.371,20.38,3.9,5.222
15,0.4,3.5,4.0,6.0,2.0,0.1,10,90.0,5.255,20.32,4.0,5.076
15,0.4,3.0,4.0,7.0,2.0,0.3,10,90.0,5.929,20.13,3.43,5.866
15,0.4,3.0,4.0,7.0,2.0,0.2,10,90.0,5.935,20.11,3.43,5.862
15,0.4,3.5,4.0,6.0,2.0,0.3,10,90.0,5.164,19.9,4.0,4.971
15,0.5,3.5,4.0,8.0,3.5,0.4,9,77.8,3.62,19.9,3.73,5.335
12,0.4,3.5,4.0,8.0,2.0,0.2,12,83.3,3.117,19.78,4.0,4.94
15,0.4,3.5,4.0,6.0,2.0,0.2,10,90.0,5.15,19.77,4.0,4.938
15,0.4,3.5,5.0,8.0,2.0,0.2,10,90.0,5.25,19.75,3.9,5.061
15,0.5,3.0,4.0,8.0,3.5,0.1,9,77.8,3.845,19.73,3.25,6.074
15,0.5,3.5,4.0,7.0,3.5,0.1,9,77.8,3.604,19.69,3.73,5.279
15,0.4,3.5,5.0,8.0,2.0,0.3,10,90.0,5.227,19.67,3.9,5.04
12,0.4,3.5,4.0,8.0,2.0,0.3,12,83.3,3.104,19.66,4.0,4.911
15,0.4,3.0,4.0,7.0,2.0,0.4,10,90.0,5.802,19.56,3.43,5.699
15,0.4,2.5,4.0,8.0,2.0,0.1,10,90.0,6.819,19.56,2.86,6.84
