trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,tp_m,sl_m,max_bars
21,61.9,1.368,3.55,-3.49,1.017,2,19,0,6.0,3.0,0
21,61.9,1.298,2.87,-3.49,0.823,2,19,0,5.0,3.0,0
21,61.9,1.23,2.2,-3.49,0.632,6,15,0,4.0,3.0,0
22,50.0,1.057,0.52,-3.65,0.143,1,14,7,6.0,3.0,50
22,50.0,1.021,0.19,-3.65,0.053,1,14,7,5.0,3.0,50
22,50.0,1.001,0.01,-3.56,0.002,5,10,7,4.0,3.0,50
22,50.0,0.965,-0.46,-5.92,-0.079,2,20,0,6.0,2.5,0
22,50.0,0.907,-1.24,-5.92,-0.21,2,20,0,5.0,2.5,0
22,50.0,0.852,-1.98,-5.92,-0.335,5,17,0,4.0,2.5,0
23,52.2,0.775,-2.98,-6.51,-0.458,9,14,0,3.0,2.5,0
25,36.0,0.814,-4.12,-10.85,-0.379,2,23,0,6.0,1.5,0
30,26.7,0.4,-4.24,-4.24,-1.0,1,0,29,4.0,3.0,5
23,39.1,0.668,-4.33,-6.86,-0.63,1,15,7,6.0,2.5,50
30,26.7,0.384,-4.35,-4.35,-1.0,0,1,29,6.0,3.0,5
30,26.7,0.384,-4.35,-4.35,-1.0,0,1,29,5.0,3.0,5
23,39.1,0.639,-4.7,-6.86,-0.685,1,15,7,5.0,2.5,50
23,39.1,0.625,-4.89,-6.98,-0.7,4,12,7,4.0,2.5,50
30,26.7,0.395,-5.16,-5.16,-1.0,1,1,28,4.0,2.5,5
30,26.7,0.38,-5.29,-5.29,-1.0,0,2,28,5.0,2.5,5
30,26.7,0.38,-5.29,-5.29,-1.0,0,2,28,6.0,2.5,5
25,36.0,0.756,-5.35,-10.85,-0.493,2,23,0,5.0,1.5,0
27,25.9,0.289,-5.46,-5.51,-0.99,1,1,25,4.0,3.0,10
30,26.7,0.35,-5.53,-5.53,-1.0,1,1,28,3.0,2.5,5
27,25.9,0.275,-5.57,-5.62,-0.99,0,2,25,5.0,3.0,10
27,25.9,0.275,-5.57,-5.62,-0.99,0,2,25,6.0,3.0,10
25,36.0,0.714,-6.22,-10.65,-0.584,4,21,0,4.0,1.5,0
24,37.5,0.668,-6.3,-10.53,-0.598,2,22,0,6.0,2.0,0
27,25.9,0.295,-6.33,-6.4,-0.99,1,1,25,4.0,2.5,10
23,39.1,0.508,-6.38,-8.07,-0.79,5,11,7,3.0,2.5,50
27,25.9,0.28,-6.46,-6.52,-0.99,0,2,25,6.0,2.5,10
27,25.9,0.28,-6.46,-6.52,-0.99,0,2,25,5.0,2.5,10
23,26.1,0.268,-6.68,-7.05,-0.947,1,5,17,4.0,3.0,20
27,25.9,0.252,-6.7,-6.77,-0.99,1,1,25,3.0,2.5,10
23,26.1,0.256,-6.78,-7.16,-0.948,0,6,17,6.0,3.0,20
23,26.1,0.256,-6.78,-7.16,-0.948,0,6,17,5.0,3.0,20
30,26.7,0.379,-6.83,-6.83,-1.0,1,3,26,4.0,2.0,5
