trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,adx,pb_pct,atr_floor,vol_mult
28,67.9,1.594,6.63,-5.62,1.179,9,19,0,20,0.25,0.0005,0.3
28,67.9,1.594,6.63,-5.62,1.179,9,19,0,20,0.25,0.001,0.3
28,67.9,1.594,6.63,-5.62,1.179,9,19,0,20,0.25,0.0,0.3
26,69.2,1.67,6.56,-5.62,1.167,8,18,0,20,0.2,0.001,0.3
26,69.2,1.67,6.56,-5.62,1.167,8,18,0,20,0.2,0.0005,0.3
26,69.2,1.67,6.56,-5.62,1.167,8,18,0,20,0.2,0.0,0.3
30,66.7,1.53,6.55,-4.53,1.446,10,20,0,20,0.3,0.001,0.3
30,66.7,1.53,6.55,-4.53,1.446,10,20,0,20,0.3,0.0,0.3
30,66.7,1.53,6.55,-4.53,1.446,10,20,0,20,0.3,0.0005,0.3
30,66.7,1.455,5.68,-5.61,1.012,8,22,0,18,0.25,0.001,0.3
30,66.7,1.455,5.68,-5.61,1.012,8,22,0,18,0.25,0.0,0.3
30,66.7,1.455,5.68,-5.61,1.012,8,22,0,18,0.25,0.0005,0.3
32,65.6,1.409,5.61,-4.52,1.239,9,23,0,18,0.3,0.0,0.3
32,65.6,1.409,5.61,-4.52,1.239,9,23,0,18,0.3,0.0005,0.3
28,67.9,1.505,5.61,-5.61,1.0,7,21,0,18,0.2,0.0005,0.3
28,67.9,1.505,5.61,-5.61,1.0,7,21,0,18,0.2,0.001,0.3
28,67.9,1.505,5.61,-5.61,1.0,7,21,0,18,0.2,0.0,0.3
32,65.6,1.409,5.61,-4.52,1.239,9,23,0,18,0.3,0.001,0.3
32,65.6,1.392,5.43,-3.61,1.506,8,24,0,12,0.25,0.0005,0.3
32,65.6,1.392,5.43,-3.61,1.506,8,24,0,15,0.25,0.0,0.3
32,65.6,1.392,5.43,-3.61,1.506,8,24,0,12,0.25,0.001,0.3
32,65.6,1.392,5.43,-3.61,1.506,8,24,0,15,0.25,0.001,0.3
32,65.6,1.392,5.43,-3.61,1.506,8,24,0,15,0.25,0.0005,0.3
32,65.6,1.392,5.43,-3.61,1.506,8,24,0,12,0.25,0.0,0.3
22,68.2,1.621,5.39,-3.45,1.565,8,14,0,20,0.2,0.0005,0.7
22,68.2,1.621,5.39,-3.45,1.565,8,14,0,20,0.25,0.001,0.7
22,68.2,1.621,5.39,-3.45,1.565,8,14,0,20,0.2,0.0,0.7
22,68.2,1.621,5.39,-3.45,1.565,8,14,0,20,0.25,0.0005,0.7
22,68.2,1.621,5.39,-3.45,1.565,8,14,0,20,0.2,0.001,0.7
22,68.2,1.621,5.39,-3.45,1.565,8,14,0,20,0.25,0.0,0.7
30,66.7,1.43,5.36,-3.61,1.487,7,23,0,15,0.2,0.0,0.3
30,66.7,1.43,5.36,-3.61,1.487,7,23,0,12,0.2,0.001,0.3
30,66.7,1.43,5.36,-3.61,1.487,7,23,0,15,0.2,0.001,0.3
30,66.7,1.43,5.36,-3.61,1.487,7,23,0,12,0.2,0.0005,0.3
30,66.7,1.43,5.36,-3.61,1.487,7,23,0,15,0.2,0.0005,0.3
30,66.7,1.43,5.36,-3.61,1.487,7,23,0,12,0.2,0.0,0.3
