TP_MULT,SL_MULT,RISK_PCT,VOL_MULT,ADX_THRESH,Return,ProfitFactor,Trades
4.0,1.5,0.03,0.8,10,2.3076614709557797,1.0426911835436017,43
4.0,1.5,0.03,0.8,12,1.3020968788687304,1.0242809024159742,42
4.0,1.5,0.03,0.8,15,1.3020968788687304,1.0242809024159742,42
4.0,1.5,0.03,1.0,10,19.194162020594298,1.4828496174967862,33
4.0,1.5,0.03,1.0,12,18.022622888645333,1.4574403281318207,32
4.0,1.5,0.03,1.0,15,18.022622888645333,1.4574403281318207,32
4.0,1.5,0.04,0.8,10,-4.183533400673134,0.9347900631883462,43
4.0,1.5,0.04,0.8,12,-5.394357883274791,0.9150972945152116,42
4.0,1.5,0.04,0.8,15,-5.394357883274791,0.9150972945152116,42
4.0,1.5,0.04,1.0,10,16.326205752877108,1.3408713190465849,33
4.0,1.5,0.04,1.0,12,14.856201453065744,1.3137666956720089,32
4.0,1.5,0.04,1.0,15,14.856201453065744,1.3137666956720089,32
4.0,1.5,0.05,0.8,10,-5.296921833971324,0.9214791864326378,43
4.0,1.5,0.05,0.8,12,-6.493676522293068,0.9027956577190454,42
4.0,1.5,0.05,0.8,15,-6.493676522293068,0.9027956577190454,42
4.0,1.5,0.05,1.0,10,17.863824236598404,1.3580732194257588,33
4.0,1.5,0.05,1.0,12,16.374389183691363,1.3320335391509766,32
4.0,1.5,0.05,1.0,15,16.374389183691363,1.3320335391509766,32
4.0,2.0,0.03,0.8,10,3.317175568319497,1.0764305233616436,41
4.0,2.0,0.03,0.8,12,2.553684311163984,1.0591531352065042,40
4.0,2.0,0.03,0.8,15,2.553684311163984,1.0591531352065042,40
4.0,2.0,0.03,1.0,10,19.463822722768363,1.6275888086724082,33
4.0,2.0,0.03,1.0,12,18.58101128610754,1.6030449373292055,32
4.0,2.0,0.03,1.0,15,18.58101128610754,1.6030449373292055,32
4.0,2.0,0.04,0.8,10,0.9300962263826928,1.0167608839424567,41
4.0,2.0,0.04,0.8,12,-0.06192851137373223,0.9988783764408236,40
4.0,2.0,0.04,0.8,15,-0.06192851137373223,0.9988783764408236,40
4.0,2.0,0.04,1.0,10,22.151293007483176,1.534205049425917,33
4.0,2.0,0.04,1.0,12,20.95068873836057,1.5096724127025831,32
4.0,2.0,0.04,1.0,15,20.95068873836057,1.5096724127025831,32
4.0,2.0,0.05,0.8,10,-5.318738118906952,0.9178229707577766,41
4.0,2.0,0.05,0.8,12,-6.479144270905346,0.899007391565946,40
4.0,2.0,0.05,0.8,15,-6.479144270905346,0.899007391565946,40
4.0,2.0,0.05,1.0,10,20.44032937093181,1.4179764022657093,33
4.0,2.0,0.05,1.0,12,18.964222099291717,1.3920329102410387,32
4.0,2.0,0.05,1.0,15,18.964222099291717,1.3920329102410387,32
6.0,1.5,0.03,0.8,10,-4.162978328022238,0.9217094634370198,43
6.0,1.5,0.03,0.8,12,-5.104944102812093,0.9032561277436033,42
6.0,1.5,0.03,0.8,15,-5.104944102812093,0.9032561277436033,42
6.0,1.5,0.03,1.0,10,11.655503844977,1.299343296461711,33
6.0,1.5,0.03,1.0,12,10.558060901175326,1.2735797721831241,32
6.0,1.5,0.03,1.0,15,10.558060901175326,1.2735797721831241,32
6.0,1.5,0.04,0.8,10,-11.06402435852506,0.8237259403593352,43
