entry_time,exit_time,direction,entry,exit,result,pnl_pct,dollar_pnl,equity
2026-01-20 02:15:00+00:00,2026-01-20 04:45:00+00:00,short,92335.1796875,92094.93151624204,SL,0.26,43.94,10043.94
2026-01-20 10:30:00+00:00,2026-01-20 13:00:00+00:00,short,91105.890625,90955.27625291375,SL,0.165,13.54,10057.48
2026-01-20 13:00:00+00:00,2026-01-20 14:30:00+00:00,short,90813.5,91079.33047421329,SL,-0.293,-141.81,9915.67
2026-01-20 14:45:00+00:00,2026-01-20 15:00:00+00:00,short,90583.90625,90080.15664753568,TP,0.556,103.68,10019.35
2026-01-20 16:30:00+00:00,2026-01-20 17:45:00+00:00,short,90006.0,89676.05552427669,SL,0.367,46.63,10065.98
2026-01-24 15:00:00+00:00,2026-01-24 15:45:00+00:00,short,89300.2265625,89185.3396729882,TP,0.129,9.03,10075.01
2026-01-26 03:45:00+00:00,2026-01-26 04:15:00+00:00,short,87120.2421875,87514.21112154926,SL,-0.452,-127.49,9947.53
2026-01-27 11:45:00+00:00,2026-01-27 13:15:00+00:00,short,87900.7734375,87778.8054511699,SL,0.139,9.24,9956.76
2026-01-27 13:15:00+00:00,2026-01-27 13:30:00+00:00,short,87693.046875,87853.84420531857,SL,-0.183,-164.73,9792.04
2026-01-28 01:45:00+00:00,2026-01-28 02:45:00+00:00,long,89307.5703125,88993.64520822323,SL,-0.352,-131.35,9660.69
2026-01-29 08:30:00+00:00,2026-01-29 10:45:00+00:00,short,87980.3515625,87826.5612667167,SL,0.175,16.4,9677.08
2026-01-30 07:15:00+00:00,2026-01-30 09:45:00+00:00,short,82561.1484375,82311.08926977454,SL,0.303,28.89,9705.97
2026-02-01 02:15:00+00:00,2026-02-01 07:00:00+00:00,short,78525.6171875,78187.39184545328,SL,0.431,38.44,9744.41
2026-02-02 15:15:00+00:00,2026-02-02 16:30:00+00:00,long,78517.984375,78848.07158258042,SL,0.42,33.41,9777.82
2026-02-04 22:30:00+00:00,2026-02-05 01:15:00+00:00,short,72782.125,72347.57035935174,SL,0.597,38.01,9815.82
2026-02-05 01:30:00+00:00,2026-02-05 02:45:00+00:00,short,72406.7265625,71926.31954904128,SL,0.663,47.74,9863.56
2026-02-05 14:45:00+00:00,2026-02-05 15:00:00+00:00,short,69347.7890625,68314.708594865,TP,1.49,120.92,9984.48
2026-02-05 23:15:00+00:00,2026-02-05 23:45:00+00:00,short,64214.65625,63411.966480216244,SL,1.25,63.18,10047.66
2026-02-07 01:45:00+00:00,2026-02-07 04:00:00+00:00,long,70479.3984375,70954.93627111055,SL,0.675,62.73,10110.39
2026-02-10 14:30:00+00:00,2026-02-10 15:00:00+00:00,short,68050.078125,68501.13617230092,SL,-0.663,-119.41,9990.99
2026-02-11 11:30:00+00:00,2026-02-11 12:00:00+00:00,short,66884.953125,67220.25317173383,SL,-0.501,-123.83,9867.16
2026-02-17 09:15:00+00:00,2026-02-17 11:00:00+00:00,short,67995.4921875,67830.07550745839,SL,0.243,34.11,9901.27
2026-02-23 21:15:00+00:00,2026-02-23 22:00:00+00:00,short,64528.46875,64905.03819249608,SL,-0.584,-119.37,9781.9
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,short,63125.14453125,62705.96490080038,TP,0.664,106.86,9888.76
2026-02-27 20:45:00+00:00,2026-02-27 22:30:00+00:00,short,65576.59375,65199.80857729364,TP,0.575,104.31,9993.07
